# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)   
    1        32.38        32.38     
    2        31.90        64.28     
    3        31.90        96.18     
    4        32.20        128.39     
    5        32.11        160.49     
    6        35.57        196.07     
    7        31.96        228.03     
    8        35.89        263.92     
    9        33.13        297.05     
   10        33.03        330.08     
   11        31.75        361.82     
   12        32.35        394.18     
   13        32.76        426.94     
   14        32.30        459.24     
   15        32.09        491.33     
   16        32.14        523.46     
   17        32.05        555.52     
   18        32.23        587.75     
   19        31.89        619.64     
   20        32.18        651.83     
   21        32.08        683.91     
   22        31.97        715.87     
   23        32.03        747.90     
   24        32.16        780.06     
   25        31.53        811.58     
   26        31.50        843.09     
   27        31.46        874.55     
   28        31.50        906.05     
   29        31.66        937.70     
   30        31.70        969.40     
   31        31.90        1001.30     
   32        32.15        1033.45     
   33        31.57        1065.01     
   34        31.97        1096.98     
   35        31.59        1128.57     
   36        31.69        1160.26     
   37        31.52        1191.78     
   38        31.58        1223.36     
   39        32.06        1255.42     
   40        31.84        1287.26     
   41        31.84        1319.10     
   42        31.72        1350.82     
   43        31.68        1382.50     
   44        31.91        1414.40     
   45        31.87        1446.28     
   46        31.93        1478.20     
   47        31.69        1509.89     
   48        31.56        1541.45     
