# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)   
    1        2.32        2.32     
    2        1.94        4.25     
    3        2.22        6.47     
    4        2.26        8.74     
    5        2.13        10.86     
    6        2.23        13.09     
    7        2.18        15.27     
    8        2.15        17.42     
    9        1.90        19.32     
   10        2.10        21.42     
   11        1.89        23.32     
   12        1.90        25.21     
   13        1.90        27.11     
   14        1.96        29.08     
   15        1.96        31.03     
   16        2.18        33.22     
   17        1.89        35.11     
   18        2.20        37.31     
   19        1.89        39.20     
   20        2.19        41.39     
   21        1.90        43.29     
   22        1.90        45.20     
   23        1.88        47.07     
   24        1.88        48.96     
   25        1.90        50.86     
   26        2.23        53.08     
   27        1.86        54.94     
   28        2.11        57.05     
   29        1.86        58.92     
   30        2.19        61.11     
   31        1.87        62.98     
   32        2.24        65.22     
   33        2.18        67.40     
   34        1.87        69.27     
   35        1.87        71.14     
   36        1.87        73.01     
   37        1.86        74.87     
   38        2.23        77.10     
   39        1.86        78.96     
   40        2.11        81.07     
   41        2.26        83.33     
   42        1.86        85.18     
   43        2.14        87.32     
   44        1.85        89.17     
   45        2.23        91.40     
   46        1.86        93.26     
   47        2.12        95.38     
   48        1.86        97.24     
   49        2.21        99.45     
   50        2.15        101.60     
   51        2.09        103.69     
   52        2.24        105.93     
   53        2.18        108.11     
   54        2.13        110.24     
   55        2.07        112.31     
   56        2.22        114.53     
   57        1.85        116.38     
   58        1.85        118.24     
   59        1.85        120.09     
   60        1.85        121.94     
   61        2.15        124.09     
   62        1.85        125.95     
   63        2.25        128.19     
   64        1.86        130.05     
   65        2.13        132.17     
   66        2.09        134.26     
   67        1.86        136.12     
   68        1.86        137.97     
   69        1.86        139.83     
   70        1.86        141.69     
   71        1.86        143.55     
   72        1.86        145.41     
   73        1.86        147.27     
   74        1.86        149.12     
   75        1.86        150.98     
   76        1.86        152.83     
   77        1.86        154.69     
   78        1.86        156.55     
   79        1.85        158.40     
   80        1.85        160.25     
