# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        0.64        0.77        264.418      0.000217     0     0
    2        0.58        1.34        263.942      0.001973     0     0
    3        0.61        1.96        262.981      0.010750     0     0
    4        0.62        2.58        261.086      0.046022     0     0
    5        0.68        3.26        257.724      0.134990     0     0
    6        0.68        3.94        254.023      0.207144     0     0
    7        0.69        4.63        249.396      0.249555     0     0
    8        0.71        5.34        243.284      0.272182     0     0
    9        0.70        6.04        235.673      0.283270     0     0
   10        0.76        6.80        226.783      0.288389     0     0
   11        0.78        7.58        216.766      0.290406     0     0
   12        0.84        8.42        205.655      0.290580     0     0
   13        0.88        9.30        193.387      0.289392     0     0
   14        0.91        10.22        179.869      0.286936     0     0
   15        0.95        11.17         165      0.283062     0     0
   16        1.01        12.18        148.658      0.277384     0     0
   17        1.08        13.25        130.665      0.269178     0     0
   18        1.22        14.48        110.703      0.257067     0     0
   19        1.46        15.93        88.1144      0.238015     0     0
   20        1.62        17.55        61.1376      0.203234     0     0
   21        2.50        20.05        20.2425      0.120055     0     0
    0        0.96        21.00        16.1246      0.063906     0   112
    1        0.90        21.91        15.5813      0.047863     0    46
    2        0.90        22.81        15.5249      0.048130     0    77
    3        0.90        23.70        14.9067      0.042162     0    56
    4        0.90        24.61        14.972      0.043062     0    83
    5        0.90        25.51        14.4182      0.037597     0    90
    6        0.91        26.42        14.5951      0.039247     0   101
    7        0.91        27.33        13.9798      0.033775     0    90
   22        0.09        27.42        13.9798      0.033775     0    90
