# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0        18      2.647e+02      2.647e+02     4.7730e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0        33      2.644e+02      2.644e+02     4.7730e+00     6.9208e-02      2.712e+00     5.0176e-04     7.0959e-04     9.897470e-01          
      1         1        67      2.644e+02      2.644e+02     4.7719e+00     6.9873e-02      2.712e+00     3.3681e-10     3.2024e-08     9.897470e-01          

      2         0        99      2.640e+02      2.640e+02     4.7704e+00     2.0813e-01      8.025e+00     1.9829e-03     4.8981e-03     9.696380e-01          
      2         1       138      2.639e+02      2.639e+02     4.7638e+00     2.0993e-01      8.025e+00     8.2541e-09     1.1746e-10     9.696380e-01          

      3         0       173      2.630e+02      2.630e+02     4.7569e+00     4.8230e-01      1.822e+01     8.8205e-03     2.4853e-02     9.309178e-01          
      3         1       215      2.630e+02      2.630e+02     4.7257e+00     4.8244e-01      1.823e+01     9.6092e-07     9.2757e-09     9.309178e-01          

      4         0       255      2.612e+02      2.612e+02     4.7087e+00     9.8176e-01      3.704e+01     5.1264e-02     1.0199e-01     8.590624e-01          
      4         1       298      2.611e+02      2.612e+02     4.6191e+00     9.3294e-01      3.705e+01     6.8464e-05     6.0042e-07     8.590624e-01          

      5         0       340      2.579e+02      2.582e+02     4.6913e+00     1.5595e+00      6.784e+01     2.9631e-01     2.9376e-01     7.403326e-01          
      5         1       383      2.577e+02      2.583e+02     4.6960e+00     1.2773e+00      6.800e+01     1.6837e-03     2.0883e-05     7.403326e-01          

      6         0       439      2.544e+02      2.549e+02     4.9099e+00     1.3347e+00      9.641e+01     8.2150e-01     3.3945e-01     6.307126e-01          
      6         1       482      2.540e+02      2.548e+02     5.0939e+00     1.1709e+00      9.676e+01     3.0670e-03     6.1923e-05     6.307126e-01          

      7         0       539      2.501e+02      2.506e+02     5.0720e+00     9.6654e-01      1.230e+02     1.3238e+00     3.0110e-01     5.302586e-01          
      7         1       583      2.494e+02      2.502e+02     5.4326e+00     9.3105e-01      1.235e+02     4.0169e-03     1.2612e-04     5.302586e-01          

      8         0       639      2.444e+02      2.447e+02     5.1435e+00     6.9910e-01      1.474e+02     1.7266e+00     2.5022e-01     4.389021e-01          
      8         1       690      2.433e+02      2.439e+02     5.6329e+00     7.0558e-01      1.480e+02     6.3270e-03     2.6170e-05     4.389021e-01          

