# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.47        0.47        264.654      0.000000     0     0
    1        7.83        8.30        264.542      0.000196     0     0
    2        8.19        16.48        264.314      0.001787     0     0
    3        8.99        25.47        263.857      0.009351     0     0
    4        8.18        33.65        263.016      0.031441     0     0
    5        7.96        41.61        261.891      0.053581     0     0
    6        8.06        49.67        259.952      0.066829     0     0
    7        7.76        57.43        256.804      0.071950     0     0
    8        8.18        65.61        253.052      0.073534     0     0
    9        8.17        73.78        248.763      0.074131     0     0
   10        7.80        81.58        243.883      0.074366     0     0
   11        7.90        89.48        238.399      0.074428     0     0
   12        7.96        97.44        232.296      0.074384     0     0
   13        8.08        105.53        225.564      0.074260     0     0
   14        7.75        113.28        218.193      0.074060     0     0
   15        7.86        121.14        210.172      0.073783     0     0
   16        7.91        129.05        201.489      0.073417     0     0
   17        8.00        137.05        192.129      0.072948     0     0
   18        8.07        145.12        182.074      0.072352     0     0
   19        7.75        152.87        171.298      0.071601     0     0
   20        7.82        160.69        159.764      0.070654     0     0
   21        7.91        168.60        147.417      0.069451     0     0
   22        7.98        176.58        134.168      0.067907     0     0
   23        8.08        184.65        119.87      0.065880     0     0
   24        8.50        193.15        104.248      0.063125     0     0
   25        9.91        203.06        86.7325      0.059132     0     0
   26        10.95        214.01        65.8151      0.052517     0     0
   27        11.27        225.28        35.1142      0.035967     0     0
   28        23.28        248.56        21.5714      0.021940     0     0
   29        21.66        270.22        17.2236      0.015136     0     0
   30        22.41        292.63        13.9027      0.008599     0     0
   31        33.56        326.19        12.5865      0.005566     0     0
   32        40.60        366.79        11.3774      0.002652     0     0
   33        30.57        397.35        10.9879      0.001683     0     0
   34        31.65        429.00        10.7419      0.001082     0     0
   35        34.09        463.09        10.5684      0.000678     0     0
   36        37.02        500.11        10.4197      0.000367     0     0
   37        39.87        539.98        10.33      0.000173     0     0
   38        42.88        582.85        10.293      0.000099     0     0
   39        45.27        628.13        10.271      0.000054     0     0
   40        45.13        673.25        10.2571      0.000027     0     0
   41        45.72        718.97        10.2497      0.000013     0     0
    0        23.11        742.08        10.2462      0.000005     0     0
    1        22.88        764.96        10.2461      0.000005     0     0
    2        22.82        787.78        10.2461      0.000004     0     0
   42        0.53        788.31        10.2461      0.000004     0     0
