# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.29        1.41        264.418      0.000217     0     0
    2        1.47        2.88        263.942      0.001973     0     0
    3        1.42        4.30        262.981      0.010750     0     0
    4        1.38        5.68        261.086      0.046022     0     0
    5        1.50        7.19        257.724      0.134990     0     0
    6        1.96        9.15        254.023      0.207144     0     0
    7        1.74        10.90        249.396      0.249555     0     0
    8        1.50        12.40        243.284      0.272182     0     0
    9        1.53        13.93        235.673      0.283270     0     0
   10        1.54        15.47        226.783      0.288389     0     0
   11        1.54        17.02        216.766      0.290406     0     0
   12        1.55        18.57        205.655      0.290581     0     0
   13        1.57        20.14        193.387      0.289393     0     0
   14        1.42        21.56        179.869      0.286936     0     0
   15        1.46        23.02         165      0.283062     0     0
   16        1.38        24.40        148.658      0.277385     0     0
   17        1.41        25.81        130.664      0.269183     0     0
   18        1.46        27.28        110.708      0.257073     0     0
   19        1.67        28.94        88.1317      0.238035     0     0
   20        1.60        30.54        61.1908      0.203327     0     0
   21        3.81        34.35        24.6264      0.106758     0     0
   22        4.33        38.68        18.1715      0.071210     0     0
   23        4.16        42.84        14.0353      0.039465     0     0
   24        7.13        49.97        12.3155      0.022432     0     0
   25        5.08        55.05        11.301      0.012064     0     0
   26        5.13        60.18        10.986      0.008739     0     0
   27        7.61        67.79        10.6097      0.004951     0     0
   28        8.70        76.49        10.2968      0.001974     0     0
   29        6.52        83.01        10.1593      0.000899     0     0
   30        9.78        92.79        10.1059      0.000294     0     0
   31        6.82        99.61        10.0945      0.000185     0     0
   32        6.64        106.25        10.088      0.000124     0     0
   33        7.01        113.26        10.0837      0.000042     0     0
   34        6.86        120.12        10.082      0.000016     0     0
   35        6.93        127.05        10.0817      0.000007     0     0
    0        3.49        130.54        10.0817      0.000001     0     0
   36        0.26        130.80        10.0817      0.000001     0     0
