# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1     18434      560.50      560.50     
    2     36881      554.70      1115.21     
    3     55315      552.55      1667.75     
    4     73750      554.65      2222.41     
    5     92168      551.91      2774.31     
    6     109844      530.36      3304.68     
    7     128232      553.67      3858.35     
    8     147408      573.67      4432.02     
    9     165826      554.24      4986.26     
   10     187863      652.71      5638.97     
   11     207039      574.94      6213.90     
   12     231483      718.59      6932.50     
   13     256526      735.54      7668.03     
   14     280963      724.62      8392.65     
   15     304742      709.91      9102.56     
   16     327231      673.47      9776.03     
   17     349627      669.43      10445.46     
   18     372123      677.84      11123.30     
   19     394633      677.89      11801.19     
   20     417106      674.39      12475.58     
   21     439549      683.10      13158.68     
   22     461846      672.72      13831.40     
   23     484232      684.34      14515.74     
   24     506500      671.20      15186.94     
   25     528068      648.94      15835.89     
   26     549853      649.78      16485.66     
   27     571786      654.83      17140.49     
   28     593668      652.03      17792.51     
   29     615579      653.57      18446.09     
   30     637610      659.76      19105.85     
   31     659702      664.97      19770.82     
   32     681985      673.47      20444.29     
   33     704301      672.25      21116.54     
   34     726629      672.20      21788.74     
   35     748979      671.15      22459.88     
   36     771358      665.17      23125.05     
   37     793720      665.71      23790.76     
   38     816012      664.11      24454.88     
   39     838334      663.02      25117.90     
