# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0        20      2.647e+02      2.647e+02     2.3865e+00     0.0000e+00      0.000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0        36      2.645e+02      2.645e+02     2.3865e+00     6.5217e-02      5.113e+00     8.9110e-04     1.2602e-03     0.9806766     
      1         1       225      2.645e+02      2.645e+02     2.3846e+00     6.6323e-02      5.113e+00     1.0063e-10     2.4877e-13     0.9806766     

      2         0       405      2.643e+02      2.643e+02     2.3820e+00     1.9652e-01      1.500e+01     3.5667e-03     8.6560e-03     0.9432746     
      2         1       593      2.643e+02      2.643e+02     2.3704e+00     1.9799e-01      1.500e+01     4.4549e-08     7.7820e-12     0.9432746     

      3         0       783      2.639e+02      2.639e+02     2.3609e+00     4.4489e-01      3.353e+01     1.9259e-02     4.2188e-02     0.8731063     
      3         1       973      2.639e+02      2.639e+02     2.3191e+00     4.2773e-01      3.353e+01     5.1200e-06     1.0839e-10     0.8731063     

      4         0      1163      2.631e+02      2.631e+02     2.3403e+00     7.7252e-01      6.515e+01     1.2488e-01     1.3979e-01     0.7530691     
      4         1      1354      2.630e+02      2.631e+02     2.3316e+00     6.3355e-01      6.518e+01     1.8287e-04     8.3602e-10     0.7530691     

      5         0      1546      2.620e+02      2.622e+02     2.4812e+00     6.9929e-01      1.002e+02     4.1933e-01     1.8524e-01     0.6200840     
      5         1      1737      2.619e+02      2.621e+02     2.5673e+00     5.7357e-01      1.003e+02     6.0224e-04     2.2927e-08     0.6200840     

      6         0      1929      2.604e+02      2.605e+02     2.6167e+00     4.1467e-01      1.390e+02     7.6389e-01     1.4754e-01     0.4732489     
      6         1      2120      2.600e+02      2.601e+02     2.7879e+00     3.9183e-01      1.393e+02     1.4541e-03     3.5346e-07     0.4732489     

      7         0      2313      2.577e+02      2.578e+02     2.6330e+00     2.3125e-01      1.732e+02     1.0179e+00     1.0094e-01     0.3438345     
      7         1      2505      2.568e+02      2.569e+02     2.8844e+00     2.4592e-01      1.737e+02     3.2732e-03     1.6470e-06     0.3438345     

      8         0      2698      2.540e+02      2.540e+02     2.6266e+00     1.6195e-01      1.955e+02     1.1888e+00     7.8435e-02     0.2600578     
      8         1      2890      2.531e+02      2.531e+02     2.9144e+00     1.6886e-01      1.962e+02     3.9436e-03     2.1458e-06     0.2600578     

      9         0      3083      2.497e+02      2.497e+02     2.6249e+00     1.2139e-01      2.107e+02     1.3090e+00     6.2316e-02     0.2035374     
      9         1      3275      2.488e+02      2.488e+02     2.9248e+00     1.2420e-01      2.115e+02     4.3056e-03     2.5293e-06     0.2035374     

     10         0      3468      2.448e+02      2.449e+02     2.6224e+00     9.4268e-02      2.216e+02     1.3999e+00     5.0103e-02     0.1631814     
     10         1      3660      2.439e+02      2.439e+02     2.9277e+00     9.5562e-02      2.225e+02     4.6512e-03     3.0648e-06     0.1631814     

     11         0      3853      2.394e+02      2.394e+02     2.6169e+00     7.5374e-02      2.297e+02     1.4643e+00     4.0607e-02     0.1333899     
     11         1      4045      2.384e+02      2.384e+02     2.9268e+00     7.6030e-02      2.307e+02     4.9002e-03     3.6886e-06     0.1333899     

     12         0      4238      2.333e+02      2.333e+02     2.6090e+00     6.1731e-02      2.360e+02     1.5116e+00     3.3231e-02     0.1107921     
     12         1      4430      2.323e+02      2.323e+02     2.9231e+00     6.2093e-02      2.370e+02     5.0774e-03     4.4307e-06     0.1107921     

     13         0      4623      2.266e+02      2.266e+02     2.5990e+00     5.1592e-02      2.409e+02     1.5470e+00     2.7445e-02     0.0932614     
