# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1       914      2.30      2.30     
    2      1837      1.91      4.21     
    3      2751      2.10      6.31     
    4      3665      2.21      8.52     
    5      4579      2.15      10.66     
    6      5495      2.08      12.74     
    7      6411      2.22      14.96     
    8      7327      2.37      17.33     
    9      8243      1.86      19.20     
   10      9159      2.23      21.42     
   11     10075      1.90      23.32     
   12     10991      1.92      25.24     
   13     11907      1.86      27.10     
   14     12823      1.86      28.96     
   15     13739      1.89      30.85     
   16     14655      2.23      33.08     
   17     15571      1.86      34.95     
   18     16487      2.07      37.02     
   19     17403      1.86      38.88     
   20     18319      2.17      41.05     
   21     19235      1.88      42.93     
   22     20151      1.88      44.81     
   23     21067      1.88      46.69     
   24     21983      1.87      48.56     
   25     22899      1.88      50.44     
   26     23815      2.30      52.74     
   27     24731      1.87      54.61     
   28     25647      2.18      56.79     
   29     26563      1.86      58.65     
   30     27479      2.15      60.80     
   31     28395      1.87      62.66     
   32     29311      2.22      64.88     
   33     30227      2.16      67.04     
   34     31143      1.86      68.90     
   35     32059      1.86      70.77     
   36     32975      1.86      72.63     
   37     33891      1.86      74.49     
   38     34807      2.25      76.74     
   39     35723      1.86      78.59     
   40     36639      2.13      80.72     
   41     37555      2.07      82.79     
   42     38471      1.86      84.65     
   43     39387      2.15      86.80     
   44     40301      1.85      88.66     
   45     41215      2.24      90.89     
   46     42131      1.86      92.75     
   47     43047      2.13      94.88     
   48     43963      1.86      96.74     
   49     44879      2.21      98.94     
   50     45795      2.15      101.09     
   51     46711      2.09      103.18     
   52     47627      2.23      105.41     
   53     48543      2.16      107.57     
   54     49459      2.10      109.67     
   55     50375      2.24      111.91     
   56     51291      2.18      114.09     
   57     52207      1.86      115.95     
   58     53123      1.86      117.81     
   59     54039      1.86      119.67     
   60     54955      1.86      121.53     
   61     55871      2.09      123.62     
   62     56787      1.86      125.48     
   63     57703      2.17      127.65     
   64     58619      1.87      129.52     
   65     59535      2.25      131.77     
   66     60451      2.19      133.96     
   67     61367      1.86      135.82     
   68     62283      1.86      137.68     
   69     63199      1.86      139.53     
   70     64115      1.86      141.39     
   71     65031      1.86      143.25     
   72     65947      1.86      145.12     
   73     66863      1.99      147.10     
   74     67779      1.94      149.04     
   75     68695      1.87      150.91     
   76     69611      1.87      152.78     
   77     70527      1.87      154.65     
   78     71443      1.87      156.52     
   79     72359      1.87      158.39     
   80     73275      1.87      160.26     
