# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.30        1.42        264.418      0.000217     0     0
    2        1.44        2.86        263.942      0.001973     0     0
    3        1.54        4.40        262.981      0.010750     0     0
    4        1.75        6.15        261.086      0.046022     0     0
    5        1.45        7.60        257.724      0.134990     0     0
    6        1.45        9.05        254.023      0.207144     0     0
    7        1.52        10.57        249.396      0.249555     0     0
    8        1.53        12.10        243.284      0.272182     0     0
    9        1.53        13.63        235.673      0.283270     0     0
   10        1.41        15.04        226.783      0.288389     0     0
   11        1.36        16.39        216.766      0.290406     0     0
   12        1.42        17.81        205.655      0.290581     0     0
   13        1.49        19.30        193.387      0.289393     0     0
   14        1.50        20.81        179.869      0.286936     0     0
   15        1.54        22.34         165      0.283062     0     0
   16        1.55        23.89        148.658      0.277385     0     0
   17        1.39        25.28        130.664      0.269183     0     0
   18        1.40        26.67        110.708      0.257073     0     0
   19        1.62        28.29        88.1317      0.238035     0     0
   20        1.58        29.88        61.1908      0.203327     0     0
   21        3.77        33.64        24.6264      0.106758     0     0
   22        4.25        37.89        18.1715      0.071210     0     0
   23        4.11        42.01        14.0352      0.039463     0     0
   24        6.90        48.91        12.3154      0.022431     0     0
   25        4.98        53.89        11.3009      0.012063     0     0
   26        4.91        58.81        10.986      0.008739     0     0
   27        7.46        66.27        10.6097      0.004951     0     0
   28        8.44        74.71        10.2968      0.001974     0     0
   29        6.52        81.23        10.1593      0.000899     0     0
   30        9.87        91.10        10.1059      0.000294     0     0
   31        6.55        97.64        10.0945      0.000185     0     0
   32        6.63        104.27        10.088      0.000124     0     0
   33        7.06        111.33        10.0837      0.000042     0     0
   34        7.04        118.37        10.082      0.000016     0     0
   35        6.77        125.14        10.0817      0.000007     0     0
   36        6.92        132.06        10.0817      0.000001     0     0
   37        3.87        135.92        10.0818      0.000001     0     0
   38        3.89        139.81        10.0818      0.000001     0     0
   39        4.22        144.03        10.0818      0.000001     0     0
   40        4.18        148.20        10.0818      0.000001     0     0
   41        4.11        152.31        10.0818      0.000001     0     0
   42        4.16        156.47        10.0818      0.000001     0     0
   43        8.05        164.52        10.0819      0.000000     0     0
   44        13.61        178.13        10.0819      0.000000     0     0
    0        4.34        182.47        10.0819      0.000000     0     0
    1        4.85        187.32        10.1002      0.000003     2     9
    2        7.82        195.14        10.1004      0.000003     2    12
    3        5.39        200.53        10.1004      0.000003     2    13
    4        4.64        205.18        10.1005      0.000003     2    12
    5        5.67        210.85        10.1014      0.000003     2    15
    6        5.47        216.31        10.1014      0.000003     2    15
    7        5.92        222.23        10.1015      0.000003     2    15
    8        5.63        227.87        10.1015      0.000003     2    15
    9        6.55        234.42        10.1017      0.000003     2    15
   45        0.09        234.51        10.1017      0.000003     2    15
