# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        0.99        1.11        264.418      0.000217     0     0
    2        1.22        2.34        263.942      0.001973     0     0
    3        1.62        3.96        262.981      0.010750     0     0
    4        1.53        5.49        261.814      0.030033     0     0
    5        1.36        6.85        260.913      0.050172     0     0
    6        1.20        8.05        260.085      0.071445     0     0
    7        1.18        9.23        259.2      0.095596     0     0
    8        1.16        10.39        258.148      0.124061     0     0
    9        1.23        11.62        256.741      0.158473     0     0
   10        1.18        12.80        254.56      0.199334     0     0
   11        1.31        14.11        251.403      0.235521     0     0
   12        1.25        15.36        246.967      0.261165     0     0
   13        1.19        16.55        240.997      0.276677     0     0
   14        1.32        17.87        233.46      0.285044     0     0
   15        1.18        19.05        224.514      0.289088     0     0
   16        1.23        20.28        214.345      0.290585     0     0
   17        1.33        21.61        203.017      0.290427     0     0
   18        1.30        22.91        190.489      0.288958     0     0
   19        1.24        24.15        176.682      0.286207     0     0
   20        1.33        25.47        161.498      0.281974     0     0
   21        1.31        26.78        144.808      0.275815     0     0
   22        1.24        28.02        126.412      0.266898     0     0
   23        1.33        29.35        105.95      0.253603     0     0
   24        1.30        30.65        82.6238      0.232226     0     0
   25        1.36        32.01        54.1673      0.190929     0     0
   26        3.98        36.00        16.651      0.076623     0     0
   27        3.09        39.08        17.8684      0.071016     0     0
   28        3.00        42.09        17.2417      0.064898     0     0
   29        2.89        44.98        15.9031      0.054989     0     0
   30        3.00        47.98        14.7266      0.045267     0     0
   31        2.91        50.89        13.7934      0.036904     0     0
   32        3.10        53.98        13.0527      0.029765     0     0
   33        3.27        57.25        12.4087      0.023394     0     0
   34        3.44        60.69        11.8714      0.017892     0     0
   35        3.59        64.27        11.4114      0.013217     0     0
   36        2.76        67.03        11.1089      0.010050     0     0
   37        2.59        69.63        10.8795      0.007663     0     0
   38        3.01        72.64        10.6173      0.005029     0     0
   39        3.64        76.28        10.4076      0.002965     0     0
   40        4.48        80.76        10.2147      0.001487     0     0
   41        4.57        85.33        10.109      0.000396     0     0
   42        7.06        92.39        10.1053      0.000295     0     0
   43        4.44        96.82        10.0991      0.000229     0     0
   44        4.58        101.40        10.0922      0.000164     0     0
   45        6.92        108.33        10.0865      0.000080     0     0
   46        7.19        115.51        10.0835      0.000038     0     0
   47        7.11        122.62        10.0822      0.000018     0     0
   48        7.33        129.95        10.0816      0.000004     0     0
    0        2.63        132.58        10.0816      0.000003     0     0
    1        2.56        135.14        10.0816      0.000003     0     0
    2        2.63        137.77        10.0816      0.000003     0     0
    3        2.65        140.42        10.0816      0.000003     0     0
    4        2.53        142.95        10.0816      0.000003     0     0
    5        2.64        145.58        10.0816      0.000003     0     0
    6        2.65        148.23        10.0816      0.000003     0     0
    7        2.53        150.76        10.0816      0.000003     0     0
    8        2.60        153.36        10.0816      0.000003     0     0
    9        2.52        155.88        10.0816      0.000003     0     0
   49        0.18        156.06        10.0816      0.000003     0     0
