# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.13        0.13        264.654      0.000000     0     0
    1        0.64        0.77        264.418      0.000217     0     0
    2        0.58        1.35        263.942      0.001973     0     0
    3        0.61        1.96        262.981      0.010750     0     0
    4        0.65        2.61        261.814      0.030033     0     0
    5        0.68        3.29        260.913      0.050171     0     0
    6        0.68        3.96        260.085      0.071445     0     0
    7        0.65        4.61        259.2      0.095596     0     0
    8        0.68        5.29        258.148      0.124062     0     0
    9        0.75        6.04        256.741      0.158476     0     0
   10        0.73        6.76        254.51      0.200099     0     0
   11        0.84        7.60        249.889      0.246559     0     0
   12        0.92        8.52        238.949      0.279645     0     0
   13        0.83        9.35        210.653      0.289423     0     0
   14        1.31        10.66        144.85      0.275990     0     0
   15        2.46        13.12        48.0179      0.178999     0     0
   16        2.69        15.81        11.4648      0.032902     0     0
   17        2.65        18.45        13.1806      0.055367     0     0
   18        2.64        21.10        13.3288      0.030714     0     0
   19        2.66        23.76        13.0397      0.029387     0     0
   20        2.68        26.44        12.6165      0.027339     0     0
   21        2.65        29.09        12.2622      0.023618     0     0
   22        2.87        31.95        12.2446      0.022733     0     0
   23        3.08        35.03        12.1341      0.021342     0     0
   24        2.69        37.72        12.0695      0.020978     0     0
   25        2.79        40.51        12.0242      0.019425     0     0
   26        2.67        43.18        11.9504      0.019072     0     0
   27        2.65        45.83        11.9137      0.018274     0     0
    0        1.01        46.83        11.9132      0.017863     0    98
    1        1.04        47.88        11.8836      0.018190     0   109
    2        1.00        48.87        11.8407      0.017712     0    95
    3        0.98        49.85        11.8197      0.017396     0   100
    4        0.95        50.81        11.8051      0.017258     0    93
    5        1.04        51.84        11.7766      0.017090     0    95
    6        0.98        52.82        11.7633      0.017002     0   102
    7        0.98        53.80        11.7435      0.017267     0   103
    8        1.01        54.82        11.7243      0.016851     0    97
    9        1.09        55.90        11.7129      0.017568     0   100
   28        0.10        56.00        11.7129      0.017568     0   100
