# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0        18      2.647e+02      2.647e+02     4.7730e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0        33      2.644e+02      2.644e+02     4.7730e+00     6.9208e-02      2.712e+00     5.0176e-04     7.0959e-04     9.897470e-01          
      1         1        62      2.644e+02      2.644e+02     4.7719e+00     6.9873e-02      2.712e+00     9.2967e-10     2.2776e-08     9.897470e-01          

      2         0        90      2.640e+02      2.640e+02     4.7704e+00     2.0813e-01      8.025e+00     1.9829e-03     4.8981e-03     9.696380e-01          
      2         1       125      2.639e+02      2.639e+02     4.7638e+00     2.0993e-01      8.025e+00     7.2214e-09     3.5286e-11     9.696380e-01          

      3         0       154      2.630e+02      2.630e+02     4.7569e+00     4.8230e-01      1.822e+01     8.8204e-03     2.4852e-02     9.309178e-01          
      3         1       190      2.630e+02      2.630e+02     4.7257e+00     4.8244e-01      1.823e+01     1.2755e-06     6.9841e-08     9.309178e-01          

      4         0       225      2.612e+02      2.612e+02     4.7087e+00     9.8176e-01      3.704e+01     5.1269e-02     1.0199e-01     8.590624e-01          
      4         1       268      2.611e+02      2.612e+02     4.6191e+00     9.3294e-01      3.705e+01     6.8452e-05     2.9874e-07     8.590624e-01          

      5         0       309      2.579e+02      2.582e+02     4.6913e+00     1.5595e+00      6.784e+01     2.9631e-01     2.9376e-01     7.403326e-01          
      5         1       352      2.577e+02      2.583e+02     4.6960e+00     1.2773e+00      6.800e+01     1.6837e-03     1.2103e-05     7.403326e-01          

      6         0       396      2.544e+02      2.549e+02     4.9099e+00     1.3347e+00      9.641e+01     8.2149e-01     3.3946e-01     6.307125e-01          
      6         1       439      2.540e+02      2.548e+02     5.0939e+00     1.1709e+00      9.676e+01     3.0672e-03     6.1712e-05     6.307125e-01          

      7         0       490      2.501e+02      2.506e+02     5.0720e+00     9.6654e-01      1.230e+02     1.3238e+00     3.0110e-01     5.302585e-01          
      7         1       534      2.494e+02      2.502e+02     5.4326e+00     9.3105e-01      1.235e+02     4.0172e-03     8.6804e-05     5.302585e-01          

      8         0       585      2.444e+02      2.447e+02     5.1435e+00     6.9910e-01      1.474e+02     1.7266e+00     2.5022e-01     4.389021e-01          
      8         1       636      2.433e+02      2.439e+02     5.6329e+00     7.0558e-01      1.480e+02     6.3280e-03     9.3646e-06     4.389021e-01          

