# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.13        0.13        264.654      0.000000     0     0
    1        1.09        1.22        264.418      0.000217     0     0
    2        1.04        2.25        263.942      0.001973     0     0
    3        1.14        3.39        262.981      0.010750     0     0
    4        1.06        4.45        261.814      0.030033     0     0
    5        1.10        5.56        260.913      0.050172     0     0
    6        0.76        6.32        260.085      0.071445     0     0
    7        0.76        7.08        259.2      0.095596     0     0
    8        0.76        7.83        258.148      0.124062     0     0
    9        0.76        8.59        256.741      0.158476     0     0
   10        0.76        9.36        254.56      0.199337     0     0
   11        0.76        10.12        251.402      0.235524     0     0
   12        0.77        10.88        246.966      0.261167     0     0
   13        0.76        11.65        240.997      0.276679     0     0
   14        0.76        12.40        233.459      0.285045     0     0
   15        0.76        13.16        224.513      0.289089     0     0
   16        0.76        13.92        214.344      0.290585     0     0
   17        0.76        14.67        203.015      0.290427     0     0
   18        0.76        15.43        190.486      0.288958     0     0
   19        0.76        16.20        176.679      0.286206     0     0
   20        0.76        16.96        161.495      0.281973     0     0
   21        0.76        17.72        144.804      0.275813     0     0
   22        0.76        18.48        126.408      0.266896     0     0
   23        0.76        19.24        105.945      0.253600     0     0
   24        0.84        20.08        82.6185      0.232221     0     0
   25        0.89        20.96        54.161      0.190915     0     0
   26        3.30        24.26        15.1778      0.076733     0     0
   27        3.05        27.31        18.2753      5.669978     0     0
   28        2.55        29.86        16.1799      0.288809     0     0
   29        1.61        31.46        15.8997      0.097243     0     0
   30        2.25        33.71        15.6884      0.053257     0     0
   31        1.46        35.17        15.2651      0.049833     0     0
   32        1.60        36.77        14.47      0.043093     0     0
   33        1.80        38.57        13.6249      0.035307     0     0
   34        2.07        40.64        12.8959      0.028252     0     0
   35        2.27        42.91        12.2851      0.022124     0     0
   36        2.36        45.27        11.7591      0.016768     0     0
   37        2.43        47.70        11.3448      0.012501     0     0
   38        2.44        50.14        11.0632      0.009572     0     0
   39        2.47        52.61        10.8324      0.007184     0     0
   40        2.76        55.38        10.5654      0.004559     0     0
   41        3.04        58.42        10.3807      0.002715     0     0
   42        3.51        61.93        10.2042      0.001380     0     0
   43        3.48        65.41        10.1039      0.000337     0     0
   44        5.19        70.60        10.1048      0.000291     0     0
   45        3.64        74.24        10.0989      0.000227     0     0
   46        3.71        77.95        10.0919      0.000163     0     0
   47        3.81        81.76        10.0845      0.000066     0     0
   48        3.89        85.65        10.0838      0.000044     0     0
   49        3.86        89.51        10.0825      0.000023     0     0
   50        3.97        93.48        10.0816      0.000006     0     0
    0        2.22        95.70        10.0817      0.000002     0     0
   51        0.13        95.83        10.0817      0.000002     0     0
