# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.44        1.56        264.418      0.000217     0     0
    2        1.55        3.11        263.942      0.001973     0     0
    3        1.32        4.43        262.981      0.010750     0     0
    4        1.24        5.67        261.814      0.030033     0     0
    5        1.17        6.84        260.913      0.050172     0     0
    6        1.15        7.99        260.085      0.071445     0     0
    7        1.11        9.10        259.2      0.095596     0     0
    8        1.26        10.36        258.148      0.124061     0     0
    9        1.33        11.69        256.741      0.158473     0     0
   10        1.29        12.98        254.56      0.199334     0     0
   11        1.22        14.20        251.403      0.235521     0     0
   12        1.35        15.55        246.967      0.261165     0     0
   13        1.27        16.82        240.997      0.276677     0     0
   14        1.35        18.17        233.46      0.285044     0     0
   15        1.24        19.40        224.514      0.289088     0     0
   16        1.27        20.67        214.345      0.290585     0     0
   17        1.22        21.89        203.017      0.290427     0     0
   18        1.32        23.21        190.489      0.288958     0     0
   19        1.27        24.48        176.682      0.286207     0     0
   20        1.34        25.82        161.498      0.281974     0     0
   21        1.30        27.11        144.808      0.275815     0     0
   22        1.23        28.34        126.412      0.266898     0     0
   23        1.34        29.68        105.95      0.253603     0     0
   24        1.29        30.97        82.6238      0.232226     0     0
   25        1.32        32.29        54.1673      0.190929     0     0
   26        3.99        36.28        16.651      0.076623     0     0
   27        3.08        39.36        17.8684      0.071016     0     0
   28        2.81        42.16        17.2417      0.064898     0     0
   29        1.87        44.03        15.9031      0.054989     0     0
   30        1.88        45.91        14.7266      0.045267     0     0
   31        1.97        47.88        13.7934      0.036904     0     0
   32        2.20        50.08        13.0527      0.029765     0     0
   33        2.13        52.22        12.4087      0.023394     0     0
   34        2.37        54.59        11.8714      0.017892     0     0
   35        2.32        56.91        11.4114      0.013217     0     0
   36        2.65        59.56        11.1089      0.010050     0     0
   37        2.63        62.19        10.8795      0.007663     0     0
   38        3.01        65.20        10.6173      0.005029     0     0
   39        3.62        68.82        10.4076      0.002965     0     0
   40        4.45        73.27        10.2148      0.001487     0     0
   41        4.54        77.81        10.109      0.000397     0     0
   42        6.73        84.54        10.1053      0.000295     0     0
   43        4.49        89.02        10.0991      0.000229     0     0
   44        4.74        93.77        10.0921      0.000164     0     0
   45        6.92        100.69        10.0865      0.000080     0     0
   46        4.85        105.54        10.0835      0.000039     0     0
   47        7.41        112.95        10.0817      0.000021     0     0
    0        2.83        115.78        10.0817      0.000025     0     0
    1        2.71        118.49        10.0817      0.000023     0     0
    2        2.63        121.12        10.0817      0.000023     0     0
    3        2.55        123.67        10.0817      0.000023     0     0
    4        2.63        126.30        10.0817      0.000023     0     0
    5        2.54        128.84        10.0817      0.000023     0     0
    6        2.63        131.47        10.0817      0.000023     0     0
    7        2.68        134.15        10.0817      0.000023     0     0
    8        2.70        136.85        10.0817      0.000023     0     0
    9        2.54        139.38        10.0817      0.000023     0     0
   48        0.18        139.56        10.0817      0.000023     0     0
