# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.13        0.13        264.654      0.000000     0     0
    1        0.59        0.72        264.418      0.000217     0     0
    2        0.52        1.24        263.942      0.001973     0     0
    3        0.56        1.80        262.981      0.010750     0     0
    4        0.62        2.42        261.086      0.046022     0     0
    5        0.62        3.04        257.724      0.134990     0     0
    6        0.66        3.70        254.023      0.207144     0     0
    7        0.66        4.36        249.396      0.249555     0     0
    8        0.72        5.08        243.284      0.272182     0     0
    9        0.69        5.78        235.673      0.283270     0     0
   10        0.69        6.47        226.783      0.288389     0     0
   11        0.72        7.19        216.766      0.290406     0     0
   12        0.76        7.95        205.655      0.290581     0     0
   13        0.76        8.71        193.387      0.289393     0     0
   14        0.75        9.46        179.869      0.286937     0     0
   15        0.75        10.21         165      0.283062     0     0
   16        0.82        11.03        148.658      0.277384     0     0
   17        0.95        11.98        130.665      0.269180     0     0
   18        1.18        13.16        110.708      0.257067     0     0
   19        1.13        14.30        88.0909      0.237990     0     0
   20        1.42        15.72        61.189      0.203318     0     0
   21        2.56        18.28        24.4847      0.108220     0     0
   22        2.60        20.88        14.0297      0.051551     0     0
   23        2.57        23.45        13.3193      0.032456     0     0
   24        2.58        26.04        12.746      0.026271     0     0
   25        2.59        28.63        12.253      0.022090     0     0
   26        2.61        31.23        12.1757      0.020293     0     0
   27        2.59        33.82        12.2052      0.020189     0     0
   28        2.59        36.41        12.0902      0.018532     0     0
   29        2.60        39.00        12.0353      0.017813     0     0
   30        2.60        41.60        11.9714      0.017683     0     0
    0        0.97        42.57        11.9751      0.017751     0    99
    1        0.92        43.49        11.9077      0.017961     0   106
    2        0.92        44.41        11.8822      0.017621     0   116
    3        0.93        45.34        11.871      0.017313     0   116
    4        0.92        46.26        11.8013      0.016844     0    84
    5        0.93        47.18        11.7888      0.016732     0   102
    6        0.93        48.11        11.7814      0.016720     0    98
    7        0.92        49.03        11.7727      0.016689     0    96
    8        0.92        49.96        11.6294      0.015721     0    72
    9        0.94        50.89        11.6259      0.015582     0    92
   31        0.09        50.98        11.6259      0.015582     0    92
