# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.03        1.15        264.418      0.000217     0     0
    2        1.24        2.39        263.942      0.001973     0     0
    3        1.23        3.62        262.981      0.010750     0     0
    4        1.22        4.84        261.086      0.046022     0     0
    5        1.19        6.03        257.724      0.134990     0     0
    6        1.24        7.27        254.023      0.207144     0     0
    7        1.19        8.45        249.396      0.249555     0     0
    8        1.32        9.77        243.284      0.272183     0     0
    9        1.25        11.03        235.673      0.283270     0     0
   10        1.19        12.22        226.783      0.288389     0     0
   11        1.33        13.55        216.766      0.290406     0     0
   12        1.26        14.81        205.655      0.290581     0     0
   13        1.19        16.00        193.386      0.289393     0     0
   14        1.32        17.32        179.868      0.286936     0     0
   15        1.25        18.58        164.999      0.283062     0     0
   16        1.19        19.76        148.657      0.277385     0     0
   17        1.32        21.08        130.664      0.269183     0     0
   18        1.26        22.34        110.707      0.257073     0     0
   19        1.21        23.54        88.1312      0.238034     0     0
   20        1.42        24.97        61.1902      0.203320     0     0
   21        2.60        27.56        24.6175      0.106686     0     0
   22        2.63        30.19        17.8952      0.069407     0     0
   23        3.25        33.44        13.914      0.038377     0     0
   24        2.86        36.31        12.2059      0.021368     0     0
   25        2.99        39.30        11.208      0.011085     0     0
   26        2.95        42.25        10.9327      0.008214     0     0
   27        3.45        45.70        10.5904      0.004883     0     0
   28        3.66        49.37        10.3913      0.002814     0     0
   29        4.51        53.87        10.2124      0.001422     0     0
   30        4.59        58.47        10.1097      0.000398     0     0
   31        6.77        65.23        10.1053      0.000295     0     0
   32        4.58        69.81        10.0991      0.000229     0     0
   33        4.64        74.45        10.0921      0.000163     0     0
   34        4.64        79.10        10.0865      0.000090     0     0
   35        4.89        83.98        10.0837      0.000041     0     0
   36        7.33        91.31        10.0816      0.000007     0     0
    0        2.77        94.08        10.0816      0.000008     0     0
    1        2.70        96.78        10.0816      0.000009     0     0
    2        2.64        99.42        10.0816      0.000009     0     0
    3        2.58        102.00        10.0816      0.000009     0     0
    4        2.60        104.60        10.0816      0.000009     0     0
    5        2.62        107.21        10.0816      0.000009     0     0
    6        2.52        109.74        10.0816      0.000009     0     0
    7        2.63        112.37        10.0816      0.000009     0     0
    8        2.51        114.88        10.0816      0.000009     0     0
    9        2.62        117.50        10.0816      0.000009     0     0
   37        0.18        117.68        10.0816      0.000009     0     0
