# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.35        1.48        264.418      0.000217     0     0
    2        1.53        3.00        263.942      0.001973     0     0
    3        1.51        4.52        262.981      0.010750     0     0
    4        1.60        6.11        261.086      0.046022     0     0
    5        1.85        7.96        257.724      0.134990     0     0
    6        1.84        9.80        254.023      0.207144     0     0
    7        1.54        11.34        249.396      0.249555     0     0
    8        1.47        12.81        243.284      0.272182     0     0
    9        1.53        14.34        235.673      0.283270     0     0
   10        1.87        16.21        226.783      0.288389     0     0
   11        1.75        17.96        216.766      0.290406     0     0
   12        1.62        19.58        205.655      0.290581     0     0
   13        1.57        21.16        193.387      0.289393     0     0
   14        1.53        22.69        179.869      0.286936     0     0
   15        1.69        24.37         165      0.283062     0     0
   16        1.75        26.12        148.658      0.277385     0     0
   17        1.58        27.70        130.665      0.269183     0     0
   18        1.91        29.60        110.708      0.257073     0     0
   19        2.18        31.78        88.1331      0.238036     0     0
   20        1.59        33.37        61.1926      0.203324     0     0
   21        4.27        37.64        24.6416      0.106763     0     0
   22        6.38        44.02        18.0933      0.070699     0     0
   23        5.28        49.30        13.9069      0.038319     0     0
   24        5.18        54.48        12.2203      0.021533     0     0
   25        9.77        64.25        11.1832      0.010832     0     0
   26        8.08        72.33        10.7395      0.006212     0     0
    0        4.16        76.49        10.6355      0.005298     0     0
    1        3.90        80.39        10.6294      0.005242     0     0
    2        3.92        84.31        10.6272      0.005222     0     0
    3        3.90        88.21        10.6269      0.005221     0     0
    4        3.78        91.99        10.6277      0.005228     0     0
    5        4.17        96.16        10.6277      0.005229     0     0
    6        3.96        100.12        10.6278      0.005229     0     0
    7        4.32        104.44        10.6278      0.005229     0     0
    8        4.42        108.86        10.6278      0.005229     0     0
    9        4.02        112.88        10.6278      0.005229     0     0
   27        0.15        113.04        10.6278      0.005229     0     0
