# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.28        1.40        264.418      0.000217     0     0
    2        1.34        2.75        263.942      0.001973     0     0
    3        1.43        4.17        262.981      0.010750     0     0
    4        1.48        5.66        261.814      0.030033     0     0
    5        1.52        7.18        260.913      0.050172     0     0
    6        1.52        8.70        260.085      0.071445     0     0
    7        1.35        10.05        259.2      0.095596     0     0
    8        1.43        11.49        258.148      0.124062     0     0
    9        1.49        12.98        256.741      0.158476     0     0
   10        1.53        14.51        254.56      0.199337     0     0
   11        1.54        16.06        251.402      0.235524     0     0
   12        1.39        17.44        246.966      0.261167     0     0
   13        1.35        18.79        240.997      0.276679     0     0
   14        1.42        20.21        233.459      0.285045     0     0
   15        1.49        21.70        224.513      0.289089     0     0
   16        1.52        23.22        214.344      0.290585     0     0
   17        1.53        24.75        203.015      0.290427     0     0
   18        1.54        26.29        190.486      0.288958     0     0
   19        1.40        27.69        176.679      0.286206     0     0
   20        1.40        29.09        161.495      0.281973     0     0
   21        1.47        30.56        144.804      0.275813     0     0
   22        1.51        32.07        126.408      0.266895     0     0
   23        1.54        33.61        105.945      0.253600     0     0
   24        1.62        35.23        82.6185      0.232220     0     0
   25        1.72        36.95        54.1605      0.190916     0     0
   26        3.09        40.04        16.6481      0.076490     0     0
   27        3.11        43.15        17.6647      0.069248     0     0
   28        2.02        45.17        16.8804      0.062285     0     0
   29        2.23        47.40        15.5703      0.052382     0     0
   30        2.21        49.62        14.4787      0.043058     0     0
   31        2.22        51.84        13.5795      0.034935     0     0
   32        2.34        54.18        12.8873      0.028128     0     0
   33        2.30        56.48        12.2595      0.021894     0     0
   34        2.49        58.98        11.7468      0.016624     0     0
   35        2.67        61.65        11.3175      0.012234     0     0
   36        2.89        64.54        11.0547      0.009482     0     0
   37        3.03        67.57        10.8239      0.007094     0     0
   38        4.66        72.23        10.5534      0.004454     0     0
   39        5.19        77.42        10.372      0.002634     0     0
   40        6.29        83.71        10.1988      0.001344     0     0
   41        6.13        89.84        10.1044      0.000330     0     0
   42        6.40        96.24        10.1035      0.000276     0     0
   43        6.46        102.70        10.0967      0.000202     0     0
   44        9.47        112.17        10.0893      0.000118     0     0
   45        6.68        118.85        10.0848      0.000061     0     0
   46        7.10        125.94        10.0833      0.000036     0     0
   47        7.00        132.94        10.0819      0.000014     0     0
   48        6.80        139.75        10.0817      0.000006     0     0
   49        6.80        146.54        10.0817      0.000001     0     0
   50        0.37        146.91        10.0818      0.000001     0     0
