# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.6367e-02     0.0000e+00     0.0000e+00     

      1         0        43      2.646e+02      2.646e+02     1.1932e+00     0.0000e+00     5.4195e-02      8.499e+00     1.2307e-03     1.7405e-03     9.678842e-01          2.6367e-02     0.0000e+00     8.4680e-04     
      1         1        86      2.646e+02      2.646e+02     1.1906e+00     9.1311e-03     5.5569e-02      8.499e+00     1.1247e-09     1.2084e-10     9.678842e-01          2.6310e-02     1.4688e-04     8.6840e-04     

      2         0       120      2.646e+02      2.646e+02     1.1891e+00     1.9679e-02     1.1467e-01      1.738e+01     1.8039e-03     5.5309e-03     9.343145e-01          2.6277e-02     4.3485e-04     1.7923e-03     
      2         1       164      2.646e+02      2.646e+02     1.1818e+00     3.9931e-02     1.1470e-01      1.738e+01     8.1272e-08     1.2098e-08     9.343145e-01          2.6115e-02     6.4199e-04     1.7934e-03     

      3         0       203      2.645e+02      2.645e+02     1.1826e+00     5.1031e-02     1.6245e-01      2.462e+01     4.6611e-03     1.0729e-02     9.069463e-01          2.6132e-02     1.1276e-03     2.5412e-03     
      3         1       250      2.645e+02      2.645e+02     1.1698e+00     8.1968e-02     1.6133e-01      2.462e+01     9.3942e-07     1.7274e-07     9.069463e-01          2.5850e-02     1.3169e-03     2.5246e-03     

      4         0       293      2.645e+02      2.645e+02     1.1758e+00     8.3741e-02     1.9777e-01      3.046e+01     9.7887e-03     1.6080e-02     8.848786e-01          2.5982e-02     1.8504e-03     3.0967e-03     
      4         1       348      2.645e+02      2.645e+02     1.1571e+00     1.2654e-01     1.9644e-01      3.046e+01     5.8324e-08     2.8201e-08     8.848786e-01          2.5569e-02     2.0314e-03     3.0765e-03     

      5         0       395      2.644e+02      2.644e+02     1.1690e+00     1.1642e-01     2.2573e-01      3.555e+01     1.6203e-02     2.1388e-02     8.656340e-01          2.5831e-02     2.5725e-03     3.5378e-03     
      5         1       449      2.644e+02      2.644e+02     1.1440e+00     1.7244e-01     2.2437e-01      3.555e+01     8.6102e-08     8.0990e-08     8.656340e-01          2.5279e-02     2.7661e-03     3.5170e-03     

      6         0       496      2.644e+02      2.644e+02     1.1620e+00     1.5005e-01     2.4906e-01      4.029e+01     2.3881e-02     2.6720e-02     8.476867e-01          2.5676e-02     3.3158e-03     3.9072e-03     
      6         1       550      2.644e+02      2.644e+02     1.1303e+00     2.2031e-01     2.4765e-01      4.029e+01     1.2396e-07     1.7668e-07     8.476867e-01          2.4977e-02     3.5309e-03     3.8856e-03     

      7         0       599      2.644e+02      2.644e+02     1.1546e+00     1.8548e-01     2.6897e-01      4.493e+01     3.3036e-02     3.2144e-02     8.301409e-01          2.5513e-02     4.0986e-03     4.2240e-03     
      7         1       652      2.644e+02      2.644e+02     1.1158e+00     2.7095e-01     2.6747e-01      4.493e+01     1.7915e-07     3.3530e-07     8.301409e-01          2.4657e-02     4.3384e-03     4.2009e-03     

      8         0       704      2.644e+02      2.644e+02     1.1467e+00     2.2344e-01     2.8602e-01      4.964e+01     4.4004e-02     3.7719e-02     8.123394e-01          2.5339e-02     4.9373e-03     4.4968e-03     
      8         1       757      2.644e+02      2.644e+02     1.1003e+00     3.2522e-01     2.8438e-01      4.964e+01     2.6312e-07     5.8474e-07     8.123394e-01          2.4314e-02     5.2020e-03     4.4715e-03     

      9         0       808      2.643e+02      2.643e+02     1.1381e+00     2.6471e-01     3.0036e-01      5.457e+01     5.7262e-02     4.3490e-02     7.936804e-01          2.5148e-02     5.8493e-03     4.7282e-03     
      9         1       862      2.643e+02      2.643e+02     1.0835e+00     3.8412e-01     2.9851e-01      5.457e+01     3.9548e-07     9.6322e-07     7.936804e-01          2.3942e-02     6.1370e-03     4.6996e-03     

     10         0       913      2.643e+02      2.643e+02     1.1286e+00     3.1019e-01     3.1179e-01      5.990e+01     7.3494e-02     4.9486e-02     7.735050e-01          2.4939e-02     6.8544e-03     4.9154e-03     
     10         1       968      2.643e+02      2.643e+02     1.0650e+00     4.4879e-01     3.0966e-01      5.991e+01     6.1094e-07     1.5187e-06     7.735050e-01          2.3534e-02     7.1611e-03     4.8822e-03     

     11         0      1020      2.642e+02      2.643e+02     1.1180e+00     3.6096e-01     3.1975e-01      6.586e+01     9.3680e-02     5.5695e-02     7.509890e-01          2.4705e-02     7.9761e-03     5.0493e-03     
     11         1      1074      2.642e+02      2.643e+02     1.0445e+00     5.2058e-01     3.1723e-01      6.586e+01     9.7325e-07     2.2945e-06     7.509890e-01          2.3080e-02     8.2938e-03     5.0099e-03     

     12         0      1125      2.642e+02      2.642e+02     1.1061e+00     4.1822e-01     3.2314e-01      7.273e+01     1.1925e-01     6.2032e-02     7.249974e-01          2.4441e-02     9.2415e-03     5.1131e-03     
     12         1      1179      2.642e+02      2.642e+02     1.0215e+00     6.0088e-01     3.2012e-01      7.273e+01     1.6058e-06     3.2595e-06     7.249974e-01          2.2573e-02     9.5564e-03     5.0656e-03     

