# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.6367e-02     0.0000e+00     0.0000e+00     

      1         0        43      2.646e+02      2.646e+02     1.1932e+00     0.0000e+00     5.4195e-02      8.499e+00     1.2307e-03     1.7405e-03     9.678842e-01          2.6367e-02     0.0000e+00     8.4680e-04     
      1         1        86      2.646e+02      2.646e+02     1.1906e+00     9.1311e-03     5.5569e-02      8.499e+00     1.1247e-09     1.2084e-10     9.678842e-01          2.6310e-02     1.4688e-04     8.6840e-04     

      2         0       120      2.646e+02      2.646e+02     1.1919e+00     6.5289e-03     5.6751e-02      8.676e+00     2.3151e-04     1.3155e-03     9.672128e-01          2.6337e-02     1.4427e-04     8.8688e-04     
      2         1       163      2.646e+02      2.646e+02     1.1905e+00     9.5269e-03     5.6751e-02      8.676e+00     2.4385e-11     8.7717e-12     9.672128e-01          2.6307e-02     1.5324e-04     8.8688e-04     

      3         0       197      2.646e+02      2.646e+02     1.1918e+00     6.7923e-03     5.7873e-02      8.845e+00     2.4554e-04     1.3676e-03     9.665757e-01          2.6336e-02     1.5009e-04     9.0442e-04     
      3         1       240      2.646e+02      2.646e+02     1.1904e+00     9.9106e-03     5.7873e-02      8.845e+00     2.3840e-11     9.8569e-12     9.665757e-01          2.6305e-02     1.5942e-04     9.0443e-04     

      4         0       274      2.646e+02      2.646e+02     1.1918e+00     7.0598e-03     5.8991e-02      9.013e+00     2.6005e-04     1.4204e-03     9.659412e-01          2.6335e-02     1.5600e-04     9.2190e-04     
      4         1       317      2.646e+02      2.646e+02     1.1903e+00     1.0301e-02     5.8991e-02      9.013e+00     2.5595e-11     1.1056e-11     9.659412e-01          2.6302e-02     1.6569e-04     9.2190e-04     

      5         0       351      2.646e+02      2.646e+02     1.1917e+00     7.3315e-03     6.0105e-02      9.180e+00     2.7507e-04     1.4741e-03     9.653092e-01          2.6333e-02     1.6201e-04     9.3932e-04     
      5         1       394      2.646e+02      2.646e+02     1.1902e+00     1.0697e-02     6.0105e-02      9.180e+00     2.7433e-11     1.2360e-11     9.653092e-01          2.6300e-02     1.7206e-04     9.3932e-04     

      6         0       428      2.646e+02      2.646e+02     1.1917e+00     7.6075e-03     6.1215e-02      9.347e+00     2.9060e-04     1.5285e-03     9.646799e-01          2.6332e-02     1.6810e-04     9.5667e-04     
      6         1       471      2.646e+02      2.646e+02     1.1901e+00     1.1099e-02     6.1215e-02      9.347e+00     2.9352e-11     1.3795e-11     9.646799e-01          2.6297e-02     1.7853e-04     9.5667e-04     

      7         0       505      2.646e+02      2.646e+02     1.1916e+00     7.8876e-03     6.2320e-02      9.513e+00     3.0664e-04     1.5837e-03     9.640530e-01          2.6331e-02     1.7429e-04     9.7395e-04     
      7         1       548      2.646e+02      2.646e+02     1.1900e+00     1.1508e-02     6.2320e-02      9.513e+00     3.1352e-11     1.5356e-11     9.640530e-01          2.6295e-02     1.8510e-04     9.7395e-04     

      8         0       582      2.646e+02      2.646e+02     1.1915e+00     8.1719e-03     6.3421e-02      9.678e+00     3.2321e-04     1.6397e-03     9.634288e-01          2.6330e-02     1.8057e-04     9.9117e-04     
      8         1       625      2.646e+02      2.646e+02     1.1898e+00     1.1922e-02     6.3422e-02      9.678e+00     3.3435e-11     1.7054e-11     9.634288e-01          2.6292e-02     1.9177e-04     9.9117e-04     

      9         0       659      2.646e+02      2.646e+02     1.1915e+00     8.4602e-03     6.4518e-02      9.842e+00     3.4030e-04     1.6964e-03     9.628070e-01          2.6328e-02     1.8695e-04     1.0083e-03     
      9         1       702      2.646e+02      2.646e+02     1.1897e+00     1.2342e-02     6.4519e-02      9.842e+00     3.5600e-11     1.8902e-11     9.628070e-01          2.6289e-02     1.9853e-04     1.0083e-03     

     10         0       736      2.646e+02      2.646e+02     1.1914e+00     8.7525e-03     6.5611e-02      1.001e+01     3.5791e-04     1.7539e-03     9.621879e-01          2.6327e-02     1.9340e-04     1.0254e-03     
     10         1       779      2.646e+02      2.646e+02     1.1896e+00     1.2769e-02     6.5611e-02      1.001e+01     3.7849e-11     2.0904e-11     9.621879e-01          2.6287e-02     2.0538e-04     1.0254e-03     

     11         0       813      2.646e+02      2.646e+02     1.1914e+00     9.0488e-03     6.6700e-02      1.017e+01     3.7606e-04     1.8120e-03     9.615713e-01          2.6326e-02     1.9995e-04     1.0424e-03     
     11         1       856      2.646e+02      2.646e+02     1.1895e+00     1.3201e-02     6.6700e-02      1.017e+01     4.0183e-11     2.3072e-11     9.615713e-01          2.6284e-02     2.1233e-04     1.0424e-03     

     12         0       890      2.646e+02      2.646e+02     1.1913e+00     9.3489e-03     6.7784e-02      1.033e+01     3.9474e-04     1.8709e-03     9.609572e-01          2.6324e-02     2.0658e-04     1.0594e-03     
     12         1       933      2.646e+02      2.646e+02     1.1893e+00     1.3638e-02     6.7784e-02      1.033e+01     4.2602e-11     2.5418e-11     9.609572e-01          2.6281e-02     2.1936e-04     1.0594e-03     

