# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.50        0.50        264.654      0.000000     0     0
    1        2.33        2.83        264.542      0.000196     0     0
    2        2.10        4.93        264.357      0.001364     0     0
    3        2.22        7.14        264.191      0.003284     0     0
    4        2.22        9.36        264.05      0.005504     0     0
    5        2.43        11.80        263.927      0.007859     0     0
    6        2.43        14.22        263.813      0.010339     0     0
    7        2.42        16.65        263.702      0.012972     0     0
    8        2.41        19.06        263.591      0.015799     0     0
    9        2.42        21.48        263.476      0.018869     0     0
   10        2.43        23.91        263.353      0.022246     0     0
   11        2.45        26.36        263.217      0.026006     0     0
   12        2.44        28.80        263.061      0.030243     0     0
   13        2.46        31.25        262.876      0.035074     0     0
   14        2.58        33.83        262.641      0.040629     0     0
   15        2.58        36.41        262.321      0.047020     0     0
   16        2.60        39.01        261.84      0.054223     0     0
   17        2.59        41.61        261.024      0.061733     0     0
   18        2.59        44.20        259.486      0.068178     0     0
   19        2.82        47.02        256.574      0.072116     0     0
   20        2.82        49.84        252.752      0.073599     0     0
   21        2.58        52.42        248.423      0.074157     0     0
   22        2.70        55.12        243.499      0.074376     0     0
   23        2.84        57.97        237.97      0.074428     0     0
   24        2.95        60.92        231.821      0.074378     0     0
   25        2.96        63.88        225.042      0.074247     0     0
   26        2.95        66.84        217.624      0.074043     0     0
   27        2.95        69.78        209.554      0.073759     0     0
   28        2.95        72.73        200.821      0.073386     0     0
   29        3.19        75.92        191.411      0.072908     0     0
   30        3.44        79.37        181.303      0.072302     0     0
   31        3.70        83.07        170.471      0.071537     0     0
   32        4.58        87.65        158.876      0.070573     0     0
   33        4.85        92.50        146.457      0.069347     0     0
   34        4.84        97.34        133.091      0.067766     0     0
   35        4.51        101.86        118.731      0.065700     0     0
   36        4.71        106.57        103.056      0.062888     0     0
   37        6.38        112.95        85.3773      0.058779     0     0
   38        7.24        120.19        64.2004      0.051898     0     0
   39        29.65        149.84        32.2532      0.033456     0     0
   40        66.09        215.92        22.6062      0.023328     0     0
   41        51.83        267.75        20.2992      0.020115     0     0
   42        53.73        321.48        18.8912      0.017943     0     0
   43        60.72        382.21        17.5699      0.015735     0     0
   44        61.36        443.57        16.3342      0.013497     0     0
   45        61.97        505.54        15.1702      0.011223     0     0
   46        62.26        567.80        14.0758      0.008922     0     0
   47        62.34        630.14        13.0338      0.006612     0     0
   48        62.20        692.34        12.0891      0.004618     0     0
   49        93.46        785.81        11.4992      0.003260     0     0
   50        93.92        879.73        10.8959      0.001904     0     0
   51        94.16        973.89        10.6337      0.001518     0     0
   52        94.19        1068.07        10.5696      0.001311     0     0
    0        31.91        1099.98        10.5649      0.002237     0   203
    1        31.88        1131.86        10.5626      0.002244     0   209
    2        31.95        1163.82        10.5609      0.002232     0   208
    3        31.84        1195.65        10.559      0.002245     0   216
    4        31.85        1227.51        10.557      0.002223     0   216
    5        31.81        1259.31        10.5537      0.002229     0   218
   53        0.37        1259.68        10.5537      0.001195     0     0
