# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.50        0.50        264.654      0.000000     0     0
    1        7.69        8.19        264.542      0.000196     0     0
    2        7.12        15.31        264.314      0.001787     0     0
    3        7.04        22.35        263.985      0.006704     0     0
    4        7.17        29.53        263.741      0.012030     0     0
    5        7.05        36.57        263.528      0.017466     0     0
    6        7.16        43.73        263.305      0.023565     0     0
    7        7.05        50.78        263.045      0.030695     0     0
    8        6.51        57.29        262.702      0.039256     0     0
    9        6.63        63.92        262.172      0.049543     0     0
   10        6.31        70.23        261.127      0.061018     0     0
   11        6.31        76.54        258.974      0.069311     0     0
   12        6.33        82.87        255.569      0.072692     0     0
   13        6.33        89.19        251.646      0.073802     0     0
   14        6.33        95.53        247.155      0.074239     0     0
   15        6.32        101.85        242.07      0.074402     0     0
   16        6.31        108.16        236.375      0.074423     0     0
   17        6.39        114.55        230.058      0.074350     0     0
   18        6.31        120.85        223.108      0.074200     0     0
   19        6.31        127.16        215.515      0.073974     0     0
   20        6.31        133.48        207.268      0.073668     0     0
   21        6.30        139.78        198.355      0.073270     0     0
   22        6.46        146.24        188.759      0.072773     0     0
   23        6.47        152.72        178.46      0.072114     0     0
   24        6.30        159.01        167.429      0.071302     0     0
   25        6.47        165.48        155.623      0.070274     0     0
   26        6.30        171.78        142.979      0.068966     0     0
   27        6.47        178.25        129.391      0.067278     0     0
   28        6.63        184.88        114.679      0.065034     0     0
   29        6.62        191.51        98.4966      0.061941     0     0
   30        6.79        198.30        80.0753      0.057287     0     0
   31        6.96        205.26        57.1004      0.048894     0     0
   32        15.05        220.30        23.5953      0.024823     0     0
   33        16.94        237.24        19.1601      0.018388     0     0
   34        12.11        249.35        16.8942      0.014530     0     0
   35        12.34        261.69        15.4109      0.011713     0     0
   36        13.03        274.72        14.2976      0.009420     0     0
   37        13.15        287.87        13.2503      0.007101     0     0
   38        26.61        314.47        12.2505      0.004756     0     0
   39        28.46        342.94        11.4077      0.002736     0     0
   40        29.35        372.29        10.9609      0.001612     0     0
   41        30.69        402.98        10.7082      0.001003     0     0
   42        31.29        434.27        10.5416      0.000619     0     0
   43        31.38        465.65        10.4063      0.000338     0     0
   44        31.53        497.19        10.3271      0.000167     0     0
   45        31.62        528.81        10.2925      0.000098     0     0
   46        31.94        560.75        10.2712      0.000055     0     0
   47        32.11        592.86        10.2572      0.000028     0     0
   48        31.92        624.78        10.25      0.000013     0     0
   49        47.43        672.21        10.2473      0.000006     0     0
    0        16.25        688.46        10.2451      0.000003     0     0
    1        16.04        704.50        10.2452      0.000003     0     0
    2        16.25        720.75        10.2452      0.000003     0     0
   50        0.53        721.28        10.2452      0.000003     0     0
