# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        0.59        0.71        264.418      0.000217     0     0
    2        0.53        1.24        263.942      0.001973     0     0
    3        0.56        1.80        263.254      0.007571     0     0
    4        0.56        2.35        262.649      0.015337     0     0
    5        0.59        2.95        262.13      0.023961     0     0
    6        0.60        3.54        261.664      0.033101     0     0
    7        0.62        4.16        261.225      0.042777     0     0
    8        0.62        4.78        260.794      0.053105     0     0
    9        0.62        5.40        260.357      0.064244     0     0
   10        0.62        6.02        259.901      0.076397     0     0
   11        0.59        6.62        259.41      0.089816     0     0
   12        0.59        7.21        258.864      0.104821     0     0
   13        0.62        7.83        258.234      0.121809     0     0
   14        0.63        8.45        257.473      0.141272     0     0
   15        0.68        9.14        256.499      0.163782     0     0
   16        0.66        9.80        255.146      0.189864     0     0
   17        0.66        10.46        253.113      0.218657     0     0
   18        0.66        11.12        250.168      0.244748     0     0
   19        0.66        11.78        246.025      0.264586     0     0
   20        0.73        12.51        240.415      0.277635     0     0
   21        0.69        13.20        233.207      0.285232     0     0
   22        0.73        13.93        224.476      0.289106     0     0
   23        0.70        14.63        214.415      0.290585     0     0
   24        0.76        15.39        203.135      0.290436     0     0
   25        0.76        16.14        190.633      0.288981     0     0
   26        0.75        16.90        176.844      0.286245     0     0
   27        0.82        17.72        161.677      0.282031     0     0
   28        0.82        18.54        145.004      0.275896     0     0
   29        0.95        19.49        126.629      0.267013     0     0
   30        1.09        20.58        106.187      0.253784     0     0
   31        1.21        21.79        82.8775      0.232503     0     0
   32        1.51        23.30        54.5332      0.191625     0     0
   33        5.89        29.20        16.6859      0.077613     0     0
   34        5.90        35.10        16.5425      0.060184     0     0
   35        4.01        39.11        15.6591      0.052914     0     0
   36        5.92        45.03        15.1861      0.049170     0     0
   37        5.96        50.99        14.7466      0.045449     0     0
   38        5.93        56.92        14.3156      0.041658     0     0
   39        5.94        62.86        13.9156      0.037983     0     0
   40        5.94        68.80        13.554      0.034570     0     0
   41        5.96        74.76        13.2481      0.031614     0     0
   42        5.93        80.68        12.9808      0.029004     0     0
   43        5.92        86.60        12.7401      0.026635     0     0
   44        5.92        92.52        12.5073      0.024324     0     0
   45        5.93        98.44        12.2799      0.022007     0     0
   46        5.91        104.36        12.0553      0.019656     0     0
   47        6.26        110.62        11.8282      0.017336     0     0
   48        5.93        116.55        11.6108      0.015108     0     0
   49        5.94        122.50        11.4201      0.013299     0     0
   50        5.97        128.46        11.2128      0.011141     0     0
   51        5.99        134.46        11.0494      0.010682     0     0
   52        5.98        140.44        10.9514      0.008962     0     0
   53        6.03        146.48        10.7824      0.007128     0     0
    0        2.12        148.60        10.7505      0.011135     0    87
    1        2.09        150.69        10.6879      0.013756     0    89
    2        2.08        152.77        10.6423      0.010571     0    97
    3        2.09        154.86        10.629      0.010001     0   100
    4        2.09        156.95        10.6141      0.011114     0    92
    5        2.09        159.04        10.5684      0.009832     0   102
   54        0.09        159.13        10.5684      0.005003     0     0
