# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.22        0.22        264.654      0.000000     0     0
    1        1.52        1.74        264.418      0.000217     0     0
    2        1.32        3.06        263.942      0.001973     0     0
    3        1.20        4.26        262.981      0.010750     0     0
    4        0.76        5.03        261.814      0.030033     0     0
    5        0.95        5.98        260.913      0.050172     0     0
    6        1.29        7.27        260.085      0.071445     0     0
    7        1.34        8.61        259.2      0.095596     0     0
    8        1.26        9.87        258.148      0.124062     0     0
    9        1.24        11.11        256.741      0.158476     0     0
   10        1.39        12.50        254.56      0.199337     0     0
   11        1.37        13.86        251.402      0.235524     0     0
   12        1.34        15.20        246.966      0.261167     0     0
   13        1.08        16.28        240.997      0.276679     0     0
   14        1.16        17.44        233.459      0.285045     0     0
   15        1.06        18.50        224.513      0.289089     0     0
   16        1.15        19.65        214.344      0.290585     0     0
   17        1.18        20.83        203.015      0.290427     0     0
   18        1.06        21.89        190.486      0.288958     0     0
   19        1.16        23.05        176.679      0.286206     0     0
   20        1.20        24.24        161.495      0.281973     0     0
   21        1.06        25.30        144.804      0.275813     0     0
   22        1.16        26.46        126.408      0.266895     0     0
   23        1.18        27.65        105.945      0.253600     0     0
   24        1.13        28.77        82.6185      0.232220     0     0
   25        1.26        30.03        54.1605      0.190916     0     0
   26        2.41        32.44        16.6481      0.076490     0     0
   27        2.48        34.91        17.6647      0.069248     0     0
   28        1.70        36.61        16.8804      0.062285     0     0
   29        1.71        38.32        15.5703      0.052382     0     0
   30        1.77        40.09        14.4787      0.043058     0     0
   31        1.81        41.90        13.5795      0.034935     0     0
   32        1.91        43.81        12.8873      0.028128     0     0
   33        1.89        45.70        12.2595      0.021894     0     0
   34        2.11        47.81        11.7468      0.016624     0     0
   35        2.11        49.93        11.3175      0.012234     0     0
   36        2.29        52.22        11.0547      0.009482     0     0
   37        2.16        54.38        10.8239      0.007094     0     0
   38        4.03        58.42        10.5534      0.004454     0     0
   39        4.49        62.90        10.372      0.002634     0     0
   40        5.36        68.26        10.1988      0.001344     0     0
   41        5.05        73.31        10.1044      0.000330     0     0
   42        5.02        78.33        10.1035      0.000276     0     0
   43        5.43        83.77        10.0967      0.000202     0     0
   44        8.22        91.99        10.0893      0.000118     0     0
   45        5.79        97.78        10.0848      0.000061     0     0
   46        5.81        103.59        10.0833      0.000036     0     0
   47        5.28        108.87        10.0819      0.000014     0     0
   48        5.09        113.96        10.0817      0.000006     0     0
    0        2.88        116.85        10.0817      0.000001     0     0
   49        0.18        117.03        10.0817      0.000001     0     0
