# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.6367e-02     0.0000e+00     0.0000e+00     

      1         0        43      2.646e+02      2.646e+02     1.1932e+00     0.0000e+00     1.0839e-02      1.700e+00     4.9230e-05     6.9621e-05     9.935768e-01          2.6367e-02     0.0000e+00     1.6936e-04     
      1         1        78      2.646e+02      2.646e+02     1.1931e+00     3.4915e-04     1.0906e-02      1.700e+00     3.0153e-11     8.6909e-10     9.935768e-01          2.6365e-02     5.6172e-06     1.7041e-04     

      2         0       110      2.646e+02      2.646e+02     1.1931e+00     7.8088e-04     2.3240e-02      3.611e+00     6.4133e-05     2.3313e-04     9.863551e-01          2.6364e-02     1.7255e-05     3.6313e-04     
      2         1       152      2.646e+02      2.646e+02     1.1928e+00     1.5971e-03     2.3313e-02      3.611e+00     4.7616e-13     3.9802e-14     9.863551e-01          2.6357e-02     2.5694e-05     3.6428e-04     

      3         0       185      2.646e+02      2.646e+02     1.1928e+00     2.2433e-03     3.5524e-02      5.481e+00     7.9171e-05     5.2402e-04     9.792873e-01          2.6357e-02     4.9570e-05     5.5508e-04     
      3         1       227      2.646e+02      2.646e+02     1.1922e+00     3.7269e-03     3.5581e-02      5.481e+00     2.2819e-11     1.0323e-12     9.792873e-01          2.6344e-02     5.9955e-05     5.5599e-04     

      4         0       261      2.646e+02      2.646e+02     1.1924e+00     4.2803e-03     4.7557e-02      7.299e+00     1.3747e-04     9.2944e-04     9.724175e-01          2.6347e-02     9.4582e-05     7.4316e-04     
      4         1       305      2.646e+02      2.646e+02     1.1913e+00     6.6862e-03     4.7600e-02      7.299e+00     2.0031e-10     1.2363e-11     9.724175e-01          2.6325e-02     1.0756e-04     7.4383e-04     

      5         0       339      2.646e+02      2.646e+02     1.1918e+00     6.8405e-03     5.9250e-02      9.056e+00     2.5226e-04     1.4346e-03     9.657790e-01          2.6336e-02     1.5115e-04     9.2593e-04     
      5         1       383      2.646e+02      2.646e+02     1.1903e+00     1.0402e-02     5.9277e-02      9.056e+00     8.5179e-10     5.8809e-11     9.657790e-01          2.6302e-02     1.6731e-04     9.2637e-04     

      6         0       417      2.646e+02      2.646e+02     1.1912e+00     9.8640e-03     7.0534e-02      1.075e+01     4.2584e-04     2.0255e-03     9.593923e-01          2.6322e-02     2.1797e-04     1.1024e-03     
      6         1       460      2.646e+02      2.646e+02     1.1890e+00     1.4787e-02     7.0548e-02      1.075e+01     2.4601e-09     1.7247e-10     9.593923e-01          2.6274e-02     2.3784e-04     1.1026e-03     

      7         0       494      2.646e+02      2.646e+02     1.1905e+00     1.3289e-02     8.1370e-02      1.237e+01     6.5995e-04     2.6886e-03     9.532653e-01          2.6306e-02     2.9366e-04     1.2718e-03     
      7         1       537      2.646e+02      2.646e+02     1.1876e+00     1.9756e-02     8.1372e-02      1.237e+01     5.4381e-09     3.5723e-10     9.532653e-01          2.6243e-02     3.1773e-04     1.2719e-03     

      8         0       571      2.646e+02      2.646e+02     1.1897e+00     1.7059e-02     9.1742e-02      1.392e+01     9.5555e-04     3.4114e-03     9.473952e-01          2.6289e-02     3.7695e-04     1.4341e-03     
      8         1       613      2.646e+02      2.646e+02     1.1860e+00     2.5224e-02     9.1734e-02      1.392e+01     9.8864e-09     5.7595e-10     9.473952e-01          2.6208e-02     4.0564e-04     1.4340e-03     

      9         0       650      2.646e+02      2.646e+02     1.1888e+00     2.1124e-02     1.0165e-01      1.541e+01     1.3126e-03     4.1833e-03     9.417713e-01          2.6270e-02     4.6677e-04     1.5892e-03     
      9         1       691      2.646e+02      2.646e+02     1.1844e+00     3.1119e-02     1.0164e-01      1.541e+01     1.5658e-08     7.9505e-10     9.417713e-01          2.6171e-02     5.0038e-04     1.5890e-03     

     10         0       728      2.646e+02      2.646e+02     1.1879e+00     2.5437e-02     1.1111e-01      1.683e+01     1.7303e-03     4.9956e-03     9.363785e-01          2.6250e-02     5.6208e-04     1.7373e-03     
     10         1       770      2.646e+02      2.646e+02     1.1826e+00     3.7378e-02     1.1109e-01      1.683e+01     2.2557e-08     1.0148e-09     9.363785e-01          2.6131e-02     6.0097e-04     1.7370e-03     

     11         0       808      2.645e+02      2.646e+02     1.1870e+00     2.9964e-02     1.2015e-01      1.820e+01     2.2077e-03     5.8408e-03     9.311990e-01          2.6229e-02     6.6212e-04     1.8788e-03     
     11         1       850      2.645e+02      2.646e+02     1.1807e+00     4.3950e-02     1.2012e-01      1.820e+01     3.0444e-08     1.2742e-09     9.311990e-01          2.6090e-02     7.0655e-04     1.8784e-03     

     12         0       888      2.645e+02      2.645e+02     1.1860e+00     3.4677e-02     1.2879e-01      1.952e+01     2.7433e-03     6.7133e-03     9.262141e-01          2.6208e-02     7.6627e-04     2.0141e-03     
     12         1       931      2.645e+02      2.645e+02     1.1787e+00     5.0793e-02     1.2875e-01      1.952e+01     3.9242e-08     1.6299e-09     9.262141e-01          2.6047e-02     8.1646e-04     2.0136e-03     

