# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        2.02        2.02        264.654      0.000000     0     0
    1        10.10        12.13        264.645      0.000005     0     0
    2        8.79        20.92        264.634      0.000024     0     0
    3        8.83        29.75        264.624      0.000056     0     0
    4        10.00        39.75        264.614      0.000101     0     0
    5        8.91        48.66        264.604      0.000158     0     0
    6        8.86        57.52        264.594      0.000224     0     0
    7        8.87        66.39        264.585      0.000299     0     0
    8        9.24        75.63        264.575      0.000382     0     0
    9        9.34        84.97        264.567      0.000472     0     0
   10        9.29        94.26        264.558      0.000567     0     0
   11        9.29        103.54        264.55      0.000666     0     0
   12        9.32        112.86        264.542      0.000770     0     0
   13        9.35        122.22        264.534      0.000878     0     0
   14        9.37        131.59        264.527      0.000988     0     0
   15        9.40        140.99        264.519      0.001102     0     0
   16        9.50        150.49        264.512      0.001218     0     0
   17        10.03        160.52        264.505      0.001337     0     0
   18        9.82        170.34        264.498      0.001458     0     0
   19        9.87        180.20        264.492      0.001582     0     0
   20        9.86        190.07        264.485      0.001708     0     0
   21        9.93        200.00        264.479      0.001836     0     0
   22        9.99        209.99        264.472      0.001966     0     0
   23        9.93        219.92        264.466      0.002098     0     0
   24        9.93        229.85        264.46      0.002233     0     0
   25        9.97        239.82        264.453      0.002369     0     0
   26        9.98        249.80        264.447      0.002508     0     0
   27        9.98        259.79        264.441      0.002650     0     0
   28        10.03        269.81        264.435      0.002793     0     0
   29        10.07        279.88        264.429      0.002940     0     0
   30        10.02        289.90        264.422      0.003089     0     0
   31        10.03        299.93        264.416      0.003240     0     0
   32        10.06        310.00        264.41      0.003395     0     0
   33        10.08        320.07        264.404      0.003552     0     0
   34        10.10        330.17        264.397      0.003713     0     0
   35        10.11        340.28        264.391      0.003877     0     0
   36        10.09        350.38        264.385      0.004044     0     0
   37        10.09        360.47        264.378      0.004215     0     0
   38        10.09        370.56        264.372      0.004389     0     0
   39        10.08        380.64        264.365      0.004568     0     0
   40        10.13        390.76        264.358      0.004751     0     0
   41        11.17        401.94        264.351      0.004938     0     0
   42        10.12        412.06        264.344      0.005130     0     0
   43        10.10        422.16        264.337      0.005327     0     0
   44        10.09        432.25        264.33      0.005529     0     0
   45        10.06        442.32        264.322      0.005736     0     0
   46        10.08        452.39        264.315      0.005950     0     0
   47        10.07        462.46        264.307      0.006169     0     0
   48        10.09        472.55        264.299      0.006395     0     0
   49        10.09        482.63        264.29      0.006628     0     0
   50        10.08        492.72        264.282      0.006869     0     0
   51        10.10        502.82        264.273      0.007117     0     0
   52        11.45        514.27        264.263      0.007374     0     0
   53        10.04        524.30        264.253      0.007639     0     0
   54        10.05        534.36        264.243      0.007914     0     0
   55        10.64        545.00        264.232      0.008199     0     0
   56        10.68        555.68        264.221      0.008495     0     0
   57        11.17        566.85        264.209      0.008801     0     0
   58        11.19        578.04        264.196      0.009120     0     0
   59        11.18        589.22        264.182      0.009451     0     0
   60        11.19        600.41        264.167      0.009793     0     0
   61        13.44        613.85        264.152      0.010137     0     0
   62        13.60        627.46        264.137      0.010479     0     0
   63        13.42        640.88        264.121      0.010811     0     0
   64        13.82        654.70        264.105      0.011129     0     0
   65        13.83        668.52        264.09      0.011429     0     0
   66        13.81        682.33        264.074      0.011709     0     0
   67        13.74        696.07        264.06      0.011968     0     0
   68        11.31        707.38        264.046      0.012204     0     0
   69        11.37        718.74        264.033      0.012419     0     0
   70        11.38        730.13        264.02      0.012613     0     0
   71        11.39        741.51        264.009      0.012788     0     0
   72        11.49        753.00        263.998      0.012944     0     0
   73        11.47        764.48        263.988      0.013084     0     0
   74        10.80        775.28        263.979      0.013208     0     0
   75        10.83        786.11        263.971      0.013318     0     0
   76        10.82        796.93        263.963      0.013417     0     0
   77        10.82        807.75        263.957      0.013504     0     0
   78        10.84        818.59        263.951      0.013581     0     0
   79        10.84        829.43        263.945      0.013649     0     0
   80        10.86        840.29        263.94      0.013710     0     0
   81        10.86        851.15        263.935      0.013763     0     0
   82        10.90        862.05        263.931      0.013811     0     0
   83        11.09        873.14        263.928      0.013853     0     0
   84        10.93        884.07        263.925      0.013890     0     0
   85        10.87        894.94        263.922      0.013922     0     0
   86        10.88        905.82        263.919      0.013951     0     0
   87        10.93        916.75        263.917      0.013977     0     0
   88        10.93        927.68        263.915      0.013999     0     0
   89        10.93        938.60        263.913      0.014019     0     0
   90        10.90        949.50        263.912      0.014037     0     0
   91        10.89        960.39        263.91      0.014052     0     0
   92        10.89        971.28        263.909      0.014067     0     0
   93        10.89        982.17        263.907      0.014082     0     0
   94        11.00        993.17        263.906      0.014096     0     0
   95        10.91        1004.08        263.905      0.014111     0     0
   96        10.88        1014.97        263.903      0.014125     0     0
   97        10.88        1025.85        263.902      0.014140     0     0
   98        10.89        1036.74        263.901      0.014154     0     0
   99        10.89        1047.64        263.899      0.014169     0     0
  100        10.90        1058.54        263.898      0.014183     0     0
  101        10.90        1069.43        263.897      0.014197     0     0
  102        10.89        1080.32        263.895      0.014211     0     0
  103        10.88        1091.21        263.894      0.014226     0     0
  104        10.89        1102.10        263.892      0.014240     0     0
  105        11.23        1113.33        263.891      0.014254     0     0
  106        10.91        1124.24        263.89      0.014268     0     0
  107        10.89        1135.12        263.888      0.014282     0     0
  108        10.89        1146.02        263.887      0.014296     0     0
  109        10.89        1156.91        263.886      0.014310     0     0
  110        10.90        1167.81        263.884      0.014324     0     0
  111        10.90        1178.71        263.883      0.014338     0     0
  112        10.87        1189.58        263.881      0.014352     0     0
  113        10.87        1200.45        263.88      0.014366     0     0
  114        10.86        1211.31        263.879      0.014380     0     0
  115        10.87        1222.18        263.877      0.014394     0     0
  116        11.07        1233.24        263.876      0.014408     0     0
  117        10.88        1244.13        263.875      0.014421     0     0
  118        10.86        1254.98        263.873      0.014435     0     0
  119        10.86        1265.84        263.872      0.014449     0     0
  120        10.85        1276.70        263.87      0.014462     0     0
  121        10.87        1287.57        263.869      0.014476     0     0
  122        10.86        1298.43        263.867      0.014490     0     0
  123        10.86        1309.29        263.866      0.014503     0     0
  124        10.87        1320.16        263.865      0.014517     0     0
  125        10.87        1331.03        263.863      0.014530     0     0
  126        10.86        1341.89        263.862      0.014544     0     0
  127        11.08        1352.97        263.86      0.014557     0     0
  128        10.90        1363.87        263.859      0.014570     0     0
  129        10.87        1374.74        263.858      0.014584     0     0
  130        10.86        1385.60        263.856      0.014597     0     0
  131        10.86        1396.46        263.855      0.014610     0     0
  132        10.84        1407.29        263.853      0.014623     0     0
  133        10.86        1418.15        263.852      0.014637     0     0
  134        10.83        1428.99        263.85      0.014650     0     0
  135        10.85        1439.84        263.849      0.014663     0     0
  136        10.84        1450.68        263.847      0.014676     0     0
  137        10.83        1461.51        263.846      0.014689     0     0
  138        11.03        1472.54        263.845      0.014702     0     0
  139        10.83        1483.37        263.843      0.014715     0     0
  140        10.80        1494.17        263.842      0.014728     0     0
  141        10.76        1504.93        263.84      0.014741     0     0
  142        10.71        1515.63        263.839      0.014754     0     0
  143        10.71        1526.35        263.837      0.014767     0     0
  144        10.69        1537.03        263.836      0.014779     0     0
  145        10.71        1547.74        263.834      0.014792     0     0
  146        10.79        1558.53        263.833      0.014805     0     0
  147        10.78        1569.31        263.831      0.014818     0     0
  148        10.81        1580.12        263.83      0.014830     0     0
  149        10.93        1591.05        263.828      0.014843     0     0
  150        10.88        1601.93        263.827      0.014856     0     0
  151        10.81        1612.75        263.825      0.014868     0     0
  152        10.84        1623.58        263.824      0.014881     0     0
  153        10.83        1634.41        263.822      0.014893     0     0
  154        10.84        1645.25        263.821      0.014906     0     0
  155        10.84        1656.09        263.82      0.014918     0     0
  156        10.83        1666.92        263.818      0.014931     0     0
  157        10.84        1677.76        263.817      0.014943     0     0
  158        10.84        1688.61        263.815      0.014955     0     0
  159        10.83        1699.44        263.813      0.014968     0     0
  160        10.84        1710.28        263.812      0.014980     0     0
  161        10.91        1721.19        263.81      0.014992     0     0
  162        10.83        1732.02        263.809      0.015004     0     0
  163        10.83        1742.85        263.807      0.015016     0     0
  164        10.84        1753.69        263.806      0.015029     0     0
  165        10.83        1764.52        263.804      0.015041     0     0
  166        10.81        1775.32        263.803      0.015053     0     0
  167        10.81        1786.13        263.801      0.015065     0     0
  168        10.80        1796.93        263.8      0.015077     0     0
  169        10.81        1807.73        263.798      0.015089     0     0
  170        10.81        1818.54        263.797      0.015101     0     0
  171        10.81        1829.36        263.795      0.015113     0     0
  172        11.01        1840.36        263.794      0.015125     0     0
  173        10.81        1851.18        263.792      0.015137     0     0
  174        10.80        1861.98        263.791      0.015148     0     0
  175        10.82        1872.80        263.789      0.015160     0     0
  176        10.80        1883.61        263.787      0.015172     0     0
  177        10.82        1894.43        263.786      0.015184     0     0
  178        10.81        1905.24        263.784      0.015195     0     0
  179        10.82        1916.06        263.783      0.015207     0     0
  180        10.81        1926.87        263.781      0.015219     0     0
  181        10.82        1937.69        263.78      0.015230     0     0
  182        10.81        1948.49        263.778      0.015242     0     0
  183        10.92        1959.41        263.776      0.015253     0     0
  184        10.81        1970.22        263.775      0.015265     0     0
  185        10.81        1981.04        263.773      0.015276     0     0
  186        10.81        1991.85        263.772      0.015288     0     0
  187        10.82        2002.66        263.77      0.015299     0     0
  188        10.86        2013.53        263.769      0.015311     0     0
  189        10.82        2024.35        263.767      0.015322     0     0
  190        10.82        2035.17        263.765      0.015333     0     0
  191        10.83        2046.00        263.764      0.015345     0     0
  192        10.83        2056.82        263.762      0.015356     0     0
  193        10.82        2067.64        263.761      0.015367     0     0
  194        11.07        2078.71        263.759      0.015378     0     0
  195        10.80        2089.51        263.757      0.015389     0     0
  196        10.80        2100.32        263.756      0.015400     0     0
  197        10.80        2111.12        263.754      0.015412     0     0
  198        10.80        2121.92        263.752      0.015423     0     0
  199        10.81        2132.72        263.751      0.015434     0     0
  200        10.81        2143.53        263.749      0.015445     0     0
  201        10.81        2154.34        263.748      0.015456     0     0
  202        10.80        2165.15        263.746      0.015467     0     0
  203        10.80        2175.95        263.744      0.015478     0     0
  204        10.78        2186.73        263.743      0.015488     0     0
  205        11.77        2198.50        263.741      0.015499     0     0
  206        13.06        2211.56        263.739      0.015510     0     0
  207        13.15        2224.71        263.738      0.015521     0     0
  208        13.20        2237.91        263.736      0.015532     0     0
  209        13.07        2250.98        263.734      0.015542     0     0
  210        13.14        2264.13        263.733      0.015553     0     0
  211        13.07        2277.19        263.731      0.015564     0     0
  212        13.15        2290.34        263.729      0.015574     0     0
  213        13.07        2303.41        263.728      0.015585     0     0
  214        11.88        2315.29        263.726      0.015596     0     0
  215        10.82        2326.11        263.724      0.015606     0     0
  216        10.80        2336.91        263.723      0.015617     0     0
  217        10.81        2347.72        263.721      0.015627     0     0
  218        10.81        2358.54        263.719      0.015638     0     0
  219        10.81        2369.34        263.718      0.015648     0     0
  220        10.81        2380.15        263.716      0.015659     0     0
  221        10.81        2390.96        263.714      0.015669     0     0
  222        10.78        2401.74        263.713      0.015679     0     0
  223        10.79        2412.53        263.711      0.015690     0     0
  224        10.79        2423.32        263.709      0.015700     0     0
  225        11.01        2434.33        263.708      0.015710     0     0
  226        10.79        2445.11        263.706      0.015720     0     0
  227        10.79        2455.90        263.704      0.015731     0     0
  228        10.78        2466.68        263.702      0.015741     0     0
  229        10.78        2477.46        263.701      0.015751     0     0
  230        10.78        2488.24        263.699      0.015761     0     0
  231        10.78        2499.02        263.697      0.015771     0     0
  232        10.77        2509.79        263.695      0.015781     0     0
  233        10.77        2520.56        263.694      0.015791     0     0
  234        10.78        2531.34        263.692      0.015801     0     0
  235        10.78        2542.12        263.69      0.015811     0     0
  236        10.96        2553.07        263.689      0.015821     0     0
  237        10.80        2563.88        263.687      0.015831     0     0
  238        10.78        2574.66        263.685      0.015841     0     0
  239        10.78        2585.44        263.683      0.015851     0     0
  240        10.79        2596.23        263.682      0.015861     0     0
  241        10.78        2607.01        263.68      0.015871     0     0
  242        10.83        2617.85        263.678      0.015880     0     0
  243        10.78        2628.62        263.676      0.015890     0     0
  244        10.79        2639.41        263.674      0.015900     0     0
  245        10.80        2650.21        263.673      0.015910     0     0
  246        10.79        2660.99        263.671      0.015919     0     0
  247        10.98        2671.98        263.669      0.015929     0     0
  248        10.83        2682.81        263.667      0.015939     0     0
  249        10.78        2693.59        263.666      0.015948     0     0
  250        10.79        2704.37        263.664      0.015958     0     0
  251        10.78        2715.15        263.662      0.015967     0     0
  252        10.78        2725.93        263.66      0.015977     0     0
  253        10.80        2736.73        263.658      0.015986     0     0
  254        10.78        2747.51        263.657      0.015996     0     0
  255        10.80        2758.31        263.655      0.016005     0     0
  256        10.78        2769.09        263.653      0.016014     0     0
  257        10.77        2779.87        263.651      0.016024     0     0
  258        10.83        2790.70        263.649      0.016033     0     0
  259        11.40        2802.10        263.647      0.016042     0     0
  260        10.79        2812.89        263.646      0.016052     0     0
  261        10.79        2823.68        263.644      0.016061     0     0
  262        10.77        2834.46        263.642      0.016070     0     0
  263        10.74        2845.20        263.64      0.016079     0     0
  264        10.74        2855.93        263.638      0.016089     0     0
  265        10.74        2866.68        263.636      0.016098     0     0
  266        10.74        2877.42        263.635      0.016107     0     0
  267        10.75        2888.17        263.633      0.016116     0     0
  268        10.74        2898.91        263.631      0.016125     0     0
  269        10.77        2909.67        263.629      0.016134     0     0
  270        10.83        2920.51        263.627      0.016143     0     0
  271        10.73        2931.24        263.625      0.016152     0     0
  272        10.74        2941.98        263.623      0.016161     0     0
  273        10.73        2952.71        263.621      0.016170     0     0
  274        10.73        2963.43        263.62      0.016179     0     0
  275        10.74        2974.17        263.618      0.016188     0     0
  276        10.73        2984.90        263.616      0.016197     0     0
  277        10.73        2995.62        263.614      0.016206     0     0
  278        10.72        3006.35        263.612      0.016214     0     0
  279        10.73        3017.08        263.61      0.016223     0     0
  280        10.73        3027.81        263.608      0.016232     0     0
  281        10.95        3038.76        263.606      0.016241     0     0
  282        10.74        3049.50        263.604      0.016249     0     0
  283        10.73        3060.23        263.602      0.016258     0     0
  284        10.73        3070.96        263.601      0.016267     0     0
  285        10.73        3081.69        263.599      0.016275     0     0
  286        10.73        3092.42        263.597      0.016284     0     0
  287        10.74        3103.16        263.595      0.016293     0     0
  288        10.74        3113.89        263.593      0.016301     0     0
  289        10.75        3124.64        263.591      0.016310     0     0
  290        10.75        3135.39        263.589      0.016318     0     0
  291        10.73        3146.12        263.587      0.016327     0     0
  292        10.84        3156.96        263.585      0.016335     0     0
  293        10.70        3167.67        263.583      0.016344     0     0
  294        10.69        3178.36        263.581      0.016352     0     0
  295        10.70        3189.06        263.579      0.016360     0     0
  296        10.70        3199.76        263.577      0.016369     0     0
  297        10.71        3210.47        263.575      0.016377     0     0
  298        10.71        3221.18        263.573      0.016385     0     0
  299        10.70        3231.87        263.571      0.016394     0     0
  300        10.72        3242.59        263.569      0.016402     0     0
  301        10.71        3253.30        263.567      0.016410     0     0
  302        10.71        3264.01        263.565      0.016418     0     0
  303        10.97        3274.98        263.563      0.016427     0     0
  304        10.70        3285.68        263.561      0.016435     0     0
  305        10.71        3296.39        263.559      0.016443     0     0
  306        10.70        3307.09        263.557      0.016451     0     0
  307        10.69        3317.78        263.555      0.016459     0     0
  308        10.70        3328.48        263.553      0.016467     0     0
  309        10.71        3339.19        263.551      0.016475     0     0
  310        10.70        3349.89        263.549      0.016483     0     0
  311        10.71        3360.60        263.547      0.016491     0     0
  312        10.71        3371.31        263.545      0.016499     0     0
  313        10.70        3382.01        263.543      0.016507     0     0
  314        10.81        3392.82        263.541      0.016515     0     0
  315        10.72        3403.53        263.539      0.016523     0     0
  316        10.70        3414.24        263.537      0.016531     0     0
  317        10.71        3424.94        263.535      0.016539     0     0
  318        10.70        3435.64        263.533      0.016547     0     0
  319        10.70        3446.34        263.531      0.016554     0     0
  320        10.70        3457.04        263.529      0.016562     0     0
  321        10.70        3467.74        263.526      0.016570     0     0
  322        10.70        3478.45        263.524      0.016578     0     0
  323        10.69        3489.14        263.522      0.016585     0     0
  324        10.71        3499.85        263.52      0.016593     0     0
  325        10.73        3510.57        263.518      0.016601     0     0
  326        10.87        3521.44        263.516      0.016608     0     0
  327        10.70        3532.13        263.514      0.016616     0     0
  328        10.70        3542.83        263.512      0.016624     0     0
  329        10.72        3553.55        263.51      0.016631     0     0
  330        10.70        3564.26        263.508      0.016639     0     0
  331        10.71        3574.97        263.505      0.016646     0     0
  332        10.70        3585.67        263.503      0.016654     0     0
  333        10.70        3596.37        263.501      0.016661     0     0
  334        10.68        3607.05        263.499      0.016669     0     0
  335        10.68        3617.73        263.497      0.016676     0     0
  336        10.68        3628.41        263.495      0.016684     0     0
  337        10.85        3639.25        263.493      0.016691     0     0
  338        10.68        3649.93        263.49      0.016698     0     0
  339        10.67        3660.60        263.488      0.016706     0     0
  340        10.67        3671.28        263.486      0.016713     0     0
  341        10.68        3681.95        263.484      0.016720     0     0
  342        10.69        3692.64        263.482      0.016728     0     0
  343        10.69        3703.33        263.48      0.016735     0     0
  344        10.69        3714.01        263.477      0.016742     0     0
  345        10.68        3724.70        263.475      0.016749     0     0
  346        10.68        3735.38        263.473      0.016757     0     0
  347        10.67        3746.04        263.471      0.016764     0     0
  348        10.82        3756.86        263.469      0.016771     0     0
  349        10.69        3767.55        263.466      0.016778     0     0
  350        10.68        3778.23        263.464      0.016785     0     0
  351        10.68        3788.90        263.462      0.016792     0     0
  352        10.68        3799.58        263.46      0.016799     0     0
  353        10.68        3810.26        263.457      0.016806     0     0
  354        10.68        3820.94        263.455      0.016813     0     0
  355        10.66        3831.61        263.453      0.016820     0     0
  356        10.67        3842.28        263.451      0.016827     0     0
  357        10.67        3852.95        263.448      0.016834     0     0
  358        10.67        3863.62        263.446      0.016841     0     0
  359        10.78        3874.40        263.444      0.016848     0     0
  360        10.69        3885.09        263.442      0.016855     0     0
  361        10.69        3895.78        263.439      0.016862     0     0
  362        10.69        3906.47        263.437      0.016869     0     0
  363        10.68        3917.14        263.435      0.016876     0     0
  364        10.69        3927.83        263.433      0.016883     0     0
  365        10.69        3938.52        263.43      0.016889     0     0
  366        10.67        3949.19        263.428      0.016896     0     0
  367        10.69        3959.88        263.426      0.016903     0     0
