# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.6367e-02     0.0000e+00     0.0000e+00     

      1         0        43      2.646e+02      2.646e+02     1.1932e+00     0.0000e+00     5.4195e-02      8.499e+00     1.2307e-03     1.7405e-03     9.678842e-01          2.6367e-02     0.0000e+00     8.4680e-04     
      1         1       716      2.646e+02      2.646e+02     1.1906e+00     9.1311e-03     5.5569e-02      8.499e+00     2.8033e-10     7.5394e-13     9.678842e-01          2.6310e-02     1.4688e-04     8.6840e-04     

      2         0      1391      2.645e+02      2.645e+02     1.1868e+00     3.0980e-02     1.6442e-01      2.486e+01     5.2535e-03     1.2041e-02     9.060572e-01          2.6225e-02     6.8456e-04     2.5700e-03     
      2         1      2066      2.645e+02      2.645e+02     1.1694e+00     8.3586e-02     1.6280e-01      2.486e+01     1.2879e-07     1.3183e-11     9.060572e-01          2.5840e-02     1.3428e-03     2.5477e-03     

      3         0      2742      2.644e+02      2.644e+02     1.1688e+00     1.1735e-01     2.4138e-01      3.748e+01     1.5427e-02     2.4335e-02     8.583389e-01          2.5827e-02     2.5931e-03     3.7815e-03     
      3         1      3417      2.644e+02      2.644e+02     1.1386e+00     1.9136e-01     2.3418e-01      3.748e+01     5.5890e-07     6.3338e-11     8.583389e-01          2.5159e-02     3.0685e-03     3.6722e-03     

      4         0      4093      2.644e+02      2.644e+02     1.1525e+00     1.9535e-01     2.7994e-01      4.669e+01     3.4388e-02     3.4798e-02     8.234881e-01          2.5468e-02     4.3167e-03     4.3963e-03     
      4         1      4767      2.644e+02      2.644e+02     1.1101e+00     2.9094e-01     2.7418e-01      4.669e+01     7.5422e-07     1.2543e-10     8.234881e-01          2.4531e-02     4.6568e-03     4.3080e-03     

      5         0      5444      2.643e+02      2.643e+02     1.1366e+00     2.7190e-01     3.0717e-01      5.565e+01     5.7962e-02     4.5375e-02     7.895923e-01          2.5115e-02     6.0082e-03     4.8356e-03     
      5         1      6119      2.643e+02      2.643e+02     1.0798e+00     3.9718e-01     3.0111e-01      5.565e+01     1.2885e-06     1.6674e-10     7.895923e-01          2.3860e-02     6.3442e-03     4.7420e-03     

      6         0      6796      2.642e+02      2.643e+02     1.1185e+00     3.5859e-01     3.2432e-01      6.562e+01     9.0078e-02     5.6323e-02     7.518670e-01          2.4716e-02     7.9238e-03     5.1200e-03     
      6         1      7471      2.642e+02      2.643e+02     1.0453e+00     5.1781e-01     3.1703e-01      6.563e+01     2.5143e-06     3.6554e-10     7.518670e-01          2.3098e-02     8.2502e-03     5.0064e-03     

      7         0      8148      2.642e+02      2.642e+02     1.0971e+00     4.6123e-01     3.2794e-01      7.786e+01     1.3610e-01     6.7309e-02     7.055926e-01          2.4243e-02     1.0192e-02     5.1961e-03     
      7         1      8823      2.642e+02      2.642e+02     1.0052e+00     6.5796e-01     3.1869e-01      7.786e+01     5.5201e-06     1.0632e-09     7.055926e-01          2.2212e-02     1.0450e-02     5.0504e-03     

      8         0      9500      2.640e+02      2.641e+02     1.0714e+00     5.8414e-01     3.0963e-01      9.441e+01     2.0479e-01     7.6649e-02     6.429928e-01          2.3675e-02     1.2908e-02     4.9306e-03     
      8         1     10176      2.640e+02      2.641e+02     9.5906e-01     8.1926e-01     2.9829e-01      9.442e+01     1.4393e-05     1.0977e-09     6.429928e-01          2.1192e-02     1.2960e-02     4.7487e-03     

      9         0     10853      2.638e+02      2.638e+02     1.0426e+00     7.2159e-01     2.5476e-01      1.188e+02     3.0764e-01     7.8750e-02     5.506454e-01          2.3038e-02     1.5945e-02     4.0859e-03     
      9         1     11529      2.638e+02      2.638e+02     9.1073e-01     9.8809e-01     2.4488e-01      1.189e+02     4.9656e-05     6.8843e-09     5.506454e-01          2.0124e-02     1.5557e-02     3.9206e-03     

     10         0     12206      2.633e+02      2.634e+02     1.0198e+00     8.2908e-01     1.6042e-01      1.539e+02     4.4059e-01     6.3678e-02     4.180819e-01          2.2534e-02     1.8320e-02     2.5969e-03     
     10         1     12883      2.632e+02      2.632e+02     8.7332e-01     1.1186e+00     1.6261e-01      1.540e+02     2.3147e-04     7.4494e-08     4.180819e-01          1.9298e-02     1.7539e-02     2.6195e-03     

     11         0     13561      2.624e+02      2.624e+02     1.0130e+00     8.5800e-01     7.5962e-02      1.936e+02     5.6543e-01     3.8151e-02     2.674921e-01          2.2384e-02     1.8959e-02     1.2405e-03     
     11         1     14239      2.619e+02      2.619e+02     8.5575e-01     1.1795e+00     8.7210e-02      1.939e+02     1.0659e-03     1.1632e-06     2.674921e-01          1.8910e-02     1.8464e-02     1.4139e-03     

     12         0     14917      2.608e+02      2.608e+02     1.0147e+00     8.4477e-01     5.5366e-02      2.134e+02     6.4888e-01     3.0144e-02     1.930651e-01          2.2421e-02     1.8667e-02     9.0386e-04     
     12         1     15594      2.604e+02      2.604e+02     8.5200e-01     1.1920e+00     5.7789e-02      2.138e+02     9.8590e-04     9.3043e-07     1.930651e-01          1.8827e-02     1.8648e-02     9.4226e-04     

