# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        1.98        1.98        264.654      0.000000     0     0
    1        87.70        89.68        264.607      0.000138     0     0
    2        84.06        173.73        264.509      0.001268     0     0
    3        83.77        257.51        264.43      0.002909     0     0
    4        85.58        343.09        264.37      0.004432     0     0
    5        83.58        426.67        264.311      0.006065     0     0
    6        82.97        509.63        264.242      0.007928     0     0
    7        82.91        592.55        264.154      0.010108     0     0
    8        83.15        675.70        264.019      0.012640     0     0
    9        84.35        760.05        263.767      0.015320     0     0
   10        86.33        846.38        263.204      0.017416     0     0
   11        86.05        932.43        261.858      0.018394     0     0
   12        83.72        1016.15        260.405      0.018601     0     0
   13        83.17        1099.32        258.579      0.018680     0     0
   14        83.10        1182.43        256.481      0.018710     0     0
   15        83.25        1265.68        254.061      0.018722     0     0
   16        83.27        1348.94        251.328      0.018723     0     0
   17        84.06        1433.00        248.275      0.018719     0     0
   18        84.88        1517.88        244.901      0.018708     0     0
   19        86.39        1604.27        241.203      0.018694     0     0
   20        86.77        1691.05        237.178      0.018674     0     0
   21        83.10        1774.15        232.824      0.018650     0     0
   22        84.40        1858.55        228.14      0.018622     0     0
   23        85.41        1943.96        223.122      0.018583     0     0
   24        85.98        2029.94        217.769      0.018539     0     0
   25        83.94        2113.88        212.076      0.018486     0     0
   26        84.30        2198.18        206.042      0.018423     0     0
   27        86.27        2284.45        199.661      0.018352     0     0
   28        85.56        2370.01        192.928      0.018261     0     0
   29        84.74        2454.75        185.836      0.018160     0     0
   30        85.17        2539.92        178.376      0.018037     0     0
   31        85.88        2625.80        170.537      0.017895     0     0
   32        83.97        2709.77        162.302      0.017729     0     0
   33        86.81        2796.58        153.649      0.017528     0     0
   34        87.14        2883.72        144.546      0.017293     0     0
   35        88.55        2972.27        134.946      0.017007     0     0
   36        84.24        3056.52        124.781      0.016660     0     0
   37        89.12        3145.64        113.937      0.016232     0     0
   38        91.24        3236.88        102.225      0.015683     0     0
   39        92.65        3329.53        89.2801      0.014948     0     0
   40        90.58        3420.11        74.2738      0.013874     0     0
   41        90.34        3510.45        54.47      0.011912     0     0
   42        108.47        3618.92        32.681      0.008459     0     0
   43        125.80        3744.72        24.5802      0.006386     0     0
   44        343.02        4087.75        18.4384      0.004271     0     0
   45        367.09        4454.83        15.3743      0.002830     0     0
   46        593.39        5048.23        13.3752      0.001810     0     0
   47        411.83        5460.06        12.2783      0.001196     0     0
   48        425.68        5885.74        11.5093      0.000744     0     0
   49        434.20        6319.94        11.0417      0.000445     0     0
   50        673.65        6993.59        10.7448      0.000242     0     0
   51        461.36        7454.95        10.6222      0.000155     0     0
   52        695.60        8150.55        10.5198      0.000083     0     0
   53        465.83        8616.38        10.4699      0.000048     0     0
   54        711.15        9327.53        10.4399      0.000027     0     0
   55        721.54        10049.08        10.4259      0.000017     0     0
   56        470.44        10519.52        10.4164      0.000011     0     0
   57        715.16        11234.68        10.408      0.000005     0     0
    0        235.46        11470.14        10.4047      0.000003     0     0
    1        235.24        11705.38        10.4045      0.000003     0     0
    2        233.58        11938.95        10.4045      0.000003     0     0
    3        233.44        12172.39        10.4045      0.000003     0     0
   58        2.16        12174.55        10.4045      0.000003     0     0
