# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        20      2.647e+02      2.647e+02     2.3865e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0547e-01     0.0000e+00     0.0000e+00     

      1         0        36      2.645e+02      2.645e+02     2.3865e+00     0.0000e+00     6.5217e-02      5.113e+00     8.9110e-04     1.2602e-03     9.806766e-01          1.0547e-01     0.0000e+00     2.0380e-03     
      1         1        67      2.645e+02      2.645e+02     2.3846e+00     6.4718e-03     6.6323e-02      5.113e+00     8.6091e-09     1.4674e-07     9.806766e-01          1.0539e-01     2.0825e-04     2.0727e-03     

      2         0        96      2.644e+02      2.644e+02     2.3826e+00     1.8655e-02     1.7231e-01      1.316e+01     2.4062e-03     6.5114e-03     9.502282e-01          1.0530e-01     8.2444e-04     5.3855e-03     
      2         1       132      2.644e+02      2.644e+02     2.3736e+00     4.4996e-02     1.7347e-01      1.316e+01     2.7728e-08     1.4301e-09     9.502282e-01          1.0490e-01     1.4473e-03     5.4232e-03     

      3         0       164      2.642e+02      2.642e+02     2.3730e+00     6.4563e-02     2.6643e-01      2.012e+01     4.9573e-03     1.4455e-02     9.239002e-01          1.0487e-01     2.8533e-03     8.3316e-03     
      3         1       202      2.642e+02      2.642e+02     2.3556e+00     1.0828e-01     2.6547e-01      2.012e+01     5.1857e-07     7.8611e-08     9.239002e-01          1.0410e-01     3.4811e-03     8.3042e-03     

      4         0       238      2.641e+02      2.641e+02     2.3619e+00     1.1805e-01     3.3988e-01      2.584e+01     1.1618e-02     2.3499e-02     9.022434e-01          1.0438e-01     5.2171e-03     1.0637e-02     
      4         1       275      2.641e+02      2.641e+02     2.3347e+00     1.8139e-01     3.3809e-01      2.584e+01     2.4749e-06     3.9636e-07     9.022434e-01          1.0318e-01     5.8280e-03     1.0583e-02     

      5         0       312      2.639e+02      2.639e+02     2.3504e+00     1.7330e-01     3.9878e-01      3.076e+01     2.0805e-02     3.2764e-02     8.835988e-01          1.0387e-01     7.6589e-03     1.2490e-02     
      5         1       356      2.639e+02      2.639e+02     2.3126e+00     2.5880e-01     3.9676e-01      3.076e+01     3.5726e-07     6.1221e-08     8.835988e-01          1.0220e-01     8.3102e-03     1.2428e-02     

      6         0       395      2.638e+02      2.638e+02     2.3385e+00     2.3052e-01     4.4835e-01      3.526e+01     3.2107e-02     4.2185e-02     8.665548e-01          1.0335e-01     1.0188e-02     1.4054e-02     
      6         1       439      2.638e+02      2.638e+02     2.2893e+00     3.4022e-01     4.4620e-01      3.526e+01     5.3031e-07     1.4891e-07     8.665548e-01          1.0117e-01     1.0917e-02     1.3988e-02     

      7         0       478      2.637e+02      2.637e+02     2.3259e+00     2.9080e-01     4.9138e-01      3.957e+01     4.5716e-02     5.1839e-02     8.502276e-01          1.0279e-01     1.2852e-02     1.5416e-02     
      7         1       522      2.637e+02      2.637e+02     2.2646e+00     4.2655e-01     4.8907e-01      3.957e+01     7.6839e-07     3.0193e-07     8.502276e-01          1.0008e-01     1.3678e-02     1.5345e-02     

      8         0       561      2.636e+02      2.636e+02     2.3124e+00     3.5527e-01     5.2928e-01      4.385e+01     6.2050e-02     6.1824e-02     8.340007e-01          1.0220e-01     1.5701e-02     1.6621e-02     
      8         1       604      2.636e+02      2.636e+02     2.2382e+00     5.1907e-01     5.2675e-01      4.385e+01     1.1130e-06     5.5177e-07     8.340007e-01          9.8916e-02     1.6633e-02     1.6544e-02     

      9         0       643      2.635e+02      2.635e+02     2.2978e+00     4.2517e-01     5.6274e-01      4.823e+01     8.1742e-02     7.2242e-02     8.173555e-01          1.0155e-01     1.8790e-02     1.7691e-02     
      9         1       687      2.635e+02      2.635e+02     2.2095e+00     6.1939e-01     5.5990e-01      4.824e+01     1.6324e-06     9.4328e-07     8.173555e-01          9.7649e-02     1.9831e-02     1.7604e-02     

     10         0       726      2.634e+02      2.634e+02     2.2818e+00     5.0202e-01     5.9188e-01      5.287e+01     1.0571e-01     8.3190e-02     7.997719e-01          1.0084e-01     2.2186e-02     1.8630e-02     
     10         1       770      2.634e+02      2.634e+02     2.1781e+00     7.2948e-01     5.8861e-01      5.287e+01     2.4473e-06     1.5403e-06     7.997719e-01          9.6259e-02     2.3334e-02     1.8530e-02     

