# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0        18      2.647e+02      2.647e+02     4.7730e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.2188e-01     0.0000e+00     0.0000e+00     

      1         0        33      2.644e+02      2.644e+02     4.7730e+00     0.0000e+00     6.9208e-02      2.712e+00     5.0176e-04     7.0959e-04     9.897470e-01          4.2188e-01     0.0000e+00     4.3255e-03     
      1         1       100      2.644e+02      2.644e+02     4.7719e+00     3.5846e-03     6.9873e-02      2.712e+00     1.7224e-11     7.0094e-14     9.897470e-01          4.2178e-01     2.3067e-04     4.3671e-03     

      2         0       159      2.640e+02      2.640e+02     4.7704e+00     1.2195e-02     2.0812e-01      8.025e+00     1.9830e-03     4.8975e-03     9.696380e-01          4.2165e-01     1.0779e-03     1.3008e-02     
      2         1       226      2.639e+02      2.639e+02     4.7637e+00     3.2553e-02     2.0993e-01      8.025e+00     7.5172e-09     2.7395e-12     9.696380e-01          4.2105e-01     2.0946e-03     1.3123e-02     

      3         0       294      2.630e+02      2.630e+02     4.7562e+00     8.0634e-02     4.8230e-01      1.822e+01     8.8203e-03     2.4852e-02     9.309178e-01          4.2039e-01     7.1271e-03     3.0153e-02     
      3         1       362      2.630e+02      2.630e+02     4.7223e+00     1.7729e-01     4.8244e-01      1.823e+01     9.5893e-07     6.5464e-11     9.309178e-01          4.1740e-01     1.1402e-02     3.0177e-02     

      4         0       431      2.618e+02      2.619e+02     4.7136e+00     2.8470e-01     7.9347e-01      2.997e+01     3.0598e-02     6.4788e-02     8.861582e-01          4.1663e-01     2.5165e-02     4.9665e-02     
      4         1       500      2.618e+02      2.619e+02     4.6316e+00     4.9487e-01     7.7793e-01      2.997e+01     1.2307e-05     1.0432e-10     8.861582e-01          4.0938e-01     3.1801e-02     4.8734e-02     

      5         0       569      2.609e+02      2.610e+02     4.6599e+00     5.4206e-01     9.8283e-01      3.871e+01     7.8892e-02     1.0220e-01     8.527035e-01          4.1188e-01     4.7912e-02     6.1641e-02     
      5         1       638      2.609e+02      2.611e+02     4.5370e+00     8.2603e-01     9.6576e-01      3.871e+01     2.2408e-05     2.0527e-11     8.527035e-01          4.0102e-01     5.3042e-02     6.0606e-02     

      6         0       707      2.601e+02      2.602e+02     4.6072e+00     7.9354e-01     1.1180e+00      4.657e+01     1.4334e-01     1.3956e-01     8.225445e-01          4.0722e-01     7.0140e-02     7.0273e-02     
      6         1       775      2.601e+02      2.603e+02     4.4372e+00     1.1754e+00     1.1004e+00      4.658e+01     3.7596e-05     3.5720e-11     8.225445e-01          3.9220e-01     7.5424e-02     6.9200e-02     

      7         0       844      2.592e+02      2.594e+02     4.5484e+00     1.0727e+00     1.2221e+00      5.478e+01     2.3002e-01     1.7916e-01     7.909654e-01          4.0203e-01     9.4816e-02     7.7027e-02     
      7         1       912      2.592e+02      2.596e+02     4.3241e+00     1.5714e+00     1.2011e+00      5.481e+01     7.0960e-05     6.0625e-11     7.909654e-01          3.8220e-01     1.0076e-01     7.5743e-02     

      8         0       981      2.582e+02      2.584e+02     4.4786e+00     1.4021e+00     1.2927e+00      6.424e+01     3.5259e-01     2.2158e-01     7.545849e-01          3.9585e-01     1.2393e-01     8.1794e-02     
      8         1      1049      2.581e+02      2.587e+02     4.1910e+00     2.0372e+00     1.2655e+00      6.428e+01     1.4698e-04     1.9417e-10     7.545849e-01          3.7043e-01     1.3051e-01     8.0127e-02     

      9         0      1118      2.568e+02      2.572e+02     4.3919e+00     1.8058e+00     1.3137e+00      7.622e+01     5.3453e-01     2.6568e-01     7.085439e-01          3.8819e-01     1.5961e-01     8.3637e-02     
