# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0        20      2.647e+02      2.647e+02     2.3865e+00     0.0000e+00     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0        36      2.645e+02      2.645e+02     2.3865e+00     6.5217e-02      5.113e+00     8.9110e-04     1.2602e-03     9.806766e-01          
      1         1       225      2.645e+02      2.645e+02     2.3846e+00     6.6323e-02      5.113e+00     1.0063e-10     2.4890e-13     9.806766e-01          

      2         0       405      2.643e+02      2.643e+02     2.3820e+00     1.9652e-01      1.500e+01     3.5669e-03     8.6545e-03     9.432746e-01          
      2         1       593      2.643e+02      2.643e+02     2.3704e+00     1.9799e-01      1.500e+01     4.4526e-08     7.7840e-12     9.432746e-01          

      3         0       783      2.640e+02      2.640e+02     2.3652e+00     3.7716e-01      2.845e+01     1.2456e-02     2.9582e-02     8.923548e-01          
      3         1       973      2.640e+02      2.640e+02     2.3339e+00     3.6974e-01      2.845e+01     1.4643e-06     2.8175e-11     8.923548e-01          

      4         0      1163      2.637e+02      2.638e+02     2.3471e+00     4.8427e-01      3.807e+01     3.5910e-02     4.9332e-02     8.559035e-01          
      4         1      1353      2.637e+02      2.638e+02     2.3076e+00     4.7470e-01      3.807e+01     2.9864e-06     4.9779e-12     8.559035e-01          

      5         0      1544      2.635e+02      2.636e+02     2.3381e+00     5.5486e-01      4.625e+01     6.8506e-02     6.8404e-02     8.248620e-01          
      5         1      1734      2.635e+02      2.636e+02     2.2955e+00     5.4566e-01      4.626e+01     4.7138e-06     2.9234e-12     8.248620e-01          

      6         0      1925      2.633e+02      2.634e+02     2.3368e+00     6.0855e-01      5.464e+01     1.1147e-01     8.8419e-02     7.930301e-01          
      6         1      2115      2.633e+02      2.634e+02     2.2994e+00     5.9788e-01      5.465e+01     8.6798e-06     4.5670e-12     7.930301e-01          

      7         0      2306      2.630e+02      2.631e+02     2.3466e+00     6.4497e-01      6.417e+01     1.7149e-01     1.0973e-01     7.568870e-01          
      7         1      2497      2.630e+02      2.632e+02     2.3273e+00     6.3146e-01      6.418e+01     1.7576e-05     1.5223e-11     7.568870e-01          

      8         0      2689      2.627e+02      2.628e+02     2.3745e+00     6.5702e-01      7.605e+01     2.5940e-01     1.3195e-01     7.118058e-01          
      8         1      2880      2.627e+02      2.629e+02     2.3920e+00     6.3894e-01      7.607e+01     4.0219e-05     1.0755e-10     7.118058e-01          

      9         0      3072      2.622e+02      2.623e+02     2.4327e+00     6.2643e-01      9.251e+01     3.9485e-01     1.5205e-01     6.493875e-01          
      9         1      3263      2.622e+02      2.624e+02     2.5101e+00     6.0255e-01      9.255e+01     1.1084e-04     1.3586e-09     6.493875e-01          

     10         0      3455      2.613e+02      2.614e+02     2.5338e+00     5.1568e-01      1.182e+02     6.0979e-01     1.5794e-01     5.522152e-01          
     10         1      3646      2.611e+02      2.613e+02     2.6851e+00     4.9200e-01      1.183e+02     4.3057e-04     3.1360e-08     5.522152e-01          

     11         0      3838      2.595e+02      2.596e+02     2.6187e+00     3.2828e-01      1.522e+02     8.7277e-01     1.2719e-01     4.234369e-01          
     11         1      4029      2.590e+02      2.591e+02     2.8338e+00     3.3193e-01      1.525e+02     1.6687e-03     4.8584e-07     4.234369e-01          

     12         0      4222      2.565e+02      2.565e+02     2.6296e+00     2.0133e-01      1.819e+02     1.0837e+00     9.1794e-02     3.108046e-01          
     12         1      4414      2.556e+02      2.557e+02     2.8986e+00     2.1391e-01      1.826e+02     3.6288e-03     1.9225e-06     3.108046e-01          

     13         0      4607      2.526e+02      2.526e+02     2.6258e+00     1.4607e-01      2.013e+02     1.2339e+00     7.2383e-02     2.383524e-01          
     13         1      4799      2.516e+02      2.517e+02     2.9192e+00     1.5105e-01      2.020e+02     4.0544e-03     2.2447e-06     2.383524e-01          

     14         0      4992      2.481e+02      2.481e+02     2.6245e+00     1.1089e-01      2.148e+02     1.3441e+00     5.7788e-02     1.882122e-01          
     14         1      5184      2.472e+02      2.472e+02     2.9264e+00     1.1302e-01      2.156e+02     4.4380e-03     2.7050e-06     1.882122e-01          

     15         0      5377      2.430e+02      2.431e+02     2.6208e+00     8.7043e-02      2.246e+02     1.4243e+00     4.6568e-02     1.519738e-01          
     15         1      5569      2.421e+02      2.421e+02     2.9278e+00     8.8058e-02      2.255e+02     4.7453e-03     3.2663e-06     1.519738e-01          

     16         0      5762      2.374e+02      2.374e+02     2.6144e+00     7.0208e-02      2.321e+02     1.4821e+00     3.7867e-02     1.249524e-01          
     16         1      5954      2.364e+02      2.364e+02     2.9258e+00     7.0738e-02      2.330e+02     4.9685e-03     3.9276e-06     1.249524e-01          

     17         0      6147      2.311e+02      2.311e+02     2.6058e+00     5.7922e-02      2.378e+02     1.5249e+00     3.1089e-02     1.042886e-01          
     17         1      6339      2.301e+02      2.301e+02     2.9213e+00     5.8223e-02      2.388e+02     5.1236e-03     4.7166e-06     1.042886e-01          

