# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1       914      2.06      2.06     
    2      1837      1.91      3.97     
    3      2751      1.98      5.95     
    4      3665      1.98      7.93     
    5      4579      1.99      9.92     
    6      5495      1.99      11.91     
    7      6411      2.00      13.91     
    8      7327      2.01      15.92     
    9      8243      1.86      17.78     
   10      9159      1.97      19.75     
   11     10075      1.88      21.63     
   12     10991      1.90      23.53     
   13     11907      1.86      25.39     
   14     12823      1.86      27.25     
   15     13739      1.86      29.11     
   16     14655      1.90      31.01     
   17     15571      1.89      32.89     
   18     16487      1.89      34.79     
   19     17403      1.89      36.68     
   20     18319      1.90      38.57     
   21     19235      1.89      40.47     
   22     20151      1.87      42.34     
   23     21067      1.88      44.22     
   24     21983      1.88      46.10     
   25     22899      1.89      47.99     
   26     23815      1.89      49.88     
   27     24731      1.95      51.83     
   28     25647      1.88      53.71     
   29     26563      1.88      55.59     
   30     27479      1.87      57.46     
   31     28395      1.89      59.35     
   32     29311      1.89      61.24     
   33     30227      1.89      63.13     
   34     31143      1.88      65.01     
   35     32059      1.88      66.90     
   36     32975      1.88      68.77     
   37     33891      1.89      70.66     
   38     34807      1.89      72.55     
   39     35723      2.12      74.66     
   40     36639      1.89      76.55     
   41     37555      1.88      78.43     
   42     38471      1.95      80.38     
   43     39387      1.89      82.26     
   44     40301      1.96      84.23     
   45     41215      2.17      86.40     
   46     42131      2.06      88.46     
   47     43047      2.25      90.71     
   48     43963      2.06      92.78     
   49     44879      1.88      94.65     
   50     45795      1.92      96.58     
   51     46711      1.96      98.53     
   52     47627      2.06      100.59     
   53     48543      1.93      102.52     
   54     49459      1.88      104.40     
   55     50375      1.87      106.27     
   56     51291      1.87      108.14     
   57     52207      1.87      110.01     
   58     53123      1.87      111.88     
   59     54039      1.89      113.77     
   60     54955      1.87      115.64     
   61     55871      1.87      117.51     
   62     56787      1.93      119.44     
   63     57703      1.88      121.32     
   64     58619      1.89      123.22     
   65     59535      1.89      125.11     
   66     60451      1.87      126.98     
   67     61367      1.88      128.86     
   68     62283      1.89      130.74     
   69     63199      1.89      132.63     
   70     64115      1.87      134.50     
   71     65031      1.87      136.38     
   72     65947      1.86      138.24     
   73     66863      1.90      140.14     
   74     67779      1.90      142.04     
   75     68695      1.88      143.93     
   76     69611      1.90      145.83     
   77     70527      1.90      147.73     
   78     71443      1.89      149.63     
   79     72359      1.91      151.53     
   80     73275      1.87      153.41     
