# Kona composite-step convergence history file
# iters        cost     optimality       feasibility      objective        penalty          radius      
      1          14     4.776911e+00     6.324495e+01     2.646540e+02     1.000000e+00     5.000000e+01
      2         272     1.248994e+01     3.449048e+01     2.250159e+02     1.000000e+00     5.000000e+01
      3         591     4.239346e+00     3.192008e-01     1.060691e+02     1.000000e+00     4.999997e+01
      4        2539     3.885609e+00     2.548355e+00     5.474170e+01     1.000000e+00     2.499980e+01
      5        4474     2.253938e+00     4.626611e+00     1.607214e+01     1.000000e+00     2.499196e+01
      6        6112     1.344617e+01     1.322225e+01     1.592287e+01     -4.711245e-01     4.998393e+01
      7       13877     2.284498e+00     4.927600e+00     1.222273e+01     5.745968e-01     2.539813e+00
      8       15211     3.661099e+00     3.408281e+00     1.131650e+01     5.745968e-01     2.539813e+00
      9       18597     8.300609e-01     3.927362e+00     1.302610e+01     6.157366e-02     5.079627e+00
     10       19909     6.412278e-01     4.719144e+00     1.305259e+01     6.157366e-02     1.015925e+01
     11       22230     1.731557e+00     5.709441e+00     1.253113e+01     6.157366e-02     2.031851e+01
     12       24310     3.526450e+00     4.054449e+00     1.073732e+01     2.413550e-01     2.031851e+01
     13       28727     8.014708e-01     2.625887e+00     1.062889e+01     2.413550e-01     2.031851e+01
     14       30731     5.714765e-01     3.500555e+00     1.144429e+01     -3.624762e-01     2.031851e+01
     15       32711     7.131888e-01     3.486265e+00     1.112371e+01     -3.624762e-01     2.031851e+01
     16       36087     6.721030e-01     4.114078e+00     1.128224e+01     -3.624762e-01     2.031851e+01
     17       40255     1.539548e+00     3.171477e+00     1.051162e+01     4.039137e-01     1.630562e+00
     18       41907     4.829504e-01     2.757242e+00     1.046371e+01     4.039137e-01     3.261125e+00
     19       45666     4.506661e-02     2.746811e+00     1.046222e+01     4.039137e-01     8.210353e-02
     20       46975     4.183388e-02     2.744838e+00     1.046444e+01     4.039137e-01     8.210353e-02
     21       51775     3.426764e-02     2.744787e+00     1.046449e+01     3.310555e-01     5.018402e-03
     22       57206     3.426764e-02     2.744787e+00     1.046449e+01     2.174685e+01     4.845513e-05
     23       58496     3.389193e-02     2.744787e+00     1.046449e+01     1.012718e+01     9.691026e-05
     24       59784     3.372792e-02     2.744787e+00     1.046450e+01     5.669295e+00     1.938205e-04
