#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+00
      1     9.999159e-01     9.998334e-01     9.999163e-01     9.995453e-01     -2.947658e-01     1.254736e-01     1.000000e+00
      2     1.473065e-01     1.665774e+00     7.741580e-02     5.445321e-02     -4.411912e+01     1.975798e+03     1.000000e+00
      3     7.806352e-02     9.314607e-01     3.433744e-02     4.242808e-02     -3.426110e+01     2.179631e+03     1.000000e+00
      4     4.334643e-02     5.755223e-01     2.132218e-04     3.407917e-02     -3.550444e+01     2.037916e+03     1.000000e+00
      5     4.135441e-05     5.120596e-04     1.497026e-05     5.536966e-02     5.312816e+02     2.162025e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.135509e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.497026e-05
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.643126e-05     5.120596e-04     1.497026e-05     2.311159e-01     5.312816e+02     1.899151e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.643126e-05     5.120596e-04     1.497026e-05     6.086102e-01     5.312816e+02     1.256855e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.741236e-04
# initial residual norm     = 1.750451e+01
# initial gradient norm     = 1.682424e+01
# initial constraint norm   = 4.832472e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.023293e+00
      1     9.370239e-01     9.061961e-01     1.251698e+00     1.158335e+00     -1.940022e+01     1.175055e+00     1.023293e+00
      2     3.693992e-01     3.130373e-01     7.763146e-01     7.490581e-01     -6.910317e+00     1.436601e+01     1.023293e+00
      3     2.763470e-01     2.819633e-01     1.958607e-01     1.116844e+00     -1.224943e+01     2.748817e+02     1.023293e+00
      4     2.717878e-01     2.821848e-01     6.369739e-02     1.047999e+00     -8.412624e+00     2.544507e+02     1.023293e+00
      5     1.105947e-01     1.125708e-01     8.298165e-02     1.051360e+00     -1.423573e+03     2.646883e+02     1.023293e+00
      6     1.041747e-01     1.081509e-01     2.488948e-02     1.051301e+00     -1.432341e+03     2.646913e+02     1.023293e+00
      7     1.036622e-01     1.075837e-01     2.655312e-02     1.051302e+00     -1.432918e+03     2.646922e+02     1.023293e+00
      8     4.038014e-02     2.743822e-02     1.107655e-01     1.051316e+00     -1.464167e+03     2.646930e+02     1.023293e+00
      9     4.008563e-02     2.701856e-02     1.106122e-01     1.051304e+00     -1.464190e+03     2.646935e+02     1.023293e+00
     10     1.327057e-03     1.020699e-03     3.237129e-03     1.051304e+00     -1.465105e+03     2.646936e+02     1.023293e+00
     11     2.137310e-04     2.111916e-04     2.424038e-04     1.051304e+00     -1.465105e+03     2.646936e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 2.137321e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 2.424038e-04
#-------------------------------------------------
# FLECS resolving at new radius
     11     2.337469e-04     2.111916e-04     2.424038e-04     8.258968e-01     -1.465105e+03     1.333828e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.504174e-04
# initial residual norm     = 2.463916e+02
# initial gradient norm     = 2.460902e+02
# initial constraint norm   = 1.218401e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.047129e+00
      1     3.673412e-01     2.253484e-01     5.870874e+00     2.962719e+00     -1.485374e+03     2.137064e+02     1.047129e+00
      2     3.657597e-01     2.442297e-01     5.511446e+00     6.228200e+00     -1.411086e+03     8.493690e+02     1.047129e+00
      3     1.028977e-01     7.034884e-02     1.520201e+00     1.535371e+01     -7.429416e+02     6.330639e+03     1.047129e+00
      4     6.306695e-02     5.879208e-02     4.652870e-01     1.534811e+01     -4.711106e+02     6.335703e+03     1.047129e+00
      5     2.982103e-02     2.755479e-02     2.322375e-01     1.534816e+01     -3.403403e+02     6.335740e+03     1.047129e+00
      6     5.060176e-03     4.723274e-03     3.701677e-02     1.534812e+01     -3.812472e+02     6.335740e+03     1.047129e+00
      7     1.322823e-03     1.183788e-03     1.199680e-02     6.314063e+00     -3.819377e+02     8.633032e+02     1.047129e+00
      8     7.651221e-04     5.060479e-04     1.161615e-02     6.598609e+00     -3.819709e+02     9.347478e+02     1.047129e+00
      9     3.822005e-04     3.769870e-04     1.326937e-03     6.393493e+00     -3.819765e+02     2.885543e+03     1.047129e+00
     10     3.700187e-04     3.641549e-04     1.375922e-03     6.393541e+00     -3.819782e+02     2.885727e+03     1.047129e+00
     11     3.616264e-04     3.567560e-04     1.248238e-03     6.393600e+00     -3.819781e+02     2.885788e+03     1.047129e+00
     12     1.075352e-04     9.387712e-05     1.064801e-03     6.393543e+00     -3.819814e+02     2.885838e+03     1.047129e+00
     13     6.740906e-05     3.919093e-05     1.109812e-03     6.393544e+00     -3.819817e+02     2.885839e+03     1.047129e+00
     14     1.515564e-05     1.415191e-05     1.105911e-04     6.393544e+00     -3.819818e+02     2.885841e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.515570e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.105911e-04
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.701490e-05     1.415191e-05     1.105911e-04     4.801094e+00     -3.819818e+02     1.209390e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.701490e-05     1.415191e-05     1.105911e-04     3.915233e+00     -3.819818e+02     7.057901e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.701490e-05     1.415191e-05     1.105911e-04     3.021214e+00     -3.819818e+02     4.763919e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.244250e-04
# initial residual norm     = 6.240013e+01
# initial gradient norm     = 4.670811e+01
# initial constraint norm   = 4.137787e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.071519e+00
      1     4.434627e-01     2.445727e-01     6.091217e-01     6.064823e-01     -1.400835e+02     4.624645e+02     1.071519e+00
      2     3.209940e-01     1.620973e-01     4.481620e-01     7.575572e-02     -1.256420e+02     8.002707e+02     1.071519e+00
      3     1.960000e-01     1.506450e-01     2.417635e-01     8.789221e-02     -1.048868e+02     8.449821e+02     1.071519e+00
      4     5.210946e-02     6.953947e-02     3.686340e-03     8.653252e-02     -1.264481e+02     8.451913e+02     1.071519e+00
      5     5.184755e-02     6.916655e-02     4.192877e-03     8.653236e-02     -1.283972e+02     8.451913e+02     1.071519e+00
      6     2.794550e-02     3.582460e-02     1.186221e-02     8.649418e-02     -2.813889e+02     8.451974e+02     1.071519e+00
      7     2.747804e-02     3.522749e-02     1.165553e-02     7.677302e-02     -2.822700e+02     8.045478e+02     1.071519e+00
      8     2.059667e-02     2.421087e-02     1.476041e-02     7.677036e-02     -2.914520e+02     8.045484e+02     1.071519e+00
      9     1.950949e-02     2.315917e-02     1.349771e-02     7.677008e-02     -2.922609e+02     8.045484e+02     1.071519e+00
     10     1.626102e-02     2.022571e-02     8.949439e-03     7.677003e-02     -2.940901e+02     8.045484e+02     1.071519e+00
     11     1.132335e-02     1.351012e-02     7.682523e-03     8.618381e-02     -2.954035e+02     8.350896e+02     1.071519e+00
     12     3.236673e-04     4.033957e-04     1.757738e-04     8.618558e-02     -2.957891e+02     8.350905e+02     1.071519e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 3.236671e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.757738e-04
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.462976e-04
# initial residual norm     = 4.678546e+01
# initial gradient norm     = 4.554003e+01
# initial constraint norm   = 1.072311e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.096478e+00
      1     8.150057e-01     7.048472e-01     1.919358e+00     9.791945e-01     -1.076039e+02     1.193681e-01     1.096478e+00
      2     2.236632e-01     1.243312e-01     8.206592e-01     4.400699e-01     -2.926645e+01     4.152146e+01     1.096478e+00
      3     1.629057e-01     1.068960e-01     5.468933e-01     5.633860e-01     -3.395823e+01     1.892624e+02     1.096478e+00
      4     8.944746e-02     9.177483e-02     1.984222e-02     5.596732e-01     -3.615523e+01     1.895128e+02     1.096478e+00
      5     8.560420e-02     8.683517e-02     5.915730e-02     5.596222e-01     -5.926888e+01     1.895161e+02     1.096478e+00
      6     4.532979e-02     3.378561e-02     1.361163e-01     5.591507e-01     -1.786988e+02     1.895502e+02     1.096478e+00
      7     3.281784e-02     2.085906e-02     1.124928e-01     5.589909e-01     -1.861178e+02     1.895619e+02     1.096478e+00
      8     1.707592e-02     8.265158e-03     6.571610e-02     5.567098e-01     -1.889536e+02     1.897213e+02     1.096478e+00
      9     1.527036e-02     8.273051e-03     5.660808e-02     5.566344e-01     -1.890243e+02     1.897261e+02     1.096478e+00
     10     1.148005e-02     8.128239e-03     3.629312e-02     5.563275e-01     -1.891165e+02     1.897472e+02     1.096478e+00
     11     1.090366e-02     7.669056e-03     3.467593e-02     5.562993e-01     -1.891253e+02     1.897493e+02     1.096478e+00
     12     2.301875e-03     1.478431e-03     7.838553e-03     4.724393e-01     -1.891548e+02     8.149727e+01     1.096478e+00
     13     7.368251e-04     4.600228e-04     2.553062e-03     5.434577e-01     -1.891549e+02     1.665792e+02     1.096478e+00
     14     3.090430e-04     2.253905e-04     9.496556e-04     5.434566e-01     -1.891551e+02     1.665801e+02     1.096478e+00
     15     3.084620e-04     2.245988e-04     9.494430e-04     5.434566e-01     -1.891551e+02     1.665802e+02     1.096478e+00
     16     1.781470e-04     1.736443e-04     2.455719e-04     5.434560e-01     -1.891552e+02     1.665803e+02     1.096478e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.781463e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 2.455719e-04
#-------------------------------------------------
# FLECS resolving at new radius
     16     1.951211e-04     1.736443e-04     2.455719e-04     4.967070e-01     -1.891552e+02     9.682004e+01     1.096478e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.561680e-04
# initial residual norm     = 3.845605e+01
# initial gradient norm     = 3.752637e+01
# initial constraint norm   = 8.404693e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.122018e+00
      1     8.267727e-01     7.457863e-01     1.795125e+00     8.421016e-01     -6.844489e+01     2.812889e+00     1.122018e+00
      2     1.878876e-01     1.055200e-01     7.190905e-01     4.059343e-01     -2.185408e+01     2.775129e+01     1.122018e+00
      3     1.650842e-01     1.017997e-01     6.032891e-01     8.601624e-01     -2.622543e+01     1.088697e+02     1.122018e+00
      4     8.666807e-02     8.785166e-02     5.825329e-02     8.164809e-01     -2.765220e+01     1.116618e+02     1.122018e+00
      5     8.494221e-02     8.678872e-02     2.989217e-02     7.641188e-01     -2.857922e+01     1.150428e+02     1.122018e+00
      6     8.381622e-02     8.536428e-02     4.247348e-02     5.782631e-01     -1.805550e+01     1.248368e+02     1.122018e+00
      7     8.295202e-02     8.413152e-02     5.433442e-02     5.710014e-01     -7.978879e+00     1.251512e+02     1.122018e+00
      8     8.279116e-02     8.405477e-02     5.149154e-02     5.119704e-01     -8.724713e+00     1.277495e+02     1.122018e+00
      9     8.184578e-02     8.234290e-02     7.121479e-02     5.117960e-01     4.983579e+00     1.277564e+02     1.122018e+00
     10     7.543229e-02     7.159556e-02     1.301378e-01     5.102009e-01     8.079968e+01     1.278396e+02     1.122018e+00
     11     7.234392e-02     6.684025e-02     1.431949e-01     5.099323e-01     1.146049e+02     1.278503e+02     1.122018e+00
     12     5.834963e-02     4.838868e-02     1.568455e-01     5.098276e-01     2.108807e+02     1.278524e+02     1.122018e+00
     13     2.544205e-02     1.886075e-02     8.037366e-02     5.099375e-01     2.799975e+02     1.278585e+02     1.122018e+00
     14     1.333450e-02     8.640315e-03     4.726780e-02     5.105622e-01     2.825821e+02     1.279553e+02     1.122018e+00
     15     1.172057e-02     7.543035e-03     4.173341e-02     5.105686e-01     2.826988e+02     1.279567e+02     1.122018e+00
     16     6.016976e-03     5.556447e-03     1.193561e-02     5.102606e-01     2.828429e+02     1.279669e+02     1.122018e+00
     17     6.016131e-03     5.556576e-03     1.192549e-02     5.102193e-01     2.828420e+02     1.279779e+02     1.122018e+00
     18     5.944029e-03     5.526708e-03     1.143516e-02     5.102310e-01     2.828478e+02     1.279785e+02     1.122018e+00
     19     5.923718e-03     5.521280e-03     1.126552e-02     5.100320e-01     2.828426e+02     1.279909e+02     1.122018e+00
     20     4.946858e-03     5.050926e-03     1.931168e-03     5.099842e-01     2.828204e+02     1.279927e+02     1.122018e+00
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.946910e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.931168e-03
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.982738e-03     5.050926e-03     1.931168e-03     4.506271e-01     2.828204e+02     8.035362e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.982738e-03     5.050926e-03     1.931168e-03     4.256688e-01     2.828204e+02     5.510616e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.163525e-04
# initial residual norm     = 5.012891e+01
# initial gradient norm     = 4.908295e+01
# initial constraint norm   = 1.018686e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.148154e+00
      1     8.665968e-01     7.809710e-01     2.006520e+00     1.007477e+00     9.701755e+01     3.581156e+01     1.148154e+00
      2     2.261392e-01     1.682568e-01     7.623117e-01     6.326980e-01     2.982333e+01     7.286647e+01     1.148154e+00
      3     2.079129e-01     1.616883e-01     6.632186e-01     4.975320e-01     2.257776e+01     9.411523e+01     1.148154e+00
      4     1.494642e-01     1.296904e-01     3.879280e-01     5.155906e-01     2.363102e+01     1.053460e+02     1.148154e+00
      5     1.203297e-01     1.000493e-01     3.438581e-01     5.085056e-01     2.890240e+01     1.063166e+02     1.148154e+00
      6     1.196524e-01     9.888950e-02     3.459176e-01     5.101257e-01     3.002402e+01     1.100091e+02     1.148154e+00
      7     1.001054e-01     8.465286e-02     2.762269e-01     4.827663e-01     3.343934e+01     1.146650e+02     1.148154e+00
      8     8.453470e-02     6.663457e-02     2.645117e-01     4.545026e-01     3.922418e+01     1.158543e+02     1.148154e+00
      9     8.453238e-02     6.659405e-02     2.647306e-01     4.524213e-01     3.926453e+01     1.162004e+02     1.148154e+00
     10     6.918654e-02     5.068025e-02     2.372462e-01     4.534610e-01     4.220595e+01     1.162097e+02     1.148154e+00
     11     6.911990e-02     5.081082e-02     2.361248e-01     4.564879e-01     4.202656e+01     1.163950e+02     1.148154e+00
     12     5.869868e-02     4.089448e-02     2.112130e-01     4.554289e-01     4.375355e+01     1.164024e+02     1.148154e+00
     13     5.763495e-02     3.925137e-02     2.113564e-01     4.519719e-01     4.426448e+01     1.169328e+02     1.148154e+00
     14     5.003103e-02     3.405413e-02     1.835523e-01     4.507619e-01     4.424774e+01     1.169389e+02     1.148154e+00
     15     4.460241e-02     2.835113e-02     1.717951e-01     4.520095e-01     4.538195e+01     1.176693e+02     1.148154e+00
     16     3.755249e-02     2.370628e-02     1.452643e-01     4.513286e-01     4.549756e+01     1.177353e+02     1.148154e+00
     17     3.634785e-02     2.220935e-02     1.433236e-01     4.514033e-01     4.572081e+01     1.177359e+02     1.148154e+00
     18     3.450943e-02     2.115131e-02     1.358391e-01     4.544042e-01     4.552176e+01     1.178670e+02     1.148154e+00
     19     2.796788e-02     1.616449e-02     1.134702e-01     4.556041e-01     4.598875e+01     1.179271e+02     1.148154e+00
     20     2.628202e-02     1.525204e-02     1.064250e-01     4.553710e-01     4.575449e+01     1.179299e+02     1.148154e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 2.628203e-02
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.064250e-01
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.137474e-04
# initial residual norm     = 5.931667e+00
# initial gradient norm     = 2.698870e+00
# initial constraint norm   = 5.282118e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.174898e+00
      1     8.805604e-01     8.787710e-01     8.810269e-01     8.218136e-01     -4.983388e-01     4.294230e+00     1.174898e+00
      2     5.907679e-01     6.286816e-01     5.804625e-01     5.249041e-01     -7.017248e-01     1.204259e+01     1.174898e+00
      3     5.902087e-01     6.282930e-01     5.798547e-01     5.773031e-01     -6.582152e-01     1.343644e+01     1.174898e+00
      4     4.772588e-01     5.979247e-01     4.403475e-01     5.286738e-01     -5.428511e-01     1.372441e+01     1.174898e+00
      5     4.758018e-01     5.976380e-01     4.384568e-01     5.339167e-01     -6.670826e-01     1.381505e+01     1.174898e+00
      6     4.572303e-01     5.886744e-01     4.161357e-01     4.720680e-01     -4.448439e-01     1.413542e+01     1.174898e+00
      7     4.304305e-01     5.832601e-01     3.805598e-01     4.735722e-01     -9.334961e-01     1.530895e+01     1.174898e+00
      8     3.780490e-01     5.411061e-01     3.221708e-01     4.418394e-01     -1.269492e+00     1.555982e+01     1.174898e+00
      9     3.770208e-01     5.412983e-01     3.205630e-01     4.275605e-01     -1.384422e+00     1.609740e+01     1.174898e+00
     10     3.532168e-01     5.355124e-01     2.871701e-01     4.323975e-01     -1.328735e+00     1.610472e+01     1.174898e+00
     11     3.117643e-01     5.234192e-01     2.259390e-01     4.475459e-01     -1.890987e+00     1.717032e+01     1.174898e+00
     12     2.834240e-01     4.984746e-01     1.908710e-01     4.554580e-01     -1.912179e+00     1.733032e+01     1.174898e+00
     13     2.831779e-01     4.973000e-01     1.912099e-01     4.499478e-01     -1.848929e+00     1.758692e+01     1.174898e+00
     14     2.743647e-01     4.889551e-01     1.803145e-01     4.471874e-01     -1.617922e+00     1.761401e+01     1.174898e+00
     15     2.642924e-01     4.875982e-01     1.612989e-01     4.452552e-01     -1.973844e+00     1.789972e+01     1.174898e+00
