#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+00
      1     9.999159e-01     9.998334e-01     9.999163e-01     1.001807e+00     1.319687e+01     9.995453e-01     -2.947658e-01     1.254736e-01     1.000000e+00
      2     1.473065e-01     1.665774e+00     7.741580e-02     1.207373e+00     1.602610e+01     5.445321e-02     -4.411912e+01     1.975798e+03     1.000000e+00
      3     7.806352e-02     9.314607e-01     3.433744e-02     2.156584e+01     2.863388e+02     4.242808e-02     -3.426110e+01     2.179631e+03     1.000000e+00
      4     4.334643e-02     5.755223e-01     2.132218e-04     2.040873e+00     2.709581e+01     3.407917e-02     -3.550444e+01     2.037916e+03     1.000000e+00
      5     4.135441e-05     5.120596e-04     1.497026e-05     9.466935e-02     1.194362e+00     5.536966e-02     5.312816e+02     2.162025e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.135509e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.497026e-05
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.643126e-05     5.120596e-04     1.497026e-05     4.643126e-05     5.120596e-04     2.311159e-01     5.312816e+02     1.899151e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.643126e-05     5.120596e-04     1.497026e-05     4.643126e-05     5.120596e-04     6.086102e-01     5.312816e+02     1.256855e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.741236e-04
# initial residual norm     = 1.750451e+01
# initial gradient norm     = 1.682424e+01
# initial constraint norm   = 4.832472e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.258925e+00
      1     9.370239e-01     9.061961e-01     1.251698e+00     1.019736e+00     1.052215e+00     1.083387e+00     -1.940022e+01     4.905047e-01     1.258925e+00
