# Kona Param. Contn. convergence history (opt tol = 4.000000e-08 | feas tol = 4.465703e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     4.0000e-01     0.0000e+00     4.4657e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e-01     0.0000e+00     1.1000e+01     

      1         0        10     -1.789e-04      2.232e+00     3.9376e-01     4.9973e-01     4.4657e+01      1.251e-03     5.6112e-04     5.6029e-05     9.988807e-01          3.9183e-01     1.2313e-01     1.1000e+01     
      1         1        19     -1.754e-04      2.234e+00     3.9377e-01     5.0028e-01     4.4656e+01      1.251e-03     1.7524e-06     2.5056e-06     9.988807e-01          3.9183e-01     1.2326e-01     1.1000e+01     

      2         0        36     -2.792e-03      3.689e+01     6.9570e-01     8.2595e+00     4.4639e+01      3.463e-01     1.3534e-01     1.3169e-02     9.815320e-01          3.8763e-01     2.0349e+00     1.0996e+01     
      2         1        45     -1.891e-03      3.724e+01     6.9170e-01     8.3401e+00     4.4491e+01      3.561e-01     3.5662e-04     5.8822e-04     9.815320e-01          3.8486e-01     2.0546e+00     1.0962e+01     

      3         0        62     -2.209e-03      7.025e+01     1.2074e+00     1.5738e+01     4.4193e+01      1.325e+00     1.2559e-01     7.4757e-03     9.651151e-01          7.2273e-01     3.8755e+00     1.0895e+01     
      3         1        79     -1.041e-03      7.016e+01     1.1971e+00     1.5720e+01     4.4056e+01      1.380e+00     1.5572e-04     5.4063e-06     9.651151e-01          7.1657e-01     3.8720e+00     1.0864e+01     

      4         0        96      3.136e-03      1.069e+02     1.8054e+00     2.3982e+01     4.3398e+01      3.556e+00     1.6444e-01     4.2827e-03     9.461906e-01          1.0906e+00     5.9020e+00     1.0715e+01     
      4         1       105      5.386e-03      1.063e+02     1.7840e+00     2.3837e+01     4.3223e+01      3.733e+00     6.7377e-04     3.1542e-04     9.461906e-01          1.0787e+00     5.8677e+00     1.0674e+01     

      5         0       122      2.499e-02      1.516e+02     2.5626e+00     3.4091e+01     4.1862e+01      9.252e+00     2.7986e-01     6.5446e-03     9.204814e-01          1.5495e+00     8.3768e+00     1.0364e+01     
      5         1       131      3.108e-02      1.494e+02     2.5093e+00     3.3608e+01     4.1586e+01      9.843e+00     1.9774e-03     1.2759e-03     9.204814e-01          1.5218e+00     8.2622e+00     1.0299e+01     

      6         0       169      1.171e-01      2.055e+02     3.5615e+00     4.6451e+01     3.8619e+01      2.660e+01     5.4952e-01     5.1958e-02     8.801026e-01          2.1509e+00     1.1368e+01     9.6214e+00     
      6         1       178      1.364e-01      1.987e+02     3.4076e+00     4.4952e+01     3.8177e+01      2.851e+01     4.1411e-03     3.7404e-03     8.801026e-01          2.0784e+00     1.1020e+01     9.5178e+00     

      7         0       199      5.879e-01      2.499e+02     4.8364e+00     5.7469e+01     3.0993e+01      9.068e+01     1.0056e+00     3.4439e-01     8.025058e-01          2.9701e+00     1.3860e+01     7.8664e+00     
      7         1       216      6.330e-01      2.326e+02     4.3078e+00     5.3520e+01     3.0699e+01      9.302e+01     7.5988e-03     4.8142e-04     8.025058e-01          2.6713e+00     1.3031e+01     7.7930e+00     

      8         0       237      3.759e+00      1.480e+02     5.5026e+00     3.8587e+01     1.1643e+01      3.076e+02     3.6462e+00     2.9721e+00     5.988056e-01          3.5192e+00     8.6985e+00     3.3140e+00     
      8         1       254      2.698e+00      1.605e+02     3.7504e+00     3.9449e+01     1.5343e+01      2.636e+02     7.5778e-01     3.1052e-02     5.988056e-01          2.4448e+00     9.3827e+00     4.1036e+00     

      9         0       292      6.721e+00      1.394e+01     2.0901e+00     9.0985e+00     2.3753e+00      2.635e+02     8.7441e+00     3.9221e+00     3.153215e-01          1.3818e+00     3.0721e+00     9.6880e-01     
      9         1       313      3.503e+00      5.739e+01     1.5651e+00     1.5782e+01     4.9815e+00      2.485e+02     1.2142e+00     1.8921e-03     3.153215e-01          1.0506e+00     3.7434e+00     1.5703e+00     

     10         0       347      3.244e+00      5.419e+00     2.9043e-01     3.4706e+00     7.6958e-01      9.289e+01     2.3635e+00     1.2074e+00     1.018834e-01          1.6342e-01     1.1740e+00     3.2340e-01     
