# Kona Param. Contn. convergence history (opt tol = 3.464102e-06 | feas tol = 4.274342e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.000e+00      6.000e+00     3.4641e+00     0.0000e+00     4.2743e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      5.986e+00      8.116e+00     3.4601e+00     4.9700e-01     4.2743e+01      8.228e-03     5.7949e-04     5.8645e-05     9.988344e-01          9.9883e-01     1.2822e-01     1.1002e+01     
      1         1        19      5.986e+00      8.118e+00     3.4601e+00     4.9757e-01     4.2743e+01      8.228e-03     1.9014e-09     9.0076e-11     9.988344e-01          9.9883e-01     1.2839e-01     1.1002e+01     

      2         0        28      5.934e+00      1.608e+01     3.4453e+00     2.3689e+00     4.2738e+01      6.134e-02     8.2240e-03     8.1082e-04     9.944549e-01          9.9442e-01     6.1137e-01     1.1010e+01     
      2         1        37      5.934e+00      1.611e+01     3.4451e+00     2.3760e+00     4.2730e+01      6.140e-02     6.1676e-07     2.9303e-08     9.944549e-01          9.9436e-01     6.1357e-01     1.1007e+01     

      3         0        46      5.882e+00      2.406e+01     3.4305e+00     4.2433e+00     4.2709e+01      1.493e-01     8.2721e-03     7.3469e-04     9.901135e-01          9.8986e-01     1.0962e+00     1.1011e+01     
      3         1        55      5.882e+00      2.409e+01     3.4304e+00     4.2489e+00     4.2701e+01      1.496e-01     2.4575e-06     1.0116e-07     9.901135e-01          9.8983e-01     1.0980e+00     1.1008e+01     

      4         0        64      5.830e+00      3.210e+01     3.4159e+00     6.1301e+00     4.2663e+01      2.746e-01     8.4541e-03     6.7679e-04     9.857583e-01          9.8517e-01     1.5848e+00     1.1007e+01     
      4         1        73      5.830e+00      3.212e+01     3.4160e+00     6.1343e+00     4.2655e+01      2.753e-01     6.4456e-06     2.4514e-07     9.857583e-01          9.8518e-01     1.5862e+00     1.1004e+01     

      5         0        82      5.777e+00      4.030e+01     3.4014e+00     8.0565e+00     4.2599e+01      4.430e-01     8.8773e-03     6.3709e-04     9.813157e-01          9.8028e-01     2.0843e+00     1.0998e+01     
      5         1        91      5.778e+00      4.031e+01     3.4015e+00     8.0593e+00     4.2590e+01      4.442e-01     1.2035e-05     5.0059e-07     9.813157e-01          9.8034e-01     2.0852e+00     1.0995e+01     

      6         0       100      5.723e+00      4.879e+01     3.3866e+00     1.0051e+01     4.2513e+01      6.642e-01     9.5862e-03     6.1005e-04     9.767102e-01          9.7513e-01     2.6017e+00     1.0984e+01     
      6         1       109      5.724e+00      4.880e+01     3.3868e+00     1.0052e+01     4.2503e+01      6.662e-01     1.9374e-05     9.4347e-07     9.767102e-01          9.7522e-01     2.6022e+00     1.0981e+01     

      7         0       118      5.666e+00      5.770e+01     3.3714e+00     1.2140e+01     4.2402e+01      9.528e-01     1.0630e-02     5.9083e-04     9.718624e-01          9.6960e-01     3.1443e+00     1.0963e+01     
      7         1       127      5.668e+00      5.770e+01     3.3717e+00     1.2140e+01     4.2391e+01      9.561e-01     2.9344e-05     1.7506e-06     9.718624e-01          9.6974e-01     3.1442e+00     1.0960e+01     

