# Kona Param. Contn. convergence history (opt tol = 3.464102e-06 | feas tol = 4.274342e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.000e+00      6.000e+00     3.4641e+00     0.0000e+00     4.2743e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.1000e+01     

      1         0        10      5.986e+00      8.116e+00     3.4601e+00     4.9700e-01     4.2743e+01      8.228e-03     5.7949e-04     5.8645e-05     9.988344e-01          9.9883e-01     1.2822e-01     1.1002e+01     
      1         1        51      5.986e+00      8.118e+00     3.4601e+00     4.9757e-01     4.2743e+01      8.228e-03     6.3344e-07     3.0636e-07     9.988344e-01          9.9883e-01     1.2839e-01     1.1002e+01     

      2         0        92      5.934e+00      1.599e+01     3.4454e+00     2.3472e+00     4.2739e+01      6.052e-02     8.0442e-03     8.4464e-04     9.945056e-01          9.9452e-01     6.0577e-01     1.1009e+01     
      2         1       133      5.934e+00      1.602e+01     3.4452e+00     2.3542e+00     4.2730e+01      6.058e-02     4.5994e-05     2.9030e-05     9.945056e-01          9.9442e-01     6.0794e-01     1.1007e+01     

      3         0       174      5.884e+00      2.394e+01     3.4311e+00     4.2130e+00     4.2710e+01      1.476e-01     8.1412e-03     7.6908e-04     9.901841e-01          9.9005e-01     1.0883e+00     1.1010e+01     
      3         1       223      5.883e+00      2.396e+01     3.4306e+00     4.2184e+00     4.2701e+01      1.479e-01     5.1259e-05     2.5967e-05     9.901841e-01          9.8991e-01     1.0901e+00     1.1008e+01     

      4         0       264      5.833e+00      3.195e+01     3.4168e+00     6.0952e+00     4.2664e+01      2.720e-01     8.3307e-03     7.0998e-04     9.858394e-01          9.8542e-01     1.5757e+00     1.1006e+01     
      4         1       313      5.831e+00      3.197e+01     3.4162e+00     6.0991e+00     4.2656e+01      2.726e-01     5.9442e-05     3.1278e-05     9.858394e-01          9.8527e-01     1.5771e+00     1.1004e+01     

      5         0       354      5.781e+00      4.015e+01     3.4025e+00     8.0194e+00     4.2600e+01      4.393e-01     8.7712e-03     6.6915e-04     9.814023e-01          9.8064e-01     2.0745e+00     1.0998e+01     
      5         1       403      5.779e+00      4.015e+01     3.4018e+00     8.0218e+00     4.2591e+01      4.405e-01     6.8535e-05     3.7100e-05     9.814023e-01          9.8043e-01     2.0755e+00     1.0996e+01     

      6         0       444      5.727e+00      4.863e+01     3.3878e+00     1.0012e+01     4.2515e+01      6.594e-01     9.4828e-03     6.5211e-04     9.768007e-01          9.7554e-01     2.5914e+00     1.0983e+01     
      6         1       497      5.725e+00      4.863e+01     3.3871e+00     1.0013e+01     4.2505e+01      6.613e-01     7.1978e-05     4.0495e-05     9.768007e-01          9.7532e-01     2.5920e+00     1.0981e+01     

      7         0       538      5.672e+00      5.752e+01     3.3731e+00     1.2097e+01     4.2404e+01      9.462e-01     1.0526e-02     6.2855e-04     9.719643e-01          9.7021e-01     3.1329e+00     1.0963e+01     
      7         1       591      5.669e+00      5.751e+01     3.3720e+00     1.2096e+01     4.2394e+01      9.494e-01     7.8583e-05     4.8017e-05     9.719643e-01          9.6985e-01     3.1329e+00     1.0960e+01     

