# Kona Param. Contn. convergence history (opt tol = 6.344289e-07 | feas tol = 5.028916e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -8.125e+00     -8.125e+00     6.3443e+00     0.0000e+00     5.0289e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.5000e+00     0.0000e+00     1.4000e+01     

      1         0        10     -8.145e+00     -6.880e+00     6.2570e+00     2.5145e-01     5.0299e+01     -3.751e-03     1.3360e-04     1.9451e-05     9.995000e-01          3.4460e+00     7.0000e-02     1.4014e+01     
      1         1        19     -8.145e+00     -6.879e+00     6.2570e+00     2.5162e-01     5.0299e+01     -3.751e-03     1.6962e-07     4.1141e-10     9.995000e-01          3.4460e+00     7.0106e-02     1.4014e+01     

      2         0        28     -8.305e+00      3.403e+00     5.5465e+00     2.3241e+00     5.0376e+01     -1.077e-02     9.0770e-03     1.2938e-03     9.953843e-01          3.0017e+00     6.4801e-01     1.4129e+01     
      2         1        39     -8.287e+00      3.472e+00     5.5491e+00     2.3346e+00     5.0357e+01     -1.073e-02     1.0529e-06     1.3157e-06     9.953843e-01          3.0031e+00     6.5411e-01     1.4110e+01     

      3         0        48     -8.412e+00      1.394e+01     4.8573e+00     4.4330e+00     5.0397e+01      2.590e-02     9.5988e-03     1.0897e-03     9.912548e-01          2.5593e+00     1.2456e+00     1.4189e+01     
      3         1        59     -8.393e+00      1.400e+01     4.8630e+00     4.4409e+00     5.0377e+01      2.618e-02     3.9910e-06     3.7314e-06     9.912548e-01          2.5630e+00     1.2487e+00     1.4169e+01     

      4         0        68     -8.484e+00      2.457e+01     4.2016e+00     6.5513e+00     5.0380e+01      1.084e-01     9.9940e-03     9.2335e-04     9.871258e-01          2.1228e+00     1.8475e+00     1.4211e+01     
      4         1        79     -8.462e+00      2.461e+01     4.2112e+00     6.5565e+00     5.0358e+01      1.091e-01     9.5501e-06     2.8011e-06     9.871258e-01          2.1295e+00     1.8463e+00     1.4190e+01     

      5         0        88     -8.519e+00      3.526e+01     3.5932e+00     8.6760e+00     5.0323e+01      2.397e-01     1.0106e-02     9.9497e-04     9.829892e-01          1.8177e+00     2.4491e+00     1.4196e+01     
      5         1        99     -8.497e+00      3.529e+01     3.6061e+00     8.6785e+00     5.0301e+01      2.409e-01     1.7360e-05     1.1042e-05     9.829892e-01          1.8216e+00     2.4426e+00     1.4175e+01     

      6         0       108     -8.520e+00      4.623e+01     3.0394e+00     1.0852e+01     5.0225e+01      4.284e-01     1.0536e-02     1.5125e-03     9.787438e-01          1.6529e+00     3.0599e+00     1.4143e+01     
      6         1       119     -8.498e+00      4.624e+01     3.0546e+00     1.0851e+01     5.0204e+01      4.305e-01     2.6401e-05     3.5134e-05     9.787438e-01          1.6581e+00     3.0470e+00     1.4124e+01     

      7         0       132     -8.481e+00      5.744e+01     2.5863e+00     1.3075e+01     5.0083e+01      6.840e-01     1.0556e-02     5.5555e-04     9.743817e-01          1.5076e+00     3.6604e+00     1.4053e+01     
      7         1       143     -8.464e+00      5.743e+01     2.5918e+00     1.3072e+01     5.0063e+01      6.870e-01     3.3655e-05     1.5336e-05     9.743817e-01          1.5075e+00     3.6544e+00     1.4035e+01     

      8         0       156     -8.406e+00      6.952e+01     2.2534e+00     1.5473e+01     4.9888e+01      1.039e+00     1.2431e-02     6.0682e-04     9.696321e-01          1.5119e+00     4.3040e+00     1.3918e+01     
      8         1       167     -8.386e+00      6.949e+01     2.2561e+00     1.5466e+01     4.9865e+01      1.044e+00     5.2000e-05     2.6795e-05     9.696321e-01          1.5116e+00     4.2942e+00     1.3898e+01     

      9         0       180     -8.280e+00      8.226e+01     2.1461e+00     1.8008e+01     4.9627e+01      1.517e+00     1.4131e-02     8.4662e-04     9.645380e-01          1.5150e+00     4.9632e+00     1.3731e+01     
      9         1       191     -8.260e+00      8.220e+01     2.1420e+00     1.7996e+01     4.9602e+01      1.525e+00     7.3984e-05     3.1896e-05     9.645380e-01          1.5143e+00     4.9490e+00     1.3710e+01     

     10         0       204     -8.094e+00      9.581e+01     2.3118e+00     2.0714e+01     4.9289e+01      2.165e+00     1.6484e-02     1.3350e-03     9.589895e-01          1.5156e+00     5.6385e+00     1.3483e+01     
     10         1       215     -8.073e+00      9.571e+01     2.2978e+00     2.0695e+01     4.9263e+01      2.177e+00     1.0293e-04     3.5572e-05     9.589895e-01          1.5144e+00     5.6186e+00     1.3462e+01     

     11         0       228     -7.834e+00      1.103e+02     2.7164e+00     2.3622e+01     4.8856e+01      3.050e+00     1.9656e-02     2.1566e-03     9.528629e-01          1.5119e+00     6.3260e+00     1.3162e+01     
     11         1       239     -7.813e+00      1.101e+02     2.6912e+00     2.3593e+01     4.8827e+01      3.069e+00     1.3594e-04     6.0625e-05     9.528629e-01          1.5102e+00     6.2986e+00     1.3142e+01     

     12         0       252     -7.478e+00      1.258e+02     3.2836e+00     2.6761e+01     4.8304e+01      4.276e+00     2.3972e-02     3.4859e-03     9.460014e-01          1.9907e+00     7.0177e+00     1.2755e+01     
     12         1       263     -7.459e+00      1.256e+02     3.2459e+00     2.6720e+01     4.8273e+01      4.305e+00     1.6183e-04     1.4330e-04     9.460014e-01          1.9543e+00     6.9803e+00     1.2736e+01     

     13         0       278     -7.018e+00      1.423e+02     3.9406e+00     3.0137e+01     4.7613e+01      5.990e+00     2.9010e-02     4.2940e-03     9.382643e-01          2.4706e+00     7.6916e+00     1.2255e+01     
     13         1       293     -6.991e+00      1.419e+02     3.8899e+00     3.0074e+01     4.7575e+01      6.033e+00     4.8321e-05     6.2297e-06     9.382643e-01          2.4308e+00     7.6447e+00     1.2234e+01     

     14         0       308     -6.397e+00      1.599e+02     4.6487e+00     3.3807e+01     4.6728e+01      8.460e+00     3.6770e-02     6.6042e-03     9.292938e-01          2.9387e+00     8.3391e+00     1.1628e+01     
     14         1       323     -6.370e+00      1.595e+02     4.5803e+00     3.3716e+01     4.6685e+01      8.526e+00     8.4512e-05     1.5534e-05     9.292938e-01          2.8882e+00     8.2767e+00     1.1609e+01     

     15         0       338     -5.581e+00      1.785e+02     5.3561e+00     3.7742e+01     4.5606e+01      1.207e+01     4.6313e-02     1.0152e-02     9.188128e-01          3.3672e+00     8.9174e+00     1.0860e+01     
     15         1       353     -5.559e+00      1.779e+02     5.2679e+00     3.7612e+01     4.5560e+01      1.217e+01     1.3786e-04     4.5112e-05     9.188128e-01          3.3048e+00     8.8378e+00     1.0849e+01     

     16         0       368     -4.520e+00      1.977e+02     6.0186e+00     4.1913e+01     4.4185e+01      1.745e+01     5.8790e-02     1.5778e-02     9.063403e-01          3.7322e+00     9.3824e+00     9.9328e+00     
     16         1       383     -4.512e+00      1.968e+02     5.9076e+00     4.1727e+01     4.4139e+01      1.760e+01     1.9315e-04     1.4621e-04     9.063403e-01          3.6565e+00     9.2838e+00     9.9376e+00     

     17         0       398     -3.154e+00      2.170e+02     6.5814e+00     4.6228e+01     4.2380e+01      2.566e+01     7.4595e-02     2.4912e-02     8.911850e-01          4.0006e+00     9.8144e+00     9.0919e+00     
     17         1       413     -3.176e+00      2.157e+02     6.4463e+00     4.5964e+01     4.2339e+01      2.587e+01     4.5795e-04     3.9698e-04     8.911850e-01          3.9120e+00     9.7621e+00     9.0771e+00     

     18         0       428     -1.409e+00      2.351e+02     6.9766e+00     5.0499e+01     4.0074e+01      3.847e+01     9.3694e-02     4.0440e-02     8.722592e-01          4.1308e+00     1.0841e+01     8.7373e+00     
     18         1       447     -1.491e+00      2.334e+02     6.8183e+00     5.0126e+01     4.0049e+01      3.875e+01     1.6589e-04     2.2014e-04     8.722592e-01          4.0318e+00     1.0760e+01     8.7220e+00     

     19         0       466      7.380e-01      2.501e+02     7.1176e+00     5.4314e+01     3.7136e+01      5.870e+01     1.0964e-01     6.2883e-02     8.480298e-01          4.1824e+00     1.1761e+01     8.2401e+00     
     19         1       485      5.720e-01      2.478e+02     6.9447e+00     5.3802e+01     3.7145e+01      5.895e+01     6.3401e-04     5.8516e-04     8.480298e-01          4.0782e+00     1.1658e+01     8.2236e+00     

     20         0       506      3.502e+00      2.589e+02     6.9312e+00     5.7139e+01     3.3115e+01      9.324e+01     1.2629e-01     1.2335e-01     8.135806e-01          4.0826e+00     1.2526e+01     7.5862e+00     
     20         1       529      3.162e+00      2.559e+02     6.7184e+00     5.6400e+01     3.3211e+01      9.305e+01     1.2340e-03     4.4101e-04     8.135806e-01          3.9575e+00     1.2406e+01     7.5644e+00     

