# Kona Param. Contn. convergence history (opt tol = 6.344289e-07 | feas tol = 5.028916e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -8.125e+00     -8.125e+00     6.3443e+00     0.0000e+00     5.0289e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.5000e+00     0.0000e+00     1.4000e+01     

      1         0        10     -8.145e+00     -6.880e+00     6.2570e+00     2.5145e-01     5.0299e+01     -3.751e-03     1.3360e-04     1.9451e-05     9.995000e-01          3.4460e+00     7.0000e-02     1.4014e+01     
      1         1        17     -8.145e+00     -6.879e+00     6.2570e+00     2.5162e-01     5.0299e+01     -3.751e-03     2.1620e-08     1.4883e-10     9.995000e-01          3.4460e+00     7.0106e-02     1.4014e+01     

      2         0        24     -8.305e+00      3.381e+00     5.5481e+00     2.3196e+00     5.0376e+01     -1.080e-02     9.0319e-03     1.2886e-03     9.953932e-01          3.0027e+00     6.4675e-01     1.4129e+01     
      2         1        31     -8.287e+00      3.449e+00     5.5506e+00     2.3301e+00     5.0357e+01     -1.076e-02     1.4505e-05     1.5884e-07     9.953932e-01          3.0041e+00     6.5283e-01     1.4110e+01     

      3         0        38     -8.408e+00      1.375e+01     4.8716e+00     4.3938e+00     5.0395e+01      2.482e-02     8.9668e-03     1.0723e-03     9.913319e-01          2.5688e+00     1.2339e+00     1.4186e+01     
      3         1        45     -8.391e+00      1.380e+01     4.8755e+00     4.4015e+00     5.0377e+01      2.507e-02     2.8933e-05     3.7733e-07     9.913319e-01          2.5712e+00     1.2375e+00     1.4168e+01     

      4         0        52     -8.478e+00      2.424e+01     4.2261e+00     6.4840e+00     5.0378e+01      1.051e-01     9.1254e-03     8.9684e-04     9.872571e-01          2.1397e+00     1.8259e+00     1.4208e+01     
      4         1        59     -8.461e+00      2.427e+01     4.2313e+00     6.4891e+00     5.0359e+01      1.057e-01     4.7711e-05     7.2689e-07     9.872571e-01          2.1433e+00     1.8272e+00     1.4190e+01     

      5         0        66     -8.514e+00      3.495e+01     3.6168e+00     8.6138e+00     5.0323e+01      2.351e-01     9.5151e-03     7.4991e-04     9.831103e-01          1.8249e+00     2.4262e+00     1.4194e+01     
      5         1        73     -8.497e+00      3.498e+01     3.6230e+00     8.6164e+00     5.0303e+01      2.363e-01     6.1287e-05     1.0615e-06     9.831103e-01          1.8263e+00     2.4253e+00     1.4176e+01     

      6         0        80     -8.516e+00      4.601e+01     3.0587e+00     1.0807e+01     5.0226e+01      4.239e-01     1.0147e-02     6.2772e-04     9.788324e-01          1.6598e+00     3.0380e+00     1.4143e+01     
      6         1        87     -8.498e+00      4.601e+01     3.0652e+00     1.0806e+01     5.0206e+01      4.259e-01     6.1031e-05     1.1136e-06     9.788324e-01          1.6615e+00     3.0346e+00     1.4125e+01     

      7         0        94     -8.481e+00      5.750e+01     2.5844e+00     1.3086e+01     5.0083e+01      6.853e-01     1.1053e-02     5.5297e-04     9.743605e-01          1.5076e+00     3.6636e+00     1.4052e+01     
      7         1       101     -8.463e+00      5.749e+01     2.5899e+00     1.3083e+01     5.0062e+01      6.884e-01     7.4079e-05     1.0816e-06     9.743605e-01          1.5076e+00     3.6573e+00     1.4034e+01     

      8         0       108     -8.404e+00      6.954e+01     2.2531e+00     1.5477e+01     4.9886e+01      1.040e+00     1.2278e-02     5.8795e-04     9.696244e-01          1.5119e+00     4.3046e+00     1.3916e+01     
      8         1       115     -8.386e+00      6.951e+01     2.2557e+00     1.5470e+01     4.9864e+01      1.045e+00     9.5911e-05     1.2585e-06     9.696244e-01          1.5116e+00     4.2952e+00     1.3898e+01     

      9         0       122     -8.278e+00      8.225e+01     2.1448e+00     1.8005e+01     4.9626e+01      1.517e+00     1.3903e-02     7.9884e-04     9.645432e-01          1.5148e+00     4.9613e+00     1.3728e+01     
      9         1       129     -8.259e+00      8.219e+01     2.1419e+00     1.7993e+01     4.9603e+01      1.525e+00     1.2236e-04     1.7158e-06     9.645432e-01          1.5143e+00     4.9482e+00     1.3710e+01     

     10         0       136     -8.090e+00      9.572e+01     2.3052e+00     2.0697e+01     4.9288e+01      2.161e+00     1.6035e-02     1.2138e-03     9.590222e-01          1.5151e+00     5.6315e+00     1.3478e+01     
     10         1       143     -8.074e+00      9.563e+01     2.2960e+00     2.0679e+01     4.9265e+01      2.173e+00     1.5003e-04     2.1850e-06     9.590222e-01          1.5144e+00     5.6147e+00     1.3463e+01     

     11         0       152     -7.836e+00      1.104e+02     2.7192e+00     2.3640e+01     4.8856e+01      3.056e+00     2.0076e-02     1.8600e-03     9.528272e-01          1.5125e+00     6.3296e+00     1.3163e+01     
     11         1       161     -7.812e+00      1.102e+02     2.6939e+00     2.3610e+01     4.8825e+01      3.075e+00     1.1441e-05     8.4054e-08     9.528272e-01          1.5102e+00     6.3024e+00     1.3140e+01     

     12         0       170     -7.485e+00      1.259e+02     3.2870e+00     2.6779e+01     4.8305e+01      4.284e+00     2.3876e-02     2.8015e-03     9.459637e-01          1.9891e+00     7.0202e+00     1.2757e+01     
     12         1       179     -7.458e+00      1.256e+02     3.2492e+00     2.6736e+01     4.8270e+01      4.312e+00     1.3280e-05     8.8998e-08     9.459637e-01          1.9568e+00     6.9841e+00     1.2734e+01     

     13         0       188     -7.014e+00      1.424e+02     3.9488e+00     3.0175e+01     4.7605e+01      6.012e+00     2.9395e-02     4.2847e-03     9.381737e-01          2.4763e+00     7.6998e+00     1.2250e+01     
     13         1       197     -6.985e+00      1.421e+02     3.8972e+00     3.0112e+01     4.7566e+01      6.055e+00     2.1992e-05     1.7436e-07     9.381737e-01          2.4359e+00     7.6518e+00     1.2228e+01     

     14         0       206     -6.390e+00      1.601e+02     4.6556e+00     3.3844e+01     4.6718e+01      8.489e+00     3.6757e-02     6.5505e-03     9.291973e-01          2.9434e+00     8.3456e+00     1.1621e+01     
     14         1       215     -6.363e+00      1.596e+02     4.5872e+00     3.3754e+01     4.6675e+01      8.556e+00     2.8473e-05     2.1253e-07     9.291973e-01          2.8927e+00     8.2828e+00     1.1602e+01     

     15         0       224     -5.573e+00      1.787e+02     5.3615e+00     3.7779e+01     4.5594e+01      1.211e+01     4.6290e-02     1.0013e-02     9.187057e-01          3.3713e+00     8.9230e+00     1.0853e+01     
     15         1       233     -5.551e+00      1.780e+02     5.2742e+00     3.7650e+01     4.5549e+01      1.221e+01     5.4901e-05     9.7530e-07     9.187057e-01          3.3086e+00     8.8428e+00     1.0841e+01     

     16         0       242     -4.511e+00      1.979e+02     6.0247e+00     4.1955e+01     4.4169e+01      1.751e+01     5.8923e-02     1.5478e-02     9.062027e-01          3.7371e+00     9.3883e+00     9.9255e+00     
     16         1       249     -4.501e+00      1.970e+02     5.9146e+00     4.1769e+01     4.4123e+01      1.767e+01     4.3241e-04     2.7861e-06     9.062027e-01          3.6603e+00     9.2880e+00     9.9278e+00     

     17         0       258     -3.144e+00      2.172e+02     6.5875e+00     4.6275e+01     4.2359e+01      2.577e+01     7.4862e-02     2.4209e-02     8.909988e-01          4.0022e+00     9.8195e+00     9.0918e+00     
     17         1       267     -3.159e+00      2.159e+02     6.4512e+00     4.6010e+01     4.2317e+01      2.599e+01     1.7208e-04     3.8470e-06     8.909988e-01          3.9140e+00     9.7734e+00     9.0739e+00     

     18         0       276     -1.396e+00      2.353e+02     6.9839e+00     5.0557e+01     4.0042e+01      3.868e+01     9.4096e-02     3.8990e-02     8.719720e-01          4.1268e+00     1.0845e+01     8.7369e+00     
     18         1       285     -1.466e+00      2.336e+02     6.8233e+00     5.0180e+01     4.0015e+01      3.897e+01     8.6627e-04     1.5965e-06     8.719720e-01          4.0327e+00     1.0773e+01     8.7161e+00     

     19         0       294      8.090e-01      2.505e+02     7.1299e+00     5.4429e+01     3.7036e+01      5.946e+01     1.1440e-01     6.5875e-02     8.471877e-01          4.1891e+00     1.1787e+01     8.2248e+00     
     19         1       305      6.399e-01      2.482e+02     6.9449e+00     5.3899e+01     3.7046e+01      5.971e+01     5.0073e-04     2.1642e-05     8.471877e-01          4.0782e+00     1.1682e+01     8.2056e+00     

     20         0       316      3.563e+00      2.589e+02     6.9218e+00     5.7163e+01     3.3016e+01      9.420e+01     1.2274e-01     1.2267e-01     8.126892e-01          4.0864e+00     1.2544e+01     7.5714e+00     
     20         1       329      3.222e+00      2.560e+02     6.7087e+00     5.6433e+01     3.3114e+01      9.399e+01     2.4056e-04     2.1298e-06     8.126892e-01          3.9521e+00     1.2419e+01     7.5486e+00     

