# Kona Param. Contn. convergence history (opt tol = 5.787918e-07 | feas tol = 5.028916e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -7.750e+00     -7.750e+00     5.7879e+00     0.0000e+00     5.0289e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.5000e+00     0.0000e+00     1.4000e+01     

      1         0        10     -7.783e+00     -5.285e+00     5.6123e+00     4.9662e-01     5.0307e+01     -6.434e-03     5.2108e-04     7.4024e-05     9.990125e-01          3.3756e+00     1.3826e-01     1.4027e+01     
      1         1        19     -7.782e+00     -5.280e+00     5.6124e+00     4.9728e-01     5.0306e+01     -6.434e-03     1.1459e-06     5.3325e-09     9.990125e-01          3.3757e+00     1.3865e-01     1.4026e+01     

      2         0        28     -7.911e+00      5.047e+00     4.8877e+00     2.5722e+00     5.0374e+01     -6.761e-03     9.1051e-03     1.2373e-03     9.948970e-01          2.8584e+00     7.1800e-01     1.4130e+01     
      2         1        39     -7.894e+00      5.112e+00     4.8910e+00     2.5821e+00     5.0355e+01     -6.699e-03     8.3023e-07     1.5447e-06     9.948970e-01          2.8619e+00     7.2355e-01     1.4112e+01     

      3         0        48     -7.990e+00      1.562e+01     4.1828e+00     4.6830e+00     5.0385e+01      3.694e-02     9.6533e-03     1.0374e-03     9.907651e-01          2.3486e+00     1.3159e+00     1.4180e+01     
      3         1        59     -7.972e+00      1.567e+01     4.1893e+00     4.6904e+00     5.0365e+01      3.725e-02     2.9557e-06     3.8168e-06     9.907651e-01          2.3547e+00     1.3182e+00     1.4160e+01     

      4         0        68     -8.036e+00      2.622e+01     3.5135e+00     6.7919e+00     5.0358e+01      1.263e-01     9.8432e-03     8.8415e-04     9.866537e-01          1.8521e+00     1.9140e+00     1.4192e+01     
      4         1        79     -8.017e+00      2.626e+01     3.5239e+00     6.7965e+00     5.0337e+01      1.270e-01     6.8068e-06     1.3041e-06     9.866537e-01          1.8614e+00     1.9120e+00     1.4171e+01     

      5         0        88     -8.050e+00      3.692e+01     2.8889e+00     8.9152e+00     5.0292e+01      2.651e-01     9.9564e-03     1.0245e-03     9.825164e-01          1.3669e+00     2.5134e+00     1.4167e+01     
      5         1        99     -8.030e+00      3.694e+01     2.9025e+00     8.9170e+00     5.0271e+01      2.664e-01     1.2116e-05     1.4281e-05     9.825164e-01          1.3791e+00     2.5060e+00     1.4146e+01     

      6         0       108     -8.030e+00      4.793e+01     2.3230e+00     1.1098e+01     5.0184e+01      4.631e-01     1.0429e-02     1.6156e-03     9.782518e-01          1.1411e+00     3.1234e+00     1.4103e+01     
      6         1       119     -8.011e+00      4.793e+01     2.3384e+00     1.1097e+01     5.0163e+01      4.652e-01     1.8282e-05     3.9709e-05     9.782518e-01          1.1469e+00     3.1095e+00     1.4085e+01     

      7         0       132     -7.975e+00      5.927e+01     1.8785e+00     1.3348e+01     5.0031e+01      7.320e-01     1.0824e-02     5.5244e-04     9.738281e-01          1.0458e+00     3.7272e+00     1.4002e+01     
      7         1       143     -7.958e+00      5.926e+01     1.8839e+00     1.3344e+01     5.0011e+01      7.352e-01     2.2957e-05     1.8664e-05     9.738281e-01          1.0454e+00     3.7205e+00     1.3984e+01     

      8         0       156     -7.882e+00      7.143e+01     1.6298e+00     1.5762e+01     4.9823e+01      1.102e+00     1.2622e-02     6.2451e-04     9.690343e-01          1.0546e+00     4.3700e+00     1.3855e+01     
      8         1       167     -7.863e+00      7.139e+01     1.6296e+00     1.5753e+01     4.9800e+01      1.108e+00     3.5036e-05     2.7854e-05     9.690343e-01          1.0539e+00     4.3594e+00     1.3835e+01     

      9         0       180     -7.740e+00      8.426e+01     1.7099e+00     1.8318e+01     4.9549e+01      1.602e+00     1.4422e-02     8.8266e-04     9.638793e-01          1.0619e+00     5.0281e+00     1.3654e+01     
      9         1       191     -7.721e+00      8.419e+01     1.6994e+00     1.8305e+01     4.9524e+01      1.610e+00     5.0578e-05     3.0573e-05     9.638793e-01          1.0608e+00     5.0130e+00     1.3633e+01     

     10         0       204     -7.540e+00      9.791e+01     2.0974e+00     2.1050e+01     4.9196e+01      2.278e+00     1.6877e-02     1.3594e-03     9.582531e-01          1.0886e+00     5.7013e+00     1.3391e+01     
     10         1       215     -7.520e+00      9.780e+01     2.0759e+00     2.1029e+01     4.9169e+01      2.291e+00     7.2135e-05     3.3451e-05     9.582531e-01          1.0668e+00     5.6803e+00     1.3369e+01     

     11         0       228     -7.267e+00      1.125e+02     2.6743e+00     2.3988e+01     4.8745e+01      3.203e+00     2.0158e-02     2.1250e-03     9.520287e-01          1.5985e+00     6.3847e+00     1.3054e+01     
     11         1       239     -7.246e+00      1.123e+02     2.6420e+00     2.3957e+01     4.8715e+01      3.223e+00     1.0023e-04     7.3439e-05     9.520287e-01          1.5707e+00     6.3561e+00     1.3032e+01     

     12         0       252     -6.900e+00      1.281e+02     3.3504e+00     2.7161e+01     4.8172e+01      4.487e+00     2.4562e-02     3.3191e-03     9.450458e-01          2.1082e+00     7.0695e+00     1.2628e+01     
     12         1       263     -6.880e+00      1.279e+02     3.3065e+00     2.7117e+01     4.8139e+01      4.517e+00     1.3357e-04     1.9385e-04     9.450458e-01          2.0726e+00     7.0308e+00     1.2607e+01     

     13         0       276     -6.414e+00      1.448e+02     4.0738e+00     3.0596e+01     4.7445e+01      6.298e+00     3.0496e-02     5.1830e-03     9.370992e-01          2.6096e+00     7.7399e+00     1.2098e+01     
     13         1       291     -6.397e+00      1.445e+02     4.0166e+00     3.0530e+01     4.7410e+01      6.344e+00     2.9341e-05     6.1233e-06     9.370992e-01          2.5644e+00     7.6891e+00     1.2079e+01     

     14         0       306     -5.791e+00      1.625e+02     4.8023e+00     3.4281e+01     4.6538e+01      8.884e+00     3.7460e-02     6.9497e-03     9.279872e-01          3.0808e+00     8.3655e+00     1.1452e+01     
     14         1       321     -5.768e+00      1.620e+02     4.7295e+00     3.4187e+01     4.6496e+01      8.953e+00     5.1676e-05     1.7818e-05     9.279872e-01          3.0288e+00     8.3019e+00     1.1435e+01     

     15         0       336     -4.963e+00      1.812e+02     5.5122e+00     3.8264e+01     4.5379e+01      1.270e+01     4.8020e-02     1.0795e-02     9.172302e-01          3.5178e+00     8.9249e+00     1.0658e+01     
     15         1       351     -4.946e+00      1.805e+02     5.4188e+00     3.8127e+01     4.5334e+01      1.280e+01     8.9765e-05     5.1637e-05     9.172302e-01          3.4526e+00     8.8432e+00     1.0650e+01     

     16         0       366     -3.889e+00      2.005e+02     6.1526e+00     4.2474e+01     4.3911e+01      1.841e+01     6.0964e-02     1.6711e-02     9.043943e-01          3.8841e+00     9.3628e+00     9.7059e+00     
     16         1       381     -3.887e+00      1.995e+02     6.0373e+00     4.2279e+01     4.3866e+01      1.857e+01     1.4020e-04     1.5024e-04     9.043943e-01          3.8055e+00     9.2627e+00     9.7136e+00     

     17         0       396     -2.505e+00      2.197e+02     6.6727e+00     4.6820e+01     4.2044e+01      2.717e+01     7.7515e-02     2.6412e-02     8.887162e-01          4.1450e+00     9.9237e+00     9.0062e+00     
     17         1       411     -2.536e+00      2.184e+02     6.5345e+00     4.6542e+01     4.2005e+01      2.740e+01     2.6990e-04     4.2165e-04     8.887162e-01          4.0539e+00     9.8675e+00     8.9913e+00     

     18         0       426     -7.358e-01      2.377e+02     7.0051e+00     5.1095e+01     3.9651e+01      4.095e+01     9.7357e-02     4.3064e-02     8.689962e-01          4.2544e+00     1.0946e+01     8.6285e+00     
     18         1       443     -8.304e-01      2.359e+02     6.8459e+00     5.0698e+01     3.9629e+01      4.124e+01     5.1434e-04     2.2460e-04     8.689962e-01          4.1553e+00     1.0859e+01     8.6135e+00     

     19         0       462      1.463e+00      2.523e+02     7.0696e+00     5.4871e+01     3.6560e+01      6.311e+01     1.1541e-01     6.9483e-02     8.432840e-01          4.1584e+00     1.1849e+01     8.1001e+00     
     19         1       481      1.275e+00      2.499e+02     6.8948e+00     5.4319e+01     3.6576e+01      6.334e+01     4.7114e-04     6.5437e-04     8.432840e-01          4.0625e+00     1.1738e+01     8.0784e+00     

     20         0       500      4.236e+00      2.594e+02     6.7422e+00     5.7352e+01     3.2422e+01      1.000e+02     1.2072e-01     1.2932e-01     8.073913e-01          3.9125e+00     1.2589e+01     7.4550e+00     
     20         1       523      3.836e+00      2.564e+02     6.5765e+00     5.6612e+01     3.2540e+01      9.969e+01     6.8122e-04     1.3662e-04     8.073913e-01          3.8243e+00     1.2467e+01     7.4383e+00     

     21         0       544      7.685e+00      2.499e+02     5.8847e+00     5.6657e+01     2.6503e+01      1.649e+02     9.5177e-02     2.9763e-01     7.508135e-01          3.3595e+00     1.2600e+01     6.4219e+00     
     21         1       569      6.868e+00      2.471e+02     5.7097e+00     5.5805e+01     2.6904e+01      1.618e+02     3.1817e-03     1.2735e-03     7.508135e-01          3.2825e+00     1.2504e+01     6.4392e+00     

     22         0       594      1.115e+01      2.064e+02     4.1966e+00     4.8781e+01     1.8486e+01      2.632e+02     6.6293e-01     6.8246e-01     6.576227e-01          2.3223e+00     1.0781e+01     4.8526e+00     
     22         1       623      9.537e+00      2.086e+02     4.1856e+00     4.8799e+01     1.9555e+01      2.518e+02     2.4828e-02     1.9543e-03     6.576227e-01          2.3651e+00     1.1026e+01     4.9804e+00     

     23         0       650      1.156e+01      1.418e+02     2.3478e+00     3.5590e+01     1.1400e+01      3.314e+02     1.4919e+00     8.9025e-01     5.353772e-01          1.2552e+00     7.5858e+00     3.2797e+00     
     23         1       681      9.900e+00      1.508e+02     2.5651e+00     3.7096e+01     1.2739e+01      3.175e+02     4.8536e-02     1.0583e-02     5.353772e-01          1.4231e+00     8.3422e+00     3.4900e+00     

     24         0       712      9.029e+00      1.012e+02     1.4254e+00     2.6781e+01     7.9682e+00      3.290e+02     9.1888e-01     4.6565e-01     4.305508e-01          7.9490e-01     5.6893e+00     2.3839e+00     
     24         1       747      8.332e+00      1.064e+02     1.5780e+00     2.7751e+01     8.6118e+00      3.241e+02     1.6106e-02     3.2279e-03     4.305508e-01          8.7300e-01     6.1514e+00     2.5074e+00     

     25         0       780      6.856e+00      7.776e+01     1.0037e+00     2.1655e+01     6.1627e+00      3.064e+02     3.2058e-01     1.8146e-01     3.583813e-01          5.5549e-01     4.6526e+00     1.9111e+00     
     25         1       817      6.598e+00      7.946e+01     1.0699e+00     2.1959e+01     6.3790e+00      3.053e+02     3.9636e-03     2.6486e-03     3.583813e-01          5.9149e-01     4.8131e+00     1.9431e+00     

     26         0       852      5.248e+00      6.129e+01     7.5126e-01     1.8036e+01     4.9258e+00      2.817e+02     1.2500e-01     8.3498e-02     3.067091e-01          4.1935e-01     3.8709e+00     1.5723e+00     
     26         1       893      5.139e+00      6.190e+01     7.7957e-01     1.8137e+01     5.0113e+00      2.815e+02     1.4588e-03     8.0584e-04     3.067091e-01          4.3355e-01     3.9370e+00     1.5813e+00     

     27         0       932      3.902e+00      4.818e+01     5.6507e-01     1.5134e+01     3.9531e+00      2.559e+02     6.9640e-02     5.2480e-02     2.640287e-01          3.1511e-01     3.2273e+00     1.2967e+00     
     27         1       977      3.842e+00      4.849e+01     5.8109e-01     1.5174e+01     4.0021e+00      2.558e+02     7.3392e-04     7.9527e-04     2.640287e-01          3.2508e-01     3.2654e+00     1.3043e+00     

     28         0      1020      2.771e+00      3.803e+01     4.3196e-01     1.2846e+01     3.2156e+00      2.308e+02     4.1828e-02     3.4173e-02     2.288742e-01          2.4535e-01     2.7278e+00     1.0873e+00     
     28         1      1065      2.733e+00      3.818e+01     4.4325e-01     1.2857e+01     3.2436e+00      2.308e+02     6.5220e-04     9.8697e-04     2.288742e-01          2.4972e-01     2.7460e+00     1.0897e+00     

     29         0      1110      1.835e+00      3.018e+01     3.3942e-01     1.1039e+01     2.6509e+00      2.078e+02     3.1027e-02     2.5979e-02     2.000710e-01          1.9504e-01     2.3323e+00     9.2325e-01     
     29         1      1155      1.812e+00      3.025e+01     3.4651e-01     1.1036e+01     2.6675e+00      2.078e+02     9.5581e-04     1.5401e-03     2.000710e-01          1.9654e-01     2.3419e+00     9.2216e-01     

