# Kona Param. Contn. convergence history (opt tol = 1.875000e-08 | feas tol = 8.573463e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.812e-01      2.812e-01     1.8750e-01     0.0000e+00     8.5735e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          6.2500e-02     0.0000e+00     2.0000e+01     

      1         0         8      2.813e-01      4.568e+00     1.9888e-01     4.9965e-01     8.5735e+01      1.415e-03     3.6803e-04     2.9648e-05     9.994168e-01          6.6526e-02     1.1663e-01     2.0000e+01     
      1         1        17      2.812e-01      4.570e+00     1.9888e-01     4.9994e-01     8.5734e+01      1.415e-03     1.1960e-08     2.5856e-11     9.994168e-01          6.6524e-02     1.1670e-01     2.0000e+01     

      2         0        26      2.811e-01      3.437e+01     3.2890e-01     3.9738e+00     8.5730e+01      8.056e-02     1.4105e-02     1.3905e-03     9.953668e-01          9.4481e-02     9.2754e-01     1.9999e+01     
      2         1        35      2.810e-01      3.448e+01     3.2945e-01     3.9863e+00     8.5715e+01      8.070e-02     2.1340e-06     2.8164e-08     9.953668e-01          9.4570e-02     9.3032e-01     1.9995e+01     

      3         0        44      2.807e-01      6.634e+01     5.0591e-01     7.7003e+00     8.5680e+01      2.996e-01     1.6143e-02     1.4474e-03     9.910643e-01          1.7986e-01     1.7964e+00     1.9986e+01     
      3         1        53      2.807e-01      6.644e+01     5.0649e-01     7.7118e+00     8.5663e+01      3.005e-01     9.1555e-06     1.1628e-07     9.910643e-01          1.8015e-01     1.7987e+00     1.9982e+01     

      4         0        62      2.803e-01      9.852e+01     6.9471e-01     1.1450e+01     8.5593e+01      6.645e-01     1.6401e-02     1.3195e-03     9.867531e-01          2.6769e-01     2.6686e+00     1.9965e+01     
      4         1        71      2.802e-01      9.859e+01     6.9516e-01     1.1458e+01     8.5576e+01      6.666e-01     2.0497e-05     3.4455e-07     9.867531e-01          2.6792e-01     2.6700e+00     1.9961e+01     

      5         0        80      2.797e-01      1.313e+02     8.9178e-01     1.5274e+01     8.5470e+01      1.194e+00     1.7170e-02     1.2284e-03     9.823610e-01          3.5758e-01     3.5552e+00     1.9934e+01     
      5         1        89      2.796e-01      1.314e+02     8.9207e-01     1.5280e+01     8.5452e+01      1.198e+00     3.7881e-05     1.0299e-06     9.823610e-01          3.5774e-01     3.5557e+00     1.9930e+01     

      6         0        98      2.789e-01      1.653e+02     1.0982e+00     1.9225e+01     8.5305e+01      1.923e+00     1.8476e-02     1.1618e-03     9.778172e-01          4.5088e-01     4.4667e+00     1.9893e+01     
      6         1       107      2.788e-01      1.653e+02     1.0983e+00     1.9228e+01     8.5286e+01      1.930e+00     6.3606e-05     2.7869e-06     9.778172e-01          4.5096e-01     4.4662e+00     1.9888e+01     

