# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 4.077990e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     4.0780e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     1.5000e+01     

      1         0         8      0.000e+00      2.038e+00     1.1771e-01     4.9985e-01     4.0780e+01      1.251e-03     6.2944e-04     6.1268e-05     9.987743e-01          6.1286e-02     1.8386e-01     1.5000e+01     
      1         1        15     -1.042e-08      2.041e+00     1.1799e-01     5.0044e-01     4.0779e+01      1.251e-03     3.4456e-07     7.8032e-09     9.987743e-01          6.1430e-02     1.8407e-01     1.4999e+01     

      2         0        22     -6.562e-07      9.094e+00     5.2637e-01     2.2302e+00     4.0772e+01      2.491e-02     7.5403e-03     7.0440e-04     9.945420e-01          2.7403e-01     8.2027e-01     1.4996e+01     
      2         1        29     -4.217e-06      9.118e+00     5.2947e-01     2.2362e+00     4.0761e+01      2.496e-02     8.2318e-08     1.8223e-09     9.945420e-01          2.7559e-01     8.2226e-01     1.4990e+01     

      3         0        36     -2.732e-05      1.613e+01     9.3935e-01     3.9569e+00     4.0731e+01      7.841e-02     7.4813e-03     6.0174e-04     9.903559e-01          4.8887e-01     1.4545e+00     1.4974e+01     
      3         1        43     -4.202e-05      1.615e+01     9.4183e-01     3.9610e+00     4.0720e+01      7.864e-02     4.3692e-07     8.3458e-09     9.903559e-01          4.9012e-01     1.4555e+00     1.4967e+01     

      4         0        50     -1.491e-04      2.321e+01     1.3587e+00     5.6961e+00     4.0667e+01      1.637e-01     7.6414e-03     5.2466e-04     9.861469e-01          7.0697e-01     2.0915e+00     1.4939e+01     
      4         1        57     -1.825e-04      2.322e+01     1.3606e+00     5.6984e+00     4.0655e+01      1.642e-01     1.2731e-06     2.0941e-08     9.861469e-01          7.0792e-01     2.0915e+00     1.4932e+01     

      5         0        64     -4.851e-04      3.042e+01     1.7899e+00     7.4690e+00     4.0577e+01      2.850e-01     8.0136e-03     4.6844e-04     9.818507e-01          9.3111e-01     2.7382e+00     1.4890e+01     
      5         1        71     -5.477e-04      3.042e+01     1.7912e+00     7.4695e+00     4.0564e+01      2.859e-01     2.8776e-06     4.0640e-08     9.818507e-01          9.3177e-01     2.7372e+00     1.4883e+01     

      6         0        78     -1.232e-03      3.783e+01     2.2383e+00     9.2970e+00     4.0457e+01      4.496e-01     8.6161e-03     4.3711e-04     9.774016e-01          1.1641e+00     3.4014e+00     1.4825e+01     
