# Kona Param. Contn. convergence history (opt tol = 8.880456e-06 | feas tol = 3.712277e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      6.188e+01      6.188e+01     8.8805e+01     0.0000e+00     3.7123e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.2500e+01     0.0000e+00     1.3000e+01     

      1         0        10      5.785e+01      5.857e+01     8.5508e+01     1.9157e-01     3.7203e+01      3.130e-02     1.7613e-03     1.4055e-04     9.994806e-01          4.9813e+01     6.7528e-02     1.3134e+01     
      1         1        21      5.799e+01      5.871e+01     8.5631e+01     1.9199e-01     3.7200e+01      3.130e-02     2.7787e-07     6.3551e-10     9.994806e-01          4.9939e+01     6.8230e-02     1.3128e+01     

      2         0        32      4.850e+01      5.119e+01     7.7399e+01     7.1305e-01     3.7408e+01      1.089e-01     1.1912e-02     9.5574e-04     9.980738e-01          4.3331e+01     2.5484e-01     1.3462e+01     
      2         1        43      4.928e+01      5.198e+01     7.8140e+01     7.1584e-01     3.7389e+01      1.089e-01     2.3213e-05     1.6590e-07     9.980738e-01          4.4079e+01     2.5914e-01     1.3428e+01     

      3         0        54      4.110e+01      4.607e+01     7.0493e+01     1.3102e+00     3.7593e+01      1.870e-01     1.2439e-02     1.0068e-03     9.964856e-01          3.8217e+01     4.7908e-01     1.3733e+01     
      3         1        65      4.178e+01      4.676e+01     7.1185e+01     1.3132e+00     3.7573e+01      1.870e-01     8.4961e-05     1.8039e-06     9.964856e-01          3.8878e+01     4.8313e-01     1.3701e+01     

      4         0        76      3.525e+01      4.264e+01     6.4608e+01     1.9403e+00     3.7754e+01      2.614e-01     1.1210e-02     9.0672e-04     9.948259e-01          3.4071e+01     7.2105e-01     1.3958e+01     
      4         1        89      3.576e+01      4.317e+01     6.5168e+01     1.9430e+00     3.7738e+01      2.614e-01     2.1346e-06     5.4310e-07     9.948259e-01          3.4573e+01     7.2433e-01     1.3932e+01     

      5         0       102      3.064e+01      4.052e+01     5.9635e+01     2.5810e+00     3.7893e+01      3.316e-01     9.4304e-03     7.3777e-04     9.931511e-01          3.0688e+01     9.7085e-01     1.4142e+01     
      5         1       115      3.101e+01      4.091e+01     6.0067e+01     2.5834e+00     3.7879e+01      3.316e-01     9.5446e-06     8.2722e-07     9.931511e-01          3.1065e+01     9.7325e-01     1.4122e+01     

      6         0       128      2.673e+01      3.928e+01     5.5118e+01     3.2614e+00     3.8019e+01      4.028e-01     8.9137e-03     6.7143e-04     9.913832e-01          2.7721e+01     1.2386e+00     1.4305e+01     
      6         1       141      2.704e+01      3.959e+01     5.5491e+01     3.2637e+00     3.8006e+01      4.028e-01     1.8746e-05     1.2949e-06     9.913832e-01          2.8032e+01     1.2405e+00     1.4288e+01     

      7         0       154      2.343e+01      3.882e+01     5.1026e+01     3.9851e+00     3.8132e+01      4.765e-01     8.5458e-03     6.1062e-04     9.895128e-01          2.5121e+01     1.5256e+00     1.4447e+01     
      7         1       167      2.368e+01      3.908e+01     5.1353e+01     3.9873e+00     3.8120e+01      4.765e-01     3.5219e-05     2.0373e-06     9.895128e-01          2.5382e+01     1.5271e+00     1.4432e+01     

      8         0       180      2.058e+01      3.906e+01     4.7244e+01     4.7655e+00     3.8233e+01      5.557e-01     8.5250e-03     5.7354e-04     9.875045e-01          2.2792e+01     1.8370e+00     1.4573e+01     
      8         1       193      2.079e+01      3.928e+01     4.7542e+01     4.7677e+00     3.8221e+01      5.558e-01     6.5694e-05     3.7107e-06     9.875045e-01          2.3020e+01     1.8381e+00     1.4560e+01     

      9         0       206      1.808e+01      3.995e+01     4.3695e+01     5.6190e+00     3.8323e+01      6.438e-01     8.8407e-03     5.6386e-04     9.853157e-01          2.0672e+01     2.1789e+00     1.4685e+01     
      9         1       221      1.827e+01      4.015e+01     4.3975e+01     5.6214e+00     3.8311e+01      6.440e-01     3.8416e-06     3.8963e-06     9.853157e-01          2.0878e+01     2.1796e+00     1.4673e+01     

     10         0       236      1.599e+01      4.144e+01     4.0503e+01     6.5186e+00     3.8396e+01      7.401e-01     8.3197e-03     5.0859e-04     9.830151e-01          1.8922e+01     2.5413e+00     1.4779e+01     
     10         1       251      1.615e+01      4.160e+01     4.0749e+01     6.5210e+00     3.8386e+01      7.403e-01     4.3738e-06     7.5714e-06     9.830151e-01          1.9036e+01     2.5405e+00     1.4768e+01     

     11         0       266      1.403e+01      4.363e+01     3.7304e+01     7.5546e+00     3.8462e+01      8.573e-01     9.6208e-03     7.1200e-04     9.803688e-01          1.7332e+01     2.9586e+00     1.4867e+01     
     11         1       281      1.419e+01      4.379e+01     3.7563e+01     7.5572e+00     3.8450e+01      8.577e-01     8.4434e-06     1.5380e-05     9.803688e-01          1.7454e+01     2.9570e+00     1.4855e+01     

     12         0       296      1.231e+01      4.657e+01     3.4262e+01     8.7155e+00     3.8510e+01      9.990e-01     1.0521e-02     1.0201e-03     9.774042e-01          1.5808e+01     3.4266e+00     1.4940e+01     
     12         1       311      1.246e+01      4.672e+01     3.4519e+01     8.7182e+00     3.8497e+01      9.996e-01     1.5237e-05     2.7664e-05     9.774042e-01          1.5931e+01     3.4238e+00     1.4928e+01     

     13         0       328      1.080e+01      5.029e+01     3.1374e+01     1.0016e+01     3.8538e+01      1.173e+00     1.1437e-02     8.3082e-04     9.740826e-01          1.4352e+01     3.9456e+00     1.4998e+01     
