# Kona Param. Contn. convergence history (opt tol = 6.884766e-07 | feas tol = 4.276096e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      3.100e+01      3.100e+01     6.8848e+00     0.0000e+00     4.2761e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          3.0000e+00     0.0000e+00     1.2000e+01     

      1         0        10      3.098e+01      1.224e+02     8.7316e+00     2.1380e+00     4.2758e+02      3.836e-02     1.4313e-03     1.0278e-04     9.995000e-01          3.6000e+00     6.0000e-02     1.1999e+01     
      1         1        19      3.097e+01      1.224e+02     8.7302e+00     2.1389e+00     4.2757e+02      3.836e-02     5.8738e-07     2.7099e-09     9.995000e-01          3.5994e+00     6.0021e-02     1.1998e+01     

      2         0        28      3.073e+01      7.178e+02     2.0979e+01     1.6080e+01     4.2726e+02      1.410e+00     6.0812e-02     4.6770e-03     9.962423e-01          7.5003e+00     4.5119e-01     1.1982e+01     
      2         1        37      3.047e+01      7.177e+02     2.0782e+01     1.6098e+01     4.2686e+02      1.411e+00     4.5930e-04     3.3434e-05     9.962423e-01          7.4287e+00     4.5086e-01     1.1955e+01     

      3         0        46      2.971e+01      1.311e+03     3.2767e+01     3.0084e+01     4.2577e+02      4.741e+00     6.1027e-02     1.4720e-02     9.929783e-01          1.1201e+01     8.4178e-01     1.1886e+01     
      3         1        57      2.948e+01      1.309e+03     3.2155e+01     3.0063e+01     4.2542e+02      4.748e+00     6.2460e-05     3.8359e-04     9.929783e-01          1.1000e+01     8.3822e-01     1.1862e+01     

      4         0        68      2.824e+01      1.901e+03     4.3171e+01     4.4174e+01     4.2363e+02      1.013e+01     6.2066e-02     2.0577e-02     9.896715e-01          1.4442e+01     1.2271e+00     1.1742e+01     
      4         1        81      2.809e+01      1.899e+03     4.2386e+01     4.4135e+01     4.2338e+02      1.015e+01     1.2436e-05     1.8871e-06     9.896715e-01          1.4190e+01     1.2220e+00     1.1724e+01     

      5         0        94      2.655e+01      2.481e+03     5.1856e+01     5.8175e+01     4.2117e+02      1.761e+01     5.7375e-02     2.2177e-02     9.863562e-01          1.7131e+01     1.6007e+00     1.1567e+01     
      5         1       107      2.642e+01      2.478e+03     5.0985e+01     5.8115e+01     4.2096e+02      1.765e+01     2.1211e-05     4.1303e-06     9.863562e-01          1.6851e+01     1.5945e+00     1.1552e+01     

      6         0       120      2.456e+01      3.090e+03     5.9268e+01     7.3057e+01     4.1831e+02      2.801e+01     6.2631e-02     2.9928e-02     9.827938e-01          1.9404e+01     1.9869e+00     1.1354e+01     
      6         1       133      2.448e+01      3.086e+03     5.8224e+01     7.2983e+01     4.1816e+02      2.807e+01     3.6066e-05     8.5493e-06     9.827938e-01          1.9071e+01     1.9792e+00     1.1344e+01     

