# Kona Param. Contn. convergence history (opt tol = 1.460010e-14 | feas tol = 6.039868e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.4600e-07     0.0000e+00     6.0399e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.9605e-08     0.0000e+00     1.0000e+01     

      1         0         8      1.764e-17      3.020e+00     2.3412e-03     4.9993e-01     6.0399e+01      1.251e-03     4.1381e-04     4.1380e-05     9.991723e-01          8.2775e-04     8.2772e-02     1.0000e+01     
      1         1        17      3.123e-14      3.022e+00     2.3429e-03     5.0034e-01     6.0398e+01      1.251e-03     7.5776e-10     6.2624e-12     9.991723e-01          8.2853e-04     8.2839e-02     9.9999e+00     

      2         0        26      2.398e-11      1.893e+01     1.4673e-02     3.1335e+00     6.0394e+01      4.921e-02     1.1481e-02     1.1273e-03     9.948193e-01          5.1897e-03     5.1881e-01     9.9992e+00     
      2         1        35      2.977e-10      1.899e+01     1.4711e-02     3.1437e+00     6.0382e+01      4.932e-02     2.8697e-07     6.3742e-09     9.948193e-01          5.2081e-03     5.2049e-01     9.9974e+00     

      3         0        44      2.145e-09      3.481e+01     2.6966e-02     5.7628e+00     6.0355e+01      1.662e-01     1.1375e-02     1.0103e-03     9.905189e-01          9.5530e-03     9.5413e-01     9.9931e+00     
      3         1        53      3.413e-09      3.485e+01     2.6978e-02     5.7708e+00     6.0343e+01      1.667e-01     8.9655e-07     1.2647e-08     9.905189e-01          9.5626e-03     9.5547e-01     9.9912e+00     

      4         0        62      1.262e-08      5.081e+01     3.9331e-02     8.4132e+00     6.0293e+01      3.565e-01     1.1612e-02     9.2628e-04     9.861996e-01          1.3952e-02     1.3930e+00     9.9832e+00     
      4         1        71      1.547e-08      5.085e+01     3.9310e-02     8.4193e+00     6.0281e+01      3.577e-01     1.9206e-06     2.1019e-08     9.861996e-01          1.3951e-02     1.3940e+00     9.9813e+00     

