# Kona Param. Contn. convergence history (opt tol = 1.460010e-14 | feas tol = 6.039868e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.4600e-07     0.0000e+00     6.0399e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.9605e-08     0.0000e+00     1.0000e+01     

      1         0         8      1.764e-17      3.020e+00     2.3412e-03     4.9993e-01     6.0399e+01      1.251e-03     4.1381e-04     4.1380e-05     9.991723e-01          8.2775e-04     8.2772e-02     1.0000e+01     
      1         1        21     -1.031e-13      3.022e+00     2.3414e-03     5.0034e-01     6.0398e+01      1.251e-03     1.4205e-06     1.0809e-06     9.991723e-01          8.2889e-04     8.2839e-02     9.9999e+00     

      2         0        30      2.125e-11      1.893e+01     1.4564e-02     3.1334e+00     6.0394e+01      4.921e-02     1.1480e-02     1.1282e-03     9.948196e-01          5.1670e-03     5.1878e-01     9.9992e+00     
      2         1        43      1.241e-10      1.899e+01     1.4627e-02     3.1435e+00     6.0382e+01      4.931e-02     5.7172e-05     7.6302e-05     9.948196e-01          5.2523e-03     5.2046e-01     9.9974e+00     

      3         0        52      1.445e-09      3.480e+01     2.6223e-02     5.7625e+00     6.0355e+01      1.662e-01     1.1374e-02     1.0636e-03     9.905194e-01          9.4548e-03     9.5408e-01     9.9930e+00     
      3         1        77      3.634e-09      3.485e+01     2.6976e-02     5.7705e+00     6.0343e+01      1.667e-01     8.7286e-06     9.5029e-06     9.905194e-01          9.5689e-03     9.5542e-01     9.9912e+00     

      4         0        86      1.260e-08      5.081e+01     3.8135e-02     8.4127e+00     6.0293e+01      3.565e-01     1.1611e-02     1.0584e-03     9.862003e-01          1.3695e-02     1.3929e+00     9.9831e+00     
      4         1       111      1.618e-08      5.085e+01     3.9307e-02     8.4188e+00     6.0281e+01      3.577e-01     1.3402e-05     1.4295e-05     9.862003e-01          1.3959e-02     1.3939e+00     9.9813e+00     

