# Kona Param. Contn. convergence history (opt tol = 2.244994e-06 | feas tol = 4.609772e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      4.100e+01      4.100e+01     2.2450e+01     0.0000e+00     4.6098e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          8.0000e+00     0.0000e+00     1.5000e+01     

      1         0        10      4.051e+01      4.258e+01     2.2500e+01     4.3054e-01     4.5998e+01      4.074e-02     4.2787e-04     1.8054e-04     9.990250e-01          8.0253e+00     1.4625e-01     1.4965e+01     
      1         1        19      4.051e+01      4.257e+01     2.2498e+01     4.3027e-01     4.5998e+01      4.074e-02     1.1956e-06     7.8618e-09     9.990250e-01          8.0245e+00     1.4604e-01     1.4965e+01     

      2         0        28      3.824e+01      4.988e+01     2.2713e+01     2.4505e+00     4.5533e+01      2.525e-01     9.4473e-03     4.0424e-03     9.944438e-01          8.1354e+00     8.3119e-01     1.4797e+01     
      2         1        39      3.821e+01      4.979e+01     2.2666e+01     2.4434e+00     4.5518e+01      2.526e-01     3.1845e-07     5.0276e-06     9.944438e-01          8.1170e+00     8.2602e-01     1.4791e+01     

      3         0        48      3.587e+01      5.712e+01     2.2792e+01     4.5391e+00     4.5016e+01      5.094e-01     1.1519e-02     4.8838e-03     9.896514e-01          8.1939e+00     1.5308e+00     1.4604e+01     
      3         1        57      3.586e+01      5.704e+01     2.2745e+01     4.5301e+00     4.5004e+01      5.098e-01     1.2061e-04     1.1463e-05     9.896514e-01          8.1753e+00     1.5240e+00     1.4598e+01     

      4         0        68      3.374e+01      6.361e+01     2.2786e+01     6.4604e+00     4.4531e+01      7.822e-01     9.0430e-03     5.5189e-03     9.851850e-01          8.2167e+00     2.1670e+00     1.4413e+01     
      4         1        79      3.374e+01      6.355e+01     2.2736e+01     6.4525e+00     4.4523e+01      7.829e-01     1.0768e-05     4.6572e-05     9.851850e-01          8.1974e+00     2.1598e+00     1.4410e+01     

      5         0        92      3.171e+01      6.986e+01     2.2690e+01     8.3496e+00     4.4053e+01      1.086e+00     8.8986e-03     4.1230e-03     9.807451e-01          8.2041e+00     2.7828e+00     1.4219e+01     
      5         1       103      3.172e+01      6.981e+01     2.2655e+01     8.3397e+00     4.4046e+01      1.088e+00     9.2624e-06     4.1231e-05     9.807451e-01          8.1907e+00     2.7758e+00     1.4216e+01     

      6         0       116      2.968e+01      7.627e+01     2.2534e+01     1.0315e+01     4.3554e+01      1.446e+00     9.9776e-03     4.6420e-03     9.760576e-01          8.1691e+00     3.4154e+00     1.4008e+01     
      6         1       127      2.970e+01      7.622e+01     2.2498e+01     1.0303e+01     4.3548e+01      1.448e+00     1.5324e-05     6.3863e-05     9.760576e-01          8.1559e+00     3.4071e+00     1.4007e+01     

      7         0       140      2.772e+01      8.266e+01     2.2304e+01     1.2299e+01     4.3051e+01      1.859e+00     1.0630e-02     4.9295e-03     9.712423e-01          8.1060e+00     4.0429e+00     1.3789e+01     
      7         1       151      2.775e+01      8.262e+01     2.2271e+01     1.2286e+01     4.3046e+01      1.862e+00     3.3928e-05     8.9498e-05     9.712423e-01          8.0942e+00     4.0339e+00     1.3788e+01     

      8         0       164      2.583e+01      8.913e+01     2.2005e+01     1.4326e+01     4.2541e+01      2.342e+00     1.1647e-02     5.3659e-03     9.662311e-01          8.0165e+00     4.6713e+00     1.3557e+01     
      8         1       177      2.587e+01      8.910e+01     2.1975e+01     1.4312e+01     4.2537e+01      2.347e+00     1.0347e-04     5.7771e-05     9.662311e-01          8.0059e+00     4.6614e+00     1.3559e+01     

      9         0       192      2.410e+01      9.549e+01     2.1650e+01     1.6318e+01     4.2042e+01      2.888e+00     1.0721e-02     4.9579e-03     9.612046e-01          7.9065e+00     5.2753e+00     1.3328e+01     
      9         1       205      2.413e+01      9.546e+01     2.1626e+01     1.6303e+01     4.2039e+01      2.894e+00     5.4428e-05     1.5364e-05     9.612046e-01          7.8968e+00     5.2648e+00     1.3327e+01     

     10         0       220      2.233e+01      1.024e+02     2.1214e+01     1.8482e+01     4.1505e+01      3.573e+00     1.3045e-02     5.8949e-03     9.556198e-01          7.7656e+00     5.9169e+00     1.3071e+01     
     10         1       233      2.237e+01      1.024e+02     2.1191e+01     1.8463e+01     4.1501e+01      3.582e+00     9.2218e-05     2.8606e-05     9.556198e-01          7.7562e+00     5.9039e+00     1.3071e+01     

     11         0       248      2.060e+01      1.097e+02     2.0697e+01     2.0756e+01     4.0941e+01      4.419e+00     1.4979e-02     6.5729e-03     9.495836e-01          7.5947e+00     6.5724e+00     1.2795e+01     
     11         1       261      2.065e+01      1.096e+02     2.0677e+01     2.0733e+01     4.0937e+01      4.432e+00     1.4101e-04     4.3474e-05     9.495836e-01          7.5864e+00     6.5573e+00     1.2796e+01     

     12         0       276      1.892e+01      1.175e+02     2.0092e+01     2.3179e+01     4.0337e+01      5.495e+00     1.7786e-02     7.5443e-03     9.429308e-01          7.3908e+00     7.2504e+00     1.2495e+01     
     12         1       291      1.898e+01      1.174e+02     2.0075e+01     2.3150e+01     4.0332e+01      5.514e+00     2.8257e-05     2.2564e-05     9.429308e-01          7.3835e+00     7.2331e+00     1.2498e+01     

     13         0       306      1.727e+01      1.260e+02     1.9386e+01     2.5791e+01     3.9675e+01      6.905e+00     2.1751e-02     8.8654e-03     9.354604e-01          7.1491e+00     7.9633e+00     1.2176e+01     
     13         1       321      1.734e+01      1.259e+02     1.9374e+01     2.5753e+01     3.9669e+01      6.934e+00     5.5585e-05     4.6515e-05     9.354604e-01          7.1436e+00     7.9440e+00     1.2182e+01     

     14         0       336      1.564e+01      1.353e+02     1.8563e+01     2.8634e+01     3.8931e+01      8.821e+00     2.7444e-02     1.0760e-02     9.268894e-01          6.8636e+00     8.7155e+00     1.1822e+01     
     14         1       351      1.572e+01      1.352e+02     1.8557e+01     2.8582e+01     3.8922e+01      8.866e+00     1.0503e-04     9.6044e-05     9.268894e-01          6.8605e+00     8.6914e+00     1.1830e+01     

     15         0       366      1.404e+01      1.457e+02     1.7601e+01     3.1754e+01     3.8067e+01      1.153e+01     3.5774e-02     1.3534e-02     9.168069e-01          6.5255e+00     9.5110e+00     1.1419e+01     
     15         1       381      1.413e+01      1.455e+02     1.7604e+01     3.1678e+01     3.8054e+01      1.160e+01     2.0470e-04     1.9706e-04     9.168069e-01          6.5261e+00     9.4797e+00     1.1430e+01     

     16         0       396      1.245e+01      1.573e+02     1.6472e+01     3.5190e+01     3.7023e+01      1.554e+01     4.8207e-02     1.7787e-02     9.045877e-01          6.1236e+00     1.0350e+01     1.0950e+01     
     16         1       415      1.256e+01      1.570e+02     1.6490e+01     3.5074e+01     3.7004e+01      1.565e+01     1.0081e-04     4.2286e-05     9.045877e-01          6.1301e+00     1.0308e+01     1.0965e+01     

     17         0       432      1.093e+01      1.698e+02     1.5159e+01     3.8860e+01     3.5733e+01      2.163e+01     6.3312e-02     2.2092e-02     8.895829e-01          5.6616e+00     1.1207e+01     1.0408e+01     
     17         1       451      1.105e+01      1.693e+02     1.5210e+01     3.8686e+01     3.5707e+01      2.180e+01     4.5716e-04     1.3378e-04     8.895829e-01          5.6686e+00     1.1146e+01     1.0421e+01     

     18         0       468      9.345e+00      1.837e+02     1.3579e+01     4.2890e+01     3.3968e+01      3.195e+01     9.3822e-02     3.9322e-02     8.692913e-01          5.0930e+00     1.2092e+01     9.7034e+00     
     18         1       489      9.502e+00      1.827e+02     1.3656e+01     4.2587e+01     3.3937e+01      3.221e+01     3.1476e-04     2.9815e-04     8.692913e-01          5.1015e+00     1.1992e+01     9.7303e+00     

     19         0       506      7.799e+00      1.967e+02     1.1688e+01     4.6717e+01     3.1503e+01      4.997e+01     1.2755e-01     6.4382e-02     8.412240e-01          4.3996e+00     1.2836e+01     8.8054e+00     
     19         1       531      7.982e+00      1.950e+02     1.1836e+01     4.6234e+01     3.1482e+01      5.025e+01     5.5082e-04     3.0890e-04     8.412240e-01          4.4257e+00     1.2697e+01     8.8475e+00     

