# Kona Param. Contn. convergence history (opt tol = 1.084980e-04 | feas tol = 2.417540e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.354e+04      1.354e+04     1.0850e+03     0.0000e+00     2.4175e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0022e+03     0.0000e+00     9.0000e+01     

      1         0        10      1.296e+04      1.296e+04     1.0604e+03     3.2404e-01     2.4181e+02      6.628e+00     1.2427e-02     1.1648e-01     9.995000e-01          9.7715e+02     5.0000e-02     9.0000e+01     
      1         1        19      1.297e+04      1.300e+04     1.0609e+03     1.2096e+00     2.4181e+02      6.634e+00     5.8516e-05     6.6784e-08     9.995000e-01          9.7773e+02     4.5023e-01     9.0000e+01     

      2         0        30      1.976e+03      2.114e+03     5.1588e+02     2.0087e+01     2.6276e+02      5.645e+02     4.3954e+01     7.8540e+00     9.690477e-01          4.7629e+02     3.3954e+00     8.9969e+01     
      2         1        43      2.037e+03      3.939e+03     4.7156e+02     8.1583e+01     2.4400e+02      2.053e+02     1.2620e-01     5.5110e-02     9.690477e-01          3.8425e+02     3.1029e+01     8.8983e+01     

      3         0        58      1.374e+03      3.253e+03     7.9229e+02     1.1899e+02     2.5759e+02      1.930e+03     1.6973e+02     4.0078e+01     8.270197e-01          7.3386e+02     3.5957e+01     7.7833e+01     
      3         1        87     -2.407e+04     -1.334e+04     4.0807e+02     1.0956e+03     2.2676e+02      4.434e+03     1.1371e+02     6.2117e-01     8.270197e-01          3.7794e+02     4.9947e+02     6.5007e+01     

      4         0       169     -5.477e+03     -4.434e+03     2.3873e+02     1.1162e+02     9.8856e+01      1.498e+04     1.7139e+02     1.6178e+01     7.975096e-01          2.0948e+02     2.8760e+01     4.7385e+01     
      4         1       208     -4.169e+04     -2.260e+04     4.6816e+02     7.7798e+02     2.7352e+02      1.142e+04     9.4782e+01     6.8929e-01     7.975096e-01          4.3242e+02     3.0765e+02     1.1950e+02     

      5         0       298     -7.058e+04     -5.048e+04     6.6393e+02     1.5276e+02     3.5567e+02      1.041e+04     1.7875e+02     5.6792e+01     7.660095e-01          6.4195e+02     5.6129e+01     1.6805e+02     
      5         1       343     -5.921e+04     -2.913e+04     5.0692e+02     8.7089e+02     3.0648e+02      1.164e+04     1.4559e+02     3.9315e+00     7.660095e-01          4.6022e+02     4.5799e+02     1.4405e+02     

      6         0       433     -9.148e+04     -6.301e+04     6.8693e+02     2.3490e+02     3.4210e+02      9.462e+03     2.3765e+02     7.3216e+01     6.998801e-01          6.5620e+02     9.1533e+01     1.9090e+02     
      6         1       478     -5.784e+04     -2.426e+04     4.2624e+02     6.5672e+02     2.5720e+02      1.219e+04     1.3725e+02     1.6163e+01     6.998801e-01          3.6143e+02     3.5289e+02     1.4672e+02     

      7         0       568     -4.775e+04     -3.551e+04     4.4976e+02     2.1374e+02     1.8596e+02      7.323e+03     2.3580e+02     6.4124e+01     6.141311e-01          4.1957e+02     8.3851e+01     1.3711e+02     
