# Kona Param. Contn. convergence history (opt tol = 1.084980e-04 | feas tol = 2.417540e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.354e+04      1.354e+04     1.0850e+03     0.0000e+00     2.4175e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0022e+03     0.0000e+00     9.0000e+01     

      1         0        10      1.296e+04      1.296e+04     1.0604e+03     3.2404e-01     2.4181e+02      6.628e+00     1.2427e-02     1.1648e-01     9.995000e-01          9.7715e+02     5.0000e-02     9.0000e+01     
      1         1        79      1.297e+04      1.300e+04     1.0609e+03     1.2096e+00     2.4181e+02      6.634e+00     9.2863e-04     5.6440e-04     9.995000e-01          9.7773e+02     4.5022e-01     9.0000e+01     

      2         0       164      5.193e+02      6.271e+02     2.8855e+02     1.5853e+01     2.5567e+02      3.303e+02     2.7247e+01     6.0575e+00     9.754850e-01          2.0576e+02     2.6792e+00     9.0130e+01     
      2         1       249      2.913e+03      4.408e+03     5.2652e+02     6.3071e+01     2.4486e+02      1.788e+02     2.3146e+00     1.6055e+00     9.754850e-01          4.3533e+02     2.3688e+01     8.9489e+01     

      3         0       419      7.398e+03      9.059e+03     1.0222e+03     1.1115e+02     2.6527e+02      2.754e+03     2.0258e+02     3.8986e+01     8.391053e-01          9.7732e+02     3.4504e+01     8.0594e+01     
      3         1       480     -1.530e+04     -6.754e+03     3.4747e+02     9.0258e+02     2.1113e+02      3.161e+03     7.9096e+01     7.6055e-01     8.391053e-01          3.1332e+02     4.5181e+02     5.3037e+01     

      4         0       626     -4.749e+04     -2.770e+04     5.9111e+02     9.3608e+03     2.8003e+02      5.097e+04     2.0380e+03     1.3426e+01     8.065201e-01          5.6779e+02     9.3402e+03     1.3346e+02     
      4         1       651     -4.722e+04     -3.180e+04     5.6190e+02     1.8156e+03     2.4426e+02      2.727e+04     4.5950e+02     1.0128e+01     8.065201e-01          5.3567e+02     1.6662e+03     9.2607e+01     

      5         0       821     -7.183e+04     -4.866e+04     6.5978e+02     1.5820e+02     2.7809e+02      2.705e+04     2.4059e+02     1.7594e+01     7.782722e-01          6.3114e+02     4.8489e+01     1.0906e+02     
      5         1       898     -1.326e+06     -7.169e+05     2.5958e+03     1.8174e+04     1.4627e+03      4.224e+05     3.2325e+03     6.9023e-01     7.782722e-01          2.4880e+03     9.6418e+03     6.3494e+02     

      6         0       996     -1.488e+06     -7.925e+05     2.8049e+03     4.9016e+03     1.5562e+03      5.959e+05     1.5540e+03     1.2337e+01     7.777722e-01          2.6964e+03     4.5817e+03     6.8215e+02     
      6         1      1021     -1.297e+06     -6.939e+05     2.6032e+03     3.8699e+03     1.4460e+03      5.022e+05     3.0528e+02     5.2823e+00     7.777722e-01          2.5026e+03     2.2803e+03     6.3080e+02     

      7         0      1171     -4.874e+06     -2.475e+06     5.0164e+03     1.1365e+02     2.8944e+03      1.997e+06     1.7849e+03     1.4850e+01     7.772722e-01          4.8229e+03     3.5289e+01     1.3067e+03     
