# Kona Param. Contn. convergence history (opt tol = 7.211103e-07 | feas tol = 3.553871e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.000e+01     -1.000e+01     7.2111e+00     0.0000e+00     3.5539e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          5.0000e+00     0.0000e+00     1.3000e+01     

      1         0        10     -1.007e+01     -8.331e+00     7.2203e+00     4.8983e-01     3.5538e+01     -1.263e-02     6.7681e-04     8.3910e-05     9.986217e-01          5.0124e+00     1.7918e-01     1.3003e+01     
      1         1        19     -1.007e+01     -8.329e+00     7.2201e+00     4.9047e-01     3.5537e+01     -1.263e-02     1.3049e-07     1.4374e-09     9.986217e-01          5.0123e+00     1.7946e-01     1.3002e+01     

      2         0        28     -1.030e+01     -2.983e+00     7.2489e+00     2.0599e+00     3.5529e+01     -3.746e-02     6.9417e-03     8.4366e-04     9.942166e-01          5.0510e+00     7.5377e-01     1.3009e+01     
      2         1        37     -1.030e+01     -2.964e+00     7.2468e+00     2.0657e+00     3.5522e+01     -3.741e-02     4.9467e-06     2.5996e-07     9.942166e-01          5.0496e+00     7.5625e-01     1.3006e+01     

      3         0        46     -1.054e+01      2.341e+00     7.2717e+00     3.6244e+00     3.5500e+01     -3.823e-02     6.8070e-03     7.7466e-04     9.898698e-01          5.0848e+00     1.3271e+00     1.3007e+01     
      3         1        55     -1.054e+01      2.355e+00     7.2698e+00     3.6289e+00     3.5493e+01     -3.802e-02     6.8313e-06     7.8272e-07     9.898698e-01          5.0836e+00     1.3290e+00     1.3004e+01     

      4         0        64     -1.077e+01      7.705e+00     7.2913e+00     5.2021e+00     3.5456e+01     -1.408e-02     6.9044e-03     7.2812e-04     9.855005e-01          5.1158e+00     1.9054e+00     1.2998e+01     
      4         1        73     -1.077e+01      7.714e+00     7.2896e+00     5.2054e+00     3.5449e+01     -1.363e-02     1.4128e-05     1.6347e-06     9.855005e-01          5.1148e+00     1.9066e+00     1.2995e+01     

      5         0        82     -1.102e+01      1.319e+01     7.3078e+00     6.8171e+00     3.5396e+01      3.810e-02     7.2598e-03     6.9963e-04     9.810327e-01          5.1444e+00     2.4968e+00     1.2982e+01     
      5         1        91     -1.102e+01      1.319e+01     7.3064e+00     6.8193e+00     3.5389e+01      3.893e-02     2.9658e-05     2.9299e-06     9.810327e-01          5.1434e+00     2.4974e+00     1.2980e+01     

      6         0       100     -1.127e+01      1.887e+01     7.3212e+00     8.4909e+00     3.5318e+01      1.240e-01     7.8801e-03     6.8907e-04     9.763960e-01          5.1705e+00     3.1088e+00     1.2958e+01     
      6         1       109     -1.128e+01      1.886e+01     7.3200e+00     8.4917e+00     3.5310e+01      1.254e-01     5.5512e-05     4.9514e-06     9.763960e-01          5.1697e+00     3.1087e+00     1.2957e+01     

      7         0       120     -1.155e+01      2.489e+01     7.3324e+00     1.0270e+01     3.5218e+01      2.547e-01     9.1380e-03     7.9747e-04     9.714458e-01          5.1953e+00     3.7591e+00     1.2928e+01     
      7         1       129     -1.155e+01      2.488e+01     7.3302e+00     1.0270e+01     3.5208e+01      2.571e-01     5.3566e-05     7.0140e-06     9.714458e-01          5.1936e+00     3.7567e+00     1.2924e+01     

      8         0       140     -1.184e+01      3.117e+01     7.3383e+00     1.2129e+01     3.5090e+01      4.407e-01     1.0113e-02     9.2344e-04     9.662364e-01          5.2159e+00     4.4353e+00     1.2884e+01     
