# Kona Param. Contn. convergence history (opt tol = 8.094377e-07 | feas tol = 2.048048e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      9.427e+02      9.427e+02     8.0944e+00     0.0000e+00     2.0480e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          2.3040e+00     0.0000e+00     6.0000e+01     

      1         0        10      9.427e+02      9.430e+02     8.0939e+00     1.3229e-01     2.0481e+02      4.714e-01     6.6381e-05     1.0154e-01     9.995000e-01          2.3080e+00     5.0000e-02     6.0001e+01     
      1         1        17      9.427e+02      9.637e+02     8.0881e+00     1.0245e+00     2.0481e+02      4.766e-01     5.2593e-04     2.6367e-06     9.995000e-01          2.3190e+00     3.0015e-01     6.0001e+01     

      2         0        33      9.424e+02      9.458e+02     8.0902e+00     1.2852e+00     2.0480e+02      4.583e+00     1.0593e-02     9.8560e-01     9.951468e-01          2.3428e+00     4.8604e-01     6.0008e+01     
      2         1        42      9.424e+02      1.147e+03     8.0501e+00     9.9975e+00     2.0476e+02      5.072e+00     4.7739e-05     2.3037e-05     9.951468e-01          2.4500e+00     2.9302e+00     5.9997e+01     

      3         0        51      9.421e+02      9.486e+02     8.0873e+00     2.4332e+00     2.0467e+02      8.652e+00     1.3318e-01     1.8549e+00     9.908605e-01          2.3774e+00     9.2334e-01     5.9981e+01     
      3         1        60      9.421e+02      1.328e+03     8.0417e+00     1.8954e+01     2.0463e+02      1.039e+01     1.6888e-04     1.5508e-04     9.908605e-01          2.5795e+00     5.5597e+00     5.9969e+01     

      4         0        69      9.418e+02      9.513e+02     8.0853e+00     3.5727e+00     2.0446e+02      1.272e+01     3.3182e-01     2.7120e+00     9.866238e-01          2.4117e+00     1.3591e+00     5.9930e+01     
      4         1        78      9.418e+02      1.508e+03     8.0625e+00     2.7966e+01     2.0442e+02      1.646e+01     3.7703e-04     4.9014e-04     9.866238e-01          2.7079e+00     8.2137e+00     5.9918e+01     

      5         0        87      9.416e+02      9.540e+02     8.0841e+00     4.7050e+00     2.0417e+02      1.686e+01     6.0653e-01     3.5587e+00     9.824232e-01          2.4457e+00     1.7934e+00     5.9856e+01     
      5         1        96      9.416e+02      1.687e+03     8.1119e+00     3.7103e+01     2.0413e+02      2.333e+01     7.0151e-04     1.1214e-03     9.824232e-01          2.8353e+00     1.0915e+01     5.9843e+01     

      6         0       105      9.413e+02      9.567e+02     8.0837e+00     5.8315e+00     2.0380e+02      2.114e+01     9.6002e-01     4.3966e+00     9.782446e-01          2.4794e+00     2.2266e+00     5.9756e+01     
      6         1       114      9.413e+02      1.865e+03     8.1892e+00     4.6436e+01     2.0375e+02      3.106e+01     1.2050e-03     2.1449e-03     9.782446e-01          2.9620e+00     1.3690e+01     5.9742e+01     

