# Kona Param. Contn. convergence history (opt tol = 5.385165e-07 | feas tol = 2.103568e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.250e+00      2.250e+00     5.3852e+00     0.0000e+00     2.1036e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e+00     0.0000e+00     9.5000e+00     

      1         0        10      2.184e+00      3.202e+00     5.2780e+00     4.8387e-01     2.1043e+01      6.274e-03     1.1353e-03     1.4466e-04     9.976998e-01          3.9287e+00     2.1852e-01     9.4954e+00     
      1         1        19      2.185e+00      3.206e+00     5.2792e+00     4.8509e-01     2.1041e+01      6.274e-03     6.3867e-06     7.4537e-08     9.976998e-01          3.9296e+00     2.1890e-01     9.4950e+00     

      2         0        28      2.064e+00      5.069e+00     5.0761e+00     1.4276e+00     2.1050e+01      2.478e-02     4.3961e-03     5.2316e-04     9.932405e-01          3.7949e+00     6.4387e-01     9.4847e+00     
      2         1        39      2.068e+00      5.082e+00     5.0804e+00     1.4317e+00     2.1045e+01      2.480e-02     1.1717e-07     1.7872e-07     9.932405e-01          3.7983e+00     6.4509e-01     9.4832e+00     

      3         0        48      1.951e+00      7.059e+00     4.8753e+00     2.4250e+00     2.1045e+01      5.342e-02     5.5452e-03     5.5121e-04     9.885751e-01          3.6630e+00     1.0916e+00     9.4695e+00     
      3         1        59      1.957e+00      7.072e+00     4.8816e+00     2.4287e+00     2.1039e+01      5.354e-02     3.5498e-07     5.0554e-07     9.885751e-01          3.6678e+00     1.0928e+00     9.4676e+00     

      4         0        70      1.867e+00      8.793e+00     4.7147e+00     3.2873e+00     2.1029e+01      8.619e-02     3.5714e-03     3.3425e-04     9.845641e-01          3.5585e+00     1.4776e+00     9.4528e+00     
      4         1        81      1.870e+00      8.800e+00     4.7179e+00     3.2893e+00     2.1025e+01      8.635e-02     5.7869e-07     5.1300e-07     9.845641e-01          3.5610e+00     1.4784e+00     9.4515e+00     

      5         0        92      1.778e+00      1.072e+01     4.5400e+00     4.2442e+00     2.1005e+01      1.319e-01     4.4294e-03     3.6217e-04     9.801140e-01          3.4451e+00     1.9052e+00     9.4323e+00     
      5         1       103      1.782e+00      1.073e+01     4.5439e+00     4.2458e+00     2.1000e+01      1.322e-01     1.2194e-06     7.7844e-07     9.801140e-01          3.4481e+00     1.9060e+00     9.4307e+00     

      6         0       114      1.696e+00      1.273e+01     4.3681e+00     5.2329e+00     2.0969e+01      1.904e-01     4.7586e-03     3.3220e-04     9.755144e-01          3.3341e+00     2.3462e+00     9.4076e+00     
      6         1       125      1.699e+00      1.273e+01     4.3721e+00     5.2338e+00     2.0964e+01      1.909e-01     2.0475e-06     6.1432e-07     9.755144e-01          3.3372e+00     2.3470e+00     9.4059e+00     

      7         0       136      1.617e+00      1.483e+01     4.1956e+00     6.2699e+00     2.0920e+01      2.656e-01     5.2830e-03     3.2429e-04     9.706747e-01          3.2233e+00     2.8078e+00     9.3781e+00     
      7         1       147      1.620e+00      1.484e+01     4.2001e+00     6.2698e+00     2.0914e+01      2.665e-01     3.3795e-06     4.3154e-07     9.706747e-01          3.2266e+00     2.8086e+00     9.3762e+00     

      8         0       158      1.542e+00      1.707e+01     4.0208e+00     7.3698e+00     2.0855e+01      3.632e-01     6.0187e-03     3.5714e-04     9.655075e-01          3.1115e+00     3.2965e+00     9.3424e+00     
      8         1       169      1.545e+00      1.707e+01     4.0258e+00     7.3684e+00     2.0849e+01      3.645e-01     5.5113e-06     2.3009e-06     9.655075e-01          3.1151e+00     3.2974e+00     9.3402e+00     

      9         0       180      1.469e+00      1.948e+01     3.8418e+00     8.5493e+00     2.0770e+01      4.914e-01     7.0382e-03     4.6040e-04     9.599070e-01          2.9973e+00     3.8197e+00     9.2989e+00     
      9         1       191      1.473e+00      1.948e+01     3.8477e+00     8.5462e+00     2.0763e+01      4.935e-01     9.0252e-06     4.3057e-06     9.599070e-01          3.0015e+00     3.8208e+00     9.2962e+00     

     10         0       202      1.399e+00      2.210e+01     3.6569e+00     9.8277e+00     2.0659e+01      6.631e-01     8.4487e-03     6.6340e-04     9.537413e-01          2.8796e+00     4.3859e+00     9.2452e+00     
