# Kona Param. Contn. convergence history (opt tol = 5.385165e-07 | feas tol = 2.103568e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.250e+00      2.250e+00     5.3852e+00     0.0000e+00     2.1036e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e+00     0.0000e+00     9.5000e+00     

      1         0        10      2.184e+00      3.202e+00     5.2780e+00     4.8387e-01     2.1043e+01      6.274e-03     1.1353e-03     1.4466e-04     9.976998e-01          3.9287e+00     2.1852e-01     9.4954e+00     
      1         1        17      2.185e+00      3.206e+00     5.2792e+00     4.8509e-01     2.1041e+01      6.274e-03     6.3273e-07     3.3865e-09     9.976998e-01          3.9296e+00     2.1890e-01     9.4950e+00     

      2         0        24      2.066e+00      5.030e+00     5.0805e+00     1.4076e+00     2.1050e+01      2.429e-02     4.1215e-03     4.9758e-04     9.933354e-01          3.7979e+00     6.3485e-01     9.4848e+00     
      2         1        31      2.070e+00      5.042e+00     5.0845e+00     1.4114e+00     2.1045e+01      2.432e-02     8.1029e-06     5.4263e-08     9.933354e-01          3.8010e+00     6.3600e-01     9.4835e+00     

      3         0        38      1.963e+00      6.874e+00     4.8965e+00     2.3312e+00     2.1044e+01      5.031e-02     4.0941e-03     4.4010e-04     9.890161e-01          3.6771e+00     1.0496e+00     9.4705e+00     
      3         1        45      1.967e+00      6.883e+00     4.9000e+00     2.3342e+00     2.1040e+01      5.040e-02     1.7196e-05     1.5760e-07     9.890161e-01          3.6799e+00     1.0504e+00     9.4692e+00     

      4         0        52      1.869e+00      8.743e+00     4.7196e+00     3.2624e+00     2.1030e+01      8.511e-02     4.1659e-03     3.9011e-04     9.846799e-01          3.5618e+00     1.4667e+00     9.4533e+00     
      4         1        59      1.872e+00      8.750e+00     4.7225e+00     3.2645e+00     2.1025e+01      8.529e-02     1.8776e-05     1.7482e-07     9.846799e-01          3.5641e+00     1.4672e+00     9.4520e+00     

      5         0        66      1.781e+00      1.067e+01     4.5460e+00     4.2158e+00     2.1006e+01      1.304e-01     4.3818e-03     3.6960e-04     9.802471e-01          3.4492e+00     1.8930e+00     9.4329e+00     
      5         1        73      1.784e+00      1.067e+01     4.5490e+00     4.2172e+00     2.1001e+01      1.307e-01     1.0965e-05     5.9815e-08     9.802471e-01          3.4514e+00     1.8933e+00     9.4314e+00     

      6         0        80      1.698e+00      1.267e+01     4.3736e+00     5.2045e+00     2.0970e+01      1.885e-01     4.7483e-03     3.6307e-04     9.756477e-01          3.3378e+00     2.3342e+00     9.4084e+00     
      6         1        87      1.701e+00      1.267e+01     4.3770e+00     5.2052e+00     2.0965e+01      1.891e-01     7.8538e-06     2.3903e-08     9.756477e-01          3.3404e+00     2.3342e+00     9.4067e+00     

      7         0        94      1.620e+00      1.477e+01     4.2011e+00     6.2406e+00     2.0922e+01      2.633e-01     5.2655e-03     3.5446e-04     9.708123e-01          3.2269e+00     2.7958e+00     9.3789e+00     
      7         1       101      1.623e+00      1.478e+01     4.2048e+00     6.2404e+00     2.0916e+01      2.642e-01     4.7983e-06     9.3922e-09     9.708123e-01          3.2297e+00     2.7955e+00     9.3771e+00     

      8         0       108      1.544e+00      1.701e+01     4.0264e+00     7.3392e+00     2.0857e+01      3.602e-01     5.9947e-03     3.4429e-04     9.656520e-01          3.1150e+00     3.2846e+00     9.3434e+00     
      8         1       115      1.547e+00      1.701e+01     4.0306e+00     7.3378e+00     2.0851e+01      3.615e-01     2.0127e-06     3.4704e-09     9.656520e-01          3.1182e+00     3.2838e+00     9.3412e+00     

      9         0       122      1.471e+00      1.942e+01     3.8477e+00     8.5171e+00     2.0773e+01      4.875e-01     7.0040e-03     3.2885e-04     9.600616e-01          3.0009e+00     3.8080e+00     9.3000e+00     
      9         1       129      1.475e+00      1.941e+01     3.8525e+00     8.5140e+00     2.0765e+01      4.896e-01     1.2031e-05     9.1199e-09     9.600616e-01          3.0045e+00     3.8065e+00     9.2975e+00     

     10         0       136      1.400e+00      2.202e+01     3.6635e+00     9.7931e+00     2.0663e+01      6.579e-01     8.3934e-03     3.0325e-04     9.539109e-01          2.8834e+00     4.3743e+00     9.2466e+00     
