# Kona Param. Contn. convergence history (opt tol = 5.385165e-07 | feas tol = 2.148255e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.250e+00      2.250e+00     5.3852e+00     0.0000e+00     2.1483e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e+00     0.0000e+00     1.0000e+01     

      1         0        10      2.185e+00      3.226e+00     5.2889e+00     4.8450e-01     2.1487e+01      6.178e-03     1.1101e-03     1.3501e-04     9.977447e-01          3.9425e+00     2.2553e-01     1.0007e+01     
      1         1        19      2.186e+00      3.230e+00     5.2899e+00     4.8564e-01     2.1486e+01      6.179e-03     5.5059e-06     5.9846e-08     9.977447e-01          3.9433e+00     2.2617e-01     1.0006e+01     

      2         0        28      2.064e+00      5.183e+00     5.1032e+00     1.4512e+00     2.1490e+01      2.505e-02     4.4981e-03     5.1231e-04     9.932700e-01          3.8324e+00     6.7602e-01     1.0017e+01     
      2         1        39      2.068e+00      5.195e+00     5.1071e+00     1.4551e+00     2.1485e+01      2.508e-02     5.1652e-08     1.5156e-07     9.932700e-01          3.8354e+00     6.7823e-01     1.0014e+01     

      3         0        48      1.949e+00      7.263e+00     4.9186e+00     2.4713e+00     2.1481e+01      5.452e-02     5.6564e-03     5.4100e-04     9.885921e-01          3.7245e+00     1.1525e+00     1.0021e+01     
      3         1        59      1.955e+00      7.276e+00     4.9246e+00     2.4749e+00     2.1474e+01      5.465e-02     2.0617e-07     4.3208e-07     9.885921e-01          3.7290e+00     1.1545e+00     1.0018e+01     

      4         0        70      1.863e+00      9.078e+00     4.7710e+00     3.3549e+00     2.1461e+01      8.849e-02     3.6661e-03     3.3339e-04     9.845606e-01          3.6398e+00     1.5657e+00     1.0018e+01     
      4         1        81      1.865e+00      9.085e+00     4.7739e+00     3.3568e+00     2.1457e+01      8.865e-02     1.4225e-07     4.5912e-07     9.845606e-01          3.6421e+00     1.5668e+00     1.0016e+01     

      5         0        92      1.771e+00      1.110e+01     4.6103e+00     4.3344e+00     2.1433e+01      1.359e-01     4.5399e-03     3.6279e-04     9.800896e-01          3.5480e+00     2.0241e+00     1.0012e+01     
      5         1       103      1.774e+00      1.110e+01     4.6138e+00     4.3358e+00     2.1428e+01      1.363e-01     2.6246e-07     7.4558e-07     9.800896e-01          3.5507e+00     2.0249e+00     1.0009e+01     

      6         0       114      1.685e+00      1.319e+01     4.4520e+00     5.3465e+00     2.1393e+01      1.969e-01     4.8815e-03     3.3093e-04     9.754642e-01          3.4586e+00     2.4983e+00     9.9992e+00     
      6         1       125      1.688e+00      1.319e+01     4.4557e+00     5.3472e+00     2.1388e+01      1.975e-01     3.9024e-07     7.9988e-07     9.754642e-01          3.4613e+00     2.4986e+00     9.9964e+00     

      7         0       136      1.602e+00      1.539e+01     4.2930e+00     6.4082e+00     2.1340e+01      2.756e-01     5.4258e-03     3.0768e-04     9.705912e-01          3.3697e+00     2.9959e+00     9.9802e+00     
      7         1       147      1.605e+00      1.540e+01     4.2970e+00     6.4079e+00     2.1334e+01      2.765e-01     6.2411e-07     4.5831e-07     9.705912e-01          3.3726e+00     2.9956e+00     9.9772e+00     

      8         0       158      1.522e+00      1.774e+01     4.1314e+00     7.5348e+00     2.1270e+01      3.778e-01     6.1906e-03     2.9848e-04     9.653799e-01          3.2802e+00     3.5242e+00     9.9533e+00     
      8         1       169      1.525e+00      1.774e+01     4.1359e+00     7.5331e+00     2.1263e+01      3.793e-01     1.1289e-06     7.9893e-07     9.653799e-01          3.2834e+00     3.5231e+00     9.9499e+00     

      9         0       180      1.443e+00      2.026e+01     3.9656e+00     8.7436e+00     2.1180e+01      5.128e-01     7.2525e-03     3.2531e-04     9.597197e-01          3.1893e+00     4.0912e+00     9.9164e+00     
      9         1       191      1.446e+00      2.026e+01     3.9708e+00     8.7399e+00     2.1172e+01      5.151e-01     1.9432e-06     2.5774e-06     9.597197e-01          3.1928e+00     4.0890e+00     9.9125e+00     

     10         0       202      1.365e+00      2.301e+01     3.7937e+00     1.0054e+01     2.1062e+01      6.942e-01     8.7257e-03     4.2524e-04     9.534716e-01          3.0958e+00     4.7061e+00     9.8668e+00     
     10         1       213      1.369e+00      2.300e+01     3.7998e+00     1.0048e+01     2.1053e+01      6.979e-01     3.3935e-06     4.0580e-06     9.534716e-01          3.0999e+00     4.7022e+00     9.8621e+00     

     11         0       224      1.288e+00      2.602e+01     3.6140e+00     1.1490e+01     2.0909e+01      9.443e-01     1.0785e-02     6.4005e-04     9.464539e-01          2.9988e+00     5.3793e+00     9.8001e+00     
     11         1       235      1.292e+00      2.600e+01     3.6215e+00     1.1479e+01     2.0898e+01      9.502e-01     6.5743e-06     7.1624e-06     9.464539e-01          3.0036e+00     5.3729e+00     9.7945e+00     

     12         0       246      1.211e+00      2.935e+01     3.4249e+00     1.3076e+01     2.0708e+01      1.299e+00     1.3701e-02     1.0279e-03     9.384208e-01          2.8971e+00     6.1225e+00     9.7104e+00     
     12         1       257      1.216e+00      2.932e+01     3.4342e+00     1.3058e+01     2.0694e+01      1.308e+00     1.3713e-05     1.6664e-05     9.384208e-01          2.9030e+00     6.1121e+00     9.7035e+00     

     13         0       268      1.135e+00      3.306e+01     3.2249e+00     1.4840e+01     2.0439e+01      1.819e+00     1.7893e-02     1.7007e-03     9.290275e-01          2.7896e+00     6.9479e+00     9.5887e+00     
     13         1       279      1.139e+00      3.300e+01     3.2369e+00     1.4811e+01     2.0422e+01      1.834e+00     3.0315e-05     4.1358e-05     9.290275e-01          2.7970e+00     6.9313e+00     9.5801e+00     

     14         0       292      1.058e+00      3.718e+01     3.0177e+00     1.6803e+01     2.0075e+01      2.609e+00     2.3846e-02     1.2932e-03     9.177930e-01          2.6766e+00     7.8604e+00     9.4215e+00     
     14         1       303      1.064e+00      3.708e+01     3.0294e+00     1.6754e+01     2.0052e+01      2.635e+00     7.8810e-05     4.1796e-05     9.177930e-01          2.6846e+00     7.8375e+00     9.4109e+00     

     15         0       316      9.815e-01      4.176e+01     2.7966e+00     1.8987e+01     1.9569e+01      3.869e+00     3.2975e-02     2.7704e-03     9.038893e-01          2.5536e+00     8.8755e+00     9.1870e+00     
     15         1       327      9.892e-01      4.159e+01     2.8119e+00     1.8906e+01     1.9540e+01      3.913e+00     1.9934e-04     1.2853e-04     9.038893e-01          2.5640e+00     8.8376e+00     9.1736e+00     

     16         0       340      9.073e-01      4.671e+01     2.5694e+00     2.1364e+01     1.8850e+01      5.971e+00     4.6109e-02     6.1127e-03     8.861052e-01          2.4201e+00     9.9730e+00     8.8511e+00     
     16         1       355      9.169e-01      4.641e+01     2.5890e+00     2.1226e+01     1.8813e+01      6.042e+00     7.8315e-05     7.7631e-06     8.861052e-01          2.4336e+00     9.9099e+00     8.8353e+00     

     17         0       368      8.375e-01      5.172e+01     2.3463e+00     2.3811e+01     1.7799e+01      9.662e+00     6.4328e-02     1.3943e-02     8.622654e-01          2.2732e+00     1.1091e+01     8.3576e+00     
     17         1       383      8.492e-01      5.122e+01     2.3700e+00     2.3580e+01     1.7758e+01      9.764e+00     2.2589e-04     3.0458e-05     8.622654e-01          2.2909e+00     1.0987e+01     8.3419e+00     

