# Kona Param. Contn. convergence history (opt tol = 5.385165e-07 | feas tol = 2.148255e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      2.250e+00      2.250e+00     5.3852e+00     0.0000e+00     2.1483e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          4.0000e+00     0.0000e+00     1.0000e+01     

      1         0        10      2.185e+00      3.226e+00     5.2889e+00     4.8450e-01     2.1487e+01      6.178e-03     1.1101e-03     1.3501e-04     9.977447e-01          3.9425e+00     2.2553e-01     1.0007e+01     
      1         1        17      2.186e+00      3.230e+00     5.2899e+00     4.8564e-01     2.1486e+01      6.179e-03     6.2112e-07     3.1202e-09     9.977447e-01          3.9433e+00     2.2617e-01     1.0006e+01     

      2         0        24      2.067e+00      5.142e+00     5.1073e+00     1.4308e+00     2.1490e+01      2.456e-02     4.2216e-03     4.8668e-04     9.933646e-01          3.8348e+00     6.6654e-01     1.0017e+01     
      2         1        31      2.070e+00      5.153e+00     5.1109e+00     1.4346e+00     2.1485e+01      2.459e-02     8.4668e-06     5.4589e-08     9.933646e-01          3.8377e+00     6.6863e-01     1.0014e+01     

      3         0        38      1.962e+00      7.072e+00     4.9382e+00     2.3764e+00     2.1481e+01      5.135e-02     4.1921e-03     4.2871e-04     9.890300e-01          3.7364e+00     1.1081e+00     1.0020e+01     
      3         1        45      1.965e+00      7.080e+00     4.9413e+00     2.3792e+00     2.1476e+01      5.144e-02     1.7309e-05     1.5587e-07     9.890300e-01          3.7387e+00     1.1097e+00     1.0018e+01     

      4         0        52      1.865e+00      9.027e+00     4.7756e+00     3.3296e+00     2.1462e+01      8.738e-02     4.2662e-03     3.8067e-04     9.846762e-01          3.6426e+00     1.5538e+00     1.0018e+01     
      4         1        59      1.868e+00      9.033e+00     4.7781e+00     3.3315e+00     2.1457e+01      8.756e-02     1.4310e-05     1.2225e-07     9.846762e-01          3.6445e+00     1.5549e+00     1.0016e+01     

      5         0        66      1.774e+00      1.104e+01     4.6156e+00     4.3060e+00     2.1434e+01      1.344e-01     4.4992e-03     3.6808e-04     9.802200e-01          3.5511e+00     2.0107e+00     1.0012e+01     
      5         1        73      1.777e+00      1.104e+01     4.6184e+00     4.3073e+00     2.1429e+01      1.347e-01     6.2160e-06     3.0560e-08     9.802200e-01          3.5533e+00     2.0116e+00     1.0009e+01     

      6         0        80      1.688e+00      1.313e+01     4.4569e+00     5.3180e+00     2.1394e+01      1.950e-01     4.8744e-03     3.6198e-04     9.755953e-01          3.4614e+00     2.4847e+00     9.9996e+00     
      6         1        87      1.690e+00      1.313e+01     4.4601e+00     5.3186e+00     2.1389e+01      1.956e-01     4.8702e-06     1.5504e-08     9.755953e-01          3.4638e+00     2.4852e+00     9.9968e+00     

      7         0        94      1.605e+00      1.533e+01     4.2979e+00     6.3785e+00     2.1341e+01      2.732e-01     5.4079e-03     3.5256e-04     9.707283e-01          3.3724e+00     2.9817e+00     9.9808e+00     
      7         1       101      1.607e+00      1.533e+01     4.3013e+00     6.3781e+00     2.1335e+01      2.741e-01     3.7607e-06     9.5803e-09     9.707283e-01          3.3750e+00     2.9817e+00     9.9778e+00     

      8         0       108      1.524e+00      1.767e+01     4.1365e+00     7.5035e+00     2.1272e+01      3.747e-01     6.1655e-03     3.4301e-04     9.655257e-01          3.2830e+00     3.5091e+00     9.9541e+00     
      8         1       115      1.527e+00      1.767e+01     4.1403e+00     7.5018e+00     2.1265e+01      3.761e-01     1.6879e-06     5.4320e-09     9.655257e-01          3.2858e+00     3.5084e+00     9.9507e+00     

      9         0       122      1.445e+00      2.020e+01     3.9709e+00     8.7103e+00     2.1182e+01      5.086e-01     7.2183e-03     3.3040e-04     9.598771e-01          3.1921e+00     4.0749e+00     9.9176e+00     
      9         1       129      1.448e+00      2.019e+01     3.9752e+00     8.7067e+00     2.1174e+01      5.109e-01     7.1796e-06     6.3547e-09     9.598771e-01          3.1952e+00     4.0733e+00     9.9136e+00     

     10         0       136      1.367e+00      2.293e+01     3.7995e+00     1.0019e+01     2.1066e+01      6.887e-01     8.6754e-03     3.1122e-04     9.536448e-01          3.0989e+00     4.6883e+00     9.8684e+00     
     10         1       143      1.371e+00      2.292e+01     3.8044e+00     1.0012e+01     2.1057e+01      6.923e-01     1.3952e-05     7.1813e-09     9.536448e-01          3.1024e+00     4.6854e+00     9.8636e+00     

     11         0       150      1.290e+00      2.594e+01     3.6203e+00     1.1451e+01     2.0914e+01      9.367e-01     1.0716e-02     2.9632e-04     9.466467e-01          3.0021e+00     5.3598e+00     9.8023e+00     
     11         1       157      1.294e+00      2.592e+01     3.6262e+00     1.1441e+01     2.0903e+01      9.425e-01     9.4928e-06     8.4546e-09     9.466467e-01          3.0061e+00     5.3547e+00     9.7965e+00     

     12         0       164      1.213e+00      2.926e+01     3.4317e+00     1.3034e+01     2.0714e+01      1.288e+00     1.3608e-02     3.4077e-04     9.386380e-01          2.9006e+00     6.1009e+00     9.7133e+00     
     12         1       171      1.218e+00      2.923e+01     3.4391e+00     1.3016e+01     2.0700e+01      1.298e+00     1.4499e-05     2.6498e-08     9.386380e-01          2.9056e+00     6.0925e+00     9.7062e+00     

     13         0       178      1.136e+00      3.296e+01     3.2327e+00     1.4794e+01     2.0447e+01      1.803e+00     1.7749e-02     5.9567e-04     9.292786e-01          2.7933e+00     6.9237e+00     9.5924e+00     
     13         1       185      1.141e+00      3.290e+01     3.2419e+00     1.4765e+01     2.0429e+01      1.819e+00     3.9644e-05     7.0855e-08     9.292786e-01          2.7997e+00     6.9099e+00     9.5836e+00     

     14         0       192      1.059e+00      3.708e+01     3.0225e+00     1.6756e+01     2.0085e+01      2.587e+00     2.3772e-02     1.2612e-03     9.180701e-01          2.6792e+00     7.8388e+00     9.4264e+00     
     14         1       199      1.066e+00      3.698e+01     3.0342e+00     1.6708e+01     2.0062e+01      2.613e+00     5.7685e-05     2.9222e-07     9.180701e-01          2.6872e+00     7.8162e+00     9.4153e+00     

     15         0       206      9.830e-01      4.165e+01     2.8019e+00     1.8934e+01     1.9583e+01      3.832e+00     3.2639e-02     2.7177e-03     9.042477e-01          2.5566e+00     8.8514e+00     9.1942e+00     
     15         1       213      9.911e-01      4.148e+01     2.8172e+00     1.8854e+01     1.9554e+01      3.876e+00     1.1710e-04     1.1072e-06     9.042477e-01          2.5670e+00     8.8136e+00     9.1800e+00     

     16         0       220      9.087e-01      4.658e+01     2.5750e+00     2.1305e+01     1.8870e+01      5.906e+00     4.5528e-02     5.9325e-03     8.865866e-01          2.4237e+00     9.9473e+00     8.8624e+00     
     16         1       227      9.190e-01      4.629e+01     2.5950e+00     2.1170e+01     1.8834e+01      5.977e+00     2.6301e-04     4.3134e-06     8.865866e-01          2.4374e+00     9.8839e+00     8.8448e+00     

     17         0       234      8.389e-01      5.159e+01     2.3524e+00     2.3747e+01     1.7830e+01      9.535e+00     6.2935e-02     1.3431e-02     8.629915e-01          2.2779e+00     1.1065e+01     8.3763e+00     
     17         1       241      8.517e-01      5.110e+01     2.3770e+00     2.3521e+01     1.7791e+01      9.637e+00     5.8010e-04     1.7596e-05     8.629915e-01          2.2960e+00     1.0960e+01     8.3573e+00     

