# Kona Param. Contn. convergence history (opt tol = 1.732051e-07 | feas tol = 2.109502e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.7321e+00     0.0000e+00     2.1095e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     1.0000e+01     

      1         0        10     -7.068e-03      1.024e+00     1.7227e+00     4.9327e-01     2.1096e+01      1.211e-03     1.1653e-03     6.6830e-03     9.976404e-01          1.0118e+00     2.3596e-01     1.0002e+01     
      1         1        17     -7.023e-03      1.045e+00     1.7182e+00     4.9891e-01     2.1094e+01      1.234e-03     4.6988e-07     3.7198e-09     9.976404e-01          1.0355e+00     2.3655e-01     1.0002e+01     

      2         0        24     -5.739e-02      8.544e+00     1.6644e+00     4.1142e+00     2.1080e+01      8.517e-02     6.2812e-02     5.6024e-02     9.803872e-01          1.0985e+00     1.9688e+00     1.0009e+01     
      2         1        31     -5.495e-02      8.771e+00     1.6898e+00     4.1865e+00     2.1004e+01      8.947e-02     8.0268e-05     8.5023e-07     9.803872e-01          1.2929e+00     1.9868e+00     9.9712e+00     

      3         0        38     -9.720e-02      1.580e+01     1.6260e+00     7.6128e+00     2.0846e+01      3.107e-01     6.6953e-02     9.6543e-02     9.639745e-01          1.1811e+00     3.6449e+00     9.9057e+00     
      3         1        45     -9.491e-02      1.604e+01     1.7683e+00     7.6664e+00     2.0776e+01      3.288e-01     2.0775e-04     1.8408e-05     9.639745e-01          1.5159e+00     3.6388e+00     9.8709e+00     

      4         0        52     -1.377e-01      2.385e+01     1.6001e+00     1.1508e+01     2.0431e+01      8.268e-01     1.1238e-01     1.3197e-01     9.448573e-01          1.2678e+00     5.5012e+00     9.7173e+00     
      4         1        59     -1.347e-01      2.402e+01     1.9199e+00     1.1521e+01     2.0344e+01      8.781e-01     5.5783e-04     9.5714e-05     9.448573e-01          1.7207e+00     5.4688e+00     9.6795e+00     

      5         0        68     -1.838e-01      3.365e+01     1.5910e+00     1.6295e+01     1.9651e+01      2.149e+00     2.0377e-01     1.5623e-01     9.188476e-01          1.3665e+00     7.7818e+00     9.3803e+00     
      5         1        75     -1.790e-01      3.347e+01     2.0933e+00     1.6154e+01     1.9519e+01      2.302e+00     1.3685e-03     2.4069e-04     9.188476e-01          1.8785e+00     7.6742e+00     9.3209e+00     

      6         0        84     -2.389e-01      4.521e+01     1.5993e+00     2.2088e+01     1.8084e+01      6.111e+00     3.6085e-01     1.4631e-01     8.786401e-01          1.4581e+00     1.0515e+01     8.6837e+00     
      6         1        93     -2.316e-01      4.398e+01     2.1539e+00     2.1477e+01     1.7891e+01      6.558e+00     6.5633e-04     3.2446e-07     8.786401e-01          1.8915e+00     1.0196e+01     8.5919e+00     

      7         0       102     -3.081e-01      5.381e+01     1.4177e+00     2.6915e+01     1.5017e+01      1.836e+01     5.4524e-01     1.4114e-01     8.123641e-01          1.3005e+00     1.2672e+01     7.2735e+00     
      7         1       111     -3.058e-01      5.096e+01     1.9189e+00     2.5508e+01     1.4897e+01      1.892e+01     2.7000e-03     6.6182e-08     8.123641e-01          1.6418e+00     1.2033e+01     7.2142e+00     

      8         0       120     -4.549e-01      4.643e+01     1.1209e+00     2.5205e+01     9.5384e+00      4.984e+01     7.1894e-01     4.8166e-01     6.918061e-01          9.8578e-01     1.1410e+01     4.7035e+00     
