# Kona Param. Contn. convergence history (opt tol = 1.732051e-07 | feas tol = 2.195450e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1     -1.000e+00     -1.000e+00     1.7321e+00     0.0000e+00     2.1954e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+00     0.0000e+00     9.0000e+00     

      1         0        10     -1.007e+00      8.648e-02     1.7105e+00     4.9794e-01     2.1956e+01     -1.033e-03     1.1459e-03     1.1842e-04     9.977320e-01          1.0499e+00     2.0412e-01     9.0023e+00     
      1         1        19     -1.007e+00      8.896e-02     1.7104e+00     4.9905e-01     2.1954e+01     -1.033e-03     1.1219e-07     5.1669e-09     9.977320e-01          1.0500e+00     2.0462e-01     9.0019e+00     

      2         0        28     -1.056e+00      8.364e+00     1.6881e+00     4.2903e+00     2.1943e+01      7.321e-02     6.6542e-02     6.4751e-03     9.805275e-01          1.4293e+00     1.7593e+00     9.0139e+00     
      2         1        37     -1.052e+00      8.435e+00     1.6841e+00     4.3270e+00     2.1856e+01      7.605e-02     2.1040e-04     1.4554e-05     9.805275e-01          1.4252e+00     1.7796e+00     8.9930e+00     

      3         0        46     -1.091e+00      1.629e+01     1.8779e+00     7.9505e+00     2.1679e+01      3.013e-01     6.2434e-02     5.0192e-03     9.641982e-01          1.7744e+00     3.2728e+00     8.9648e+00     
      3         1        57     -1.084e+00      1.624e+01     1.8560e+00     7.9332e+00     2.1600e+01      3.154e-01     6.3723e-05     2.5513e-04     9.641982e-01          1.7489e+00     3.2793e+00     8.9432e+00     

      4         0        70     -1.115e+00      2.485e+01     2.2064e+00     1.1971e+01     2.1220e+01      8.289e-01     8.0954e-02     5.6479e-03     9.454239e-01          2.0914e+00     4.9672e+00     8.8612e+00     
      4         1        81     -1.109e+00      2.465e+01     2.1581e+00     1.1891e+01     2.1123e+01      8.724e-01     1.0143e-04     3.3368e-04     9.454239e-01          2.0468e+00     4.9523e+00     8.8323e+00     

      5         0        94     -1.132e+00      3.500e+01     2.6405e+00     1.6888e+01     2.0366e+01      2.170e+00     1.3710e-01     1.4694e-02     9.200917e-01          2.3804e+00     7.0775e+00     8.6419e+00     
      5         1       107     -1.122e+00      3.440e+01     2.5237e+00     1.6634e+01     2.0225e+01      2.312e+00     3.0014e-04     9.5584e-05     9.200917e-01          2.2861e+00     7.0066e+00     8.5899e+00     

      6         0       120     -1.122e+00      4.643e+01     3.0302e+00     2.2811e+01     1.8699e+01      6.094e+00     2.6016e-01     4.6293e-02     8.815980e-01          2.4994e+00     9.6856e+00     8.1411e+00     
      6         1       133     -1.107e+00      4.487e+01     2.7855e+00     2.2089e+01     1.8499e+01      6.530e+00     2.0644e-03     1.3937e-03     8.815980e-01          2.3297e+00     9.4395e+00     8.0446e+00     

      7         0       150     -1.046e+00      5.508e+01     3.0284e+00     2.8452e+01     1.5229e+01      1.948e+01     4.8941e-01     1.8434e-01     8.124405e-01          2.1454e+00     1.2211e+01     6.9148e+00     
      7         1       167     -1.037e+00      5.155e+01     2.6010e+00     2.6585e+01     1.5093e+01      2.017e+01     4.2093e-03     5.6364e-04     8.124405e-01          1.9379e+00     1.1517e+01     6.7928e+00     

      8         0       182     -8.897e-01      4.424e+01     1.8845e+00     2.6195e+01     9.0744e+00      5.514e+01     3.8279e-01     6.4634e-01     6.844860e-01          1.2228e+00     1.1096e+01     4.3721e+00     
      8         1       211     -1.030e+00      4.282e+01     1.6619e+00     2.4595e+01     9.7531e+00      5.124e+01     4.2255e-02     3.6567e-03     6.844860e-01          1.1958e+00     1.0697e+01     4.5935e+00     

      9         0       261     -1.135e+00      1.749e+01     4.3025e-01     1.5339e+01     3.4955e+00      8.141e+01     1.5556e+00     1.0553e+00     4.988845e-01          3.2524e-01     6.1077e+00     1.8514e+00     
      9         1       306     -1.271e+01      1.514e+01     3.3577e+00     1.6558e+01     5.2567e+00      7.973e+01     1.3860e+00     3.9254e-02     4.988845e-01          2.0298e+00     7.7039e+00     3.2693e+00     

     10         0       378     -1.492e+00      4.574e-01     4.2947e-01     7.1146e+00     5.2322e-01      6.496e+01     1.5533e+00     9.5042e-01     2.878268e-01          2.5884e-01     2.8569e+00     3.4016e-01     
     10         1       423     -1.704e+00      4.466e+00     3.1547e-01     7.9741e+00     1.5854e+00      6.198e+01     4.0123e-01     7.8480e-02     2.878268e-01          2.4919e-01     3.4515e+00     9.5099e-01     

     11         0       505     -2.016e+00     -2.676e+00     2.3337e-01     3.4800e+00     2.8564e-01      2.917e+01     3.7430e-01     5.5495e-01     1.194442e-01          1.9970e-01     1.3387e+00     1.9573e-01     
