# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 2.328167e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     2.3282e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     1.3610e+02     

      1         0         8      0.000e+00      2.024e+01     4.3606e-01     7.6278e-01     2.3282e+02      5.062e-03     4.3931e-04     5.8586e-02     9.995000e-01          2.7410e-01     6.8050e-01     1.3610e+02     
      1         1        17      7.414e-08      2.711e+01     6.1429e-01     9.6227e-01     2.3281e+02      6.779e-03     4.6307e-07     2.8059e-07     9.995000e-01          3.6062e-01     6.8081e-01     1.3610e+02     

      2         0        26      6.343e-06      1.038e+02     2.2328e+00     3.9125e+00     2.3280e+02      1.333e-01     7.6249e-03     3.0029e-01     9.974369e-01          1.4044e+00     3.4903e+00     1.3609e+02     
      2         1        35      5.137e-05      1.392e+02     3.1444e+00     4.9410e+00     2.3276e+02      1.785e-01     3.4261e-05     3.7945e-05     9.974369e-01          1.8472e+00     3.4935e+00     1.3607e+02     

      3         0        44      7.917e-04      2.559e+02     5.4679e+00     9.6250e+00     2.3261e+02      8.099e-01     3.7291e-02     7.3794e-01     9.936952e-01          3.4464e+00     8.5814e+00     1.3597e+02     
      3         1        53      1.866e-03      3.430e+02     7.7084e+00     1.2175e+01     2.3249e+02      1.085e+00     1.7871e-04     5.6488e-04     9.936952e-01          4.5289e+00     8.5787e+00     1.3590e+02     

      4         0        62      1.056e-02      4.307e+02     9.1188e+00     1.6105e+01     2.3205e+02      2.308e+00     1.1590e-01     1.2372e+00     9.893988e-01          5.7582e+00     1.4335e+01     1.3562e+02     
      4         1        71      1.464e-02      5.766e+02     1.2893e+01     2.0471e+01     2.3191e+02      3.088e+00     5.8528e-04     2.6747e-03     9.893988e-01          7.5629e+00     1.4313e+01     1.3553e+02     

      5         0        80      4.386e-02      5.837e+02     1.2260e+01     2.1644e+01     2.3125e+02      4.296e+00     2.3731e-01     1.6719e+00     9.856123e-01          7.7413e+00     1.9216e+01     1.3512e+02     
      5         1        89      4.845e-02      7.809e+02     1.7399e+01     2.7741e+01     2.3115e+02      5.724e+00     2.1149e-03     6.6104e-03     9.856123e-01          1.0175e+01     1.9198e+01     1.3506e+02     

      6         0       100      9.518e-02      6.983e+02     1.4597e+01     2.5686e+01     2.3049e+02      6.237e+00     3.6428e-01     1.9965e+00     9.827484e-01          9.2096e+00     2.2752e+01     1.3464e+02     
      6         1       109      9.852e-02      9.338e+02     2.0758e+01     3.3203e+01     2.3043e+02      8.273e+00     4.3107e-03     1.1263e-02     9.827484e-01          1.2101e+01     2.2749e+01     1.3461e+02     

      7         0       122      1.488e-01      7.773e+02     1.6180e+01     2.8408e+01     2.2989e+02      7.811e+00     4.6798e-01     2.2187e+00     9.807646e-01          1.0167e+01     2.5113e+01     1.3427e+02     
      7         1       131      1.506e-01      1.039e+03     2.3057e+01     3.6965e+01     2.2986e+02      1.033e+01     6.5056e-03     1.5553e-02     9.807646e-01          1.3408e+01     2.5122e+01     1.3426e+02     

      8         0       144      1.941e-01      8.289e+02     1.7222e+01     3.0162e+01     2.2947e+02      8.952e+00     5.4146e-01     2.3639e+00     9.794577e-01          1.0810e+01     2.6630e+01     1.3401e+02     
      8         1       153      1.945e-01      1.107e+03     2.4557e+01     3.9434e+01     2.2946e+02      1.181e+01     8.3226e-03     1.8824e-02     9.794577e-01          1.4253e+01     2.6642e+01     1.3400e+02     

      9         0       166      2.272e-01      8.619e+02     1.7887e+01     3.1269e+01     2.2919e+02      9.727e+00     5.9065e-01     2.4563e+00     9.786219e-01          1.1218e+01     2.7585e+01     1.3384e+02     
      9         1       175      2.271e-01      1.151e+03     2.5511e+01     4.1010e+01     2.2918e+02      1.281e+01     9.5595e-03     2.1126e-02     9.786219e-01          1.4788e+01     2.7595e+01     1.3383e+02     

     10         0       188      2.498e-01      8.825e+02     1.8304e+01     3.1960e+01     2.2901e+02      1.023e+01     6.2236e-01     2.5142e+00     9.780965e-01          1.1474e+01     2.8179e+01     1.3373e+02     
     10         1       197      2.495e-01      1.178e+03     2.6108e+01     4.1998e+01     2.2901e+02      1.346e+01     1.0370e-02     2.2659e-02     9.780965e-01          1.5121e+01     2.8186e+01     1.3373e+02     

     11         0       210      2.727e-01      9.021e+02     1.8697e+01     3.2609e+01     2.2884e+02      1.072e+01     6.5258e-01     2.5691e+00     9.775965e-01          1.1715e+01     2.8736e+01     1.3362e+02     
     11         1       221      2.643e-01      1.201e+03     2.6599e+01     4.2888e+01     2.2887e+02      1.410e+01     1.7038e-02     5.6273e-03     9.775965e-01          1.5374e+01     2.8655e+01     1.3364e+02     

     12         0       234      2.886e-01      9.193e+02     1.9027e+01     3.3182e+01     2.2869e+02      1.123e+01     6.8368e-01     2.6242e+00     9.770965e-01          1.1904e+01     2.9199e+01     1.3354e+02     
     12         1       245      2.891e-01      1.227e+03     2.7149e+01     4.3817e+01     2.2869e+02      1.475e+01     1.6547e-02     4.5668e-03     9.770965e-01          1.5680e+01     2.9192e+01     1.3353e+02     

     13         0       258      3.150e-01      9.384e+02     1.9405e+01     3.3809e+01     2.2851e+02      1.175e+01     7.1504e-01     2.6788e+00     9.765965e-01          1.2135e+01     2.9730e+01     1.3342e+02     
     13         1       269      3.138e-01      1.252e+03     2.7708e+01     4.4754e+01     2.2852e+02      1.542e+01     1.8135e-02     5.1852e-03     9.765965e-01          1.5988e+01     2.9733e+01     1.3343e+02     

     14         0       282      3.413e-01      9.576e+02     1.9791e+01     3.4439e+01     2.2833e+02      1.228e+01     7.4765e-01     2.7333e+00     9.760965e-01          1.2369e+01     3.0266e+01     1.3331e+02     
     14         1       293      3.405e-01      1.278e+03     2.8263e+01     4.5688e+01     2.2834e+02      1.610e+01     1.9176e-02     5.3876e-03     9.760965e-01          1.6294e+01     3.0267e+01     1.3332e+02     

     15         0       306      3.697e-01      9.768e+02     2.0173e+01     3.5061e+01     2.2815e+02      1.282e+01     7.8101e-01     2.7876e+00     9.755965e-01          1.2601e+01     3.0793e+01     1.3320e+02     
     15         1       317      3.686e-01      1.303e+03     2.8816e+01     4.6622e+01     2.2815e+02      1.680e+01     2.0475e-02     5.7499e-03     9.755965e-01          1.6597e+01     3.0795e+01     1.3320e+02     

     16         0       330      3.996e-01      9.959e+02     2.0555e+01     3.5679e+01     2.2796e+02      1.338e+01     8.1524e-01     2.8416e+00     9.750965e-01          1.2832e+01     3.1315e+01     1.3309e+02     
     16         1       341      3.984e-01      1.328e+03     2.9367e+01     4.7555e+01     2.2797e+02      1.752e+01     2.1750e-02     6.0689e-03     9.750965e-01          1.6899e+01     3.1316e+01     1.3309e+02     

     17         0       354      4.312e-01      1.015e+03     2.0934e+01     3.6290e+01     2.2777e+02      1.395e+01     8.5032e-01     2.8956e+00     9.745965e-01          1.3062e+01     3.1830e+01     1.3297e+02     
     17         1       365      4.299e-01      1.354e+03     2.9916e+01     4.8487e+01     2.2778e+02      1.825e+01     2.3107e-02     6.4206e-03     9.745965e-01          1.7198e+01     3.1907e+01     1.3297e+02     

     18         0       378      4.646e-01      1.034e+03     2.1312e+01     3.6896e+01     2.2758e+02      1.453e+01     8.8626e-01     2.9493e+00     9.740965e-01          1.3289e+01     3.2339e+01     1.3285e+02     
     18         1       389      4.632e-01      1.379e+03     3.0463e+01     4.9419e+01     2.2758e+02      1.900e+01     2.4508e-02     6.7752e-03     9.740965e-01          1.7496e+01     3.2624e+01     1.3285e+02     

     19         0       402      4.999e-01      1.053e+03     2.1688e+01     3.7496e+01     2.2738e+02      1.513e+01     9.2307e-01     3.0028e+00     9.735965e-01          1.3516e+01     3.2842e+01     1.3273e+02     
     19         1       413      4.983e-01      1.404e+03     3.1008e+01     5.0350e+01     2.2739e+02      1.976e+01     2.5968e-02     7.1449e-03     9.735965e-01          1.7791e+01     3.3347e+01     1.3273e+02     

     20         0       426      5.370e-01      1.072e+03     2.2063e+01     3.8090e+01     2.2718e+02      1.574e+01     9.6076e-01     3.0562e+00     9.730965e-01          1.3741e+01     3.3339e+01     1.3261e+02     
     20         1       437      5.352e-01      1.429e+03     3.1550e+01     5.1282e+01     2.2719e+02      2.054e+01     2.7483e-02     7.5248e-03     9.730965e-01          1.8084e+01     3.4075e+01     1.3261e+02     

     21         0       450      5.761e-01      1.090e+03     2.2436e+01     3.8678e+01     2.2698e+02      1.637e+01     9.9935e-01     3.1093e+00     9.725965e-01          1.3964e+01     3.3829e+01     1.3249e+02     
     21         1       461      5.741e-01      1.453e+03     3.2091e+01     5.2213e+01     2.2698e+02      2.134e+01     2.9056e-02     7.9171e-03     9.725965e-01          1.8375e+01     3.4809e+01     1.3249e+02     

     22         0       474      6.171e-01      1.109e+03     2.2808e+01     3.9261e+01     2.2677e+02      1.701e+01     1.0388e+00     3.1623e+00     9.720965e-01          1.4186e+01     3.4313e+01     1.3236e+02     
     22         1       485      6.150e-01      1.478e+03     3.2629e+01     5.3144e+01     2.2678e+02      2.215e+01     3.0686e-02     8.3208e-03     9.720965e-01          1.8664e+01     3.5549e+01     1.3236e+02     

     23         0       498      6.603e-01      1.128e+03     2.3178e+01     3.9837e+01     2.2656e+02      1.766e+01     1.0793e+00     3.2150e+00     9.715965e-01          1.4407e+01     3.4791e+01     1.3223e+02     
     23         1       509      6.580e-01      1.502e+03     3.3165e+01     5.4075e+01     2.2657e+02      2.298e+01     3.2376e-02     8.7366e-03     9.715965e-01          1.8950e+01     3.6295e+01     1.3224e+02     

     24         0       522      7.055e-01      1.146e+03     2.3546e+01     4.0407e+01     2.2635e+02      1.833e+01     1.1206e+00     3.2676e+00     9.710965e-01          1.4626e+01     3.5262e+01     1.3210e+02     
     24         1       535      7.546e-01      1.524e+03     3.3578e+01     5.4931e+01     2.2624e+02      2.382e+01     1.8370e-03     1.8802e-03     9.710965e-01          1.9178e+01     3.6999e+01     1.3203e+02     

     25         0       548      8.061e-01      1.163e+03     2.3812e+01     4.0909e+01     2.2602e+02      1.901e+01     1.1624e+00     3.3180e+00     9.705965e-01          1.4797e+01     3.5647e+01     1.3189e+02     
     25         1       561      8.055e-01      1.549e+03     3.4105e+01     5.5857e+01     2.2602e+02      2.468e+01     2.2124e-03     2.0357e-03     9.705965e-01          1.9459e+01     3.7752e+01     1.3189e+02     

     26         0       574      8.596e-01      1.181e+03     2.4173e+01     4.1464e+01     2.2579e+02      1.971e+01     1.2049e+00     3.3700e+00     9.700965e-01          1.5012e+01     3.6101e+01     1.3175e+02     
     26         1       587      8.594e-01      1.573e+03     3.4627e+01     5.6785e+01     2.2579e+02      2.556e+01     2.3812e-03     2.2041e-03     9.700965e-01          1.9736e+01     3.8513e+01     1.3176e+02     

     27         0       600      9.162e-01      1.199e+03     2.4531e+01     4.2013e+01     2.2556e+02      2.042e+01     1.2490e+00     3.4218e+00     9.695965e-01          1.5224e+01     3.6548e+01     1.3162e+02     
     27         1       613      9.159e-01      1.597e+03     3.5148e+01     5.7713e+01     2.2557e+02      2.646e+01     2.5702e-03     2.3827e-03     9.695965e-01          2.0011e+01     3.9280e+01     1.3162e+02     

     28         0       628      9.748e-01      1.218e+03     2.4888e+01     4.2555e+01     2.2534e+02      2.114e+01     1.2945e+00     3.4734e+00     9.690965e-01          1.5434e+01     3.6987e+01     1.3148e+02     
     28         1       641      9.751e-01      1.620e+03     3.5666e+01     5.8641e+01     2.2533e+02      2.737e+01     2.7737e-03     2.5734e-03     9.690965e-01          2.0284e+01     4.0054e+01     1.3148e+02     

     29         0       656      1.037e+00      1.236e+03     2.5243e+01     4.3092e+01     2.2510e+02      2.189e+01     1.3406e+00     3.5247e+00     9.685965e-01          1.5644e+01     3.7421e+01     1.3134e+02     
     29         1       669      1.037e+00      1.644e+03     3.6181e+01     5.9571e+01     2.2510e+02      2.830e+01     2.9892e-03     2.7745e-03     9.685965e-01          2.0555e+01     4.0835e+01     1.3133e+02     

     30         0       684      1.101e+00      1.254e+03     2.5596e+01     4.3622e+01     2.2486e+02      2.264e+01     1.3877e+00     3.5757e+00     9.680965e-01          1.5851e+01     3.7847e+01     1.3119e+02     
     30         1       697      1.101e+00      1.668e+03     3.6694e+01     6.0501e+01     2.2486e+02      2.925e+01     3.2175e-03     2.9874e-03     9.680965e-01          2.0823e+01     4.1622e+01     1.3119e+02     

     31         0       712      1.169e+00      1.272e+03     2.5947e+01     4.4146e+01     2.2462e+02      2.341e+01     1.4359e+00     3.6265e+00     9.675965e-01          1.6057e+01     3.8267e+01     1.3105e+02     
     31         1       725      1.169e+00      1.691e+03     3.7204e+01     6.1432e+01     2.2462e+02      3.021e+01     3.4599e-03     3.2127e-03     9.675965e-01          2.1089e+01     4.2417e+01     1.3105e+02     

     32         0       740      1.239e+00      1.290e+03     2.6296e+01     4.4664e+01     2.2438e+02      2.420e+01     1.4851e+00     3.6771e+00     9.670965e-01          1.6262e+01     3.8681e+01     1.3090e+02     
     32         1       753      1.239e+00      1.715e+03     3.7712e+01     6.2365e+01     2.2438e+02      3.119e+01     3.7170e-03     3.4507e-03     9.670965e-01          2.1353e+01     4.3219e+01     1.3090e+02     

     33         0       768      1.312e+00      1.307e+03     2.6643e+01     4.5175e+01     2.2413e+02      2.500e+01     1.5353e+00     3.7275e+00     9.665965e-01          1.6465e+01     3.9087e+01     1.3075e+02     
     33         1       781      1.313e+00      1.738e+03     3.8217e+01     6.3299e+01     2.2413e+02      3.219e+01     3.9897e-03     3.7021e-03     9.665965e-01          2.1614e+01     4.4028e+01     1.3075e+02     

     34         0       796      1.389e+00      1.325e+03     2.6988e+01     4.5680e+01     2.2388e+02      2.582e+01     1.5866e+00     3.7776e+00     9.660965e-01          1.6667e+01     3.9487e+01     1.3060e+02     
     34         1       809      1.389e+00      1.761e+03     3.8719e+01     6.4234e+01     2.2388e+02      3.321e+01     4.2785e-03     3.9673e-03     9.660965e-01          2.1873e+01     4.4845e+01     1.3060e+02     

     35         0       824      1.468e+00      1.343e+03     2.7332e+01     4.6180e+01     2.2363e+02      2.666e+01     1.6390e+00     3.8274e+00     9.655965e-01          1.6866e+01     3.9880e+01     1.3045e+02     
     35         1       837      1.468e+00      1.784e+03     3.9219e+01     6.5172e+01     2.2363e+02      3.424e+01     4.5844e-03     4.2467e-03     9.655965e-01          2.2130e+01     4.5669e+01     1.3045e+02     

     36         0       852      1.551e+00      1.360e+03     2.7674e+01     4.6672e+01     2.2337e+02      2.751e+01     1.6925e+00     3.8770e+00     9.650965e-01          1.7065e+01     4.0267e+01     1.3029e+02     
     36         1       865      1.551e+00      1.807e+03     3.9716e+01     6.6112e+01     2.2337e+02      3.530e+01     4.9080e-03     4.5410e-03     9.650965e-01          2.2384e+01     4.6502e+01     1.3029e+02     

     37         0       880      1.637e+00      1.378e+03     2.8013e+01     4.7159e+01     2.2311e+02      2.838e+01     1.7471e+00     3.9263e+00     9.645965e-01          1.7262e+01     4.0646e+01     1.3014e+02     
     37         1       893      1.637e+00      1.829e+03     4.0210e+01     6.7053e+01     2.2311e+02      3.637e+01     5.2501e-03     4.8507e-03     9.645965e-01          2.2637e+01     4.7343e+01     1.3014e+02     

     38         0       908      1.726e+00      1.395e+03     2.8351e+01     4.7640e+01     2.2285e+02      2.926e+01     1.8028e+00     3.9753e+00     9.640965e-01          1.7457e+01     4.1019e+01     1.2998e+02     
     38         1       921      1.726e+00      1.852e+03     4.0702e+01     6.7998e+01     2.2285e+02      3.746e+01     5.6115e-03     5.1763e-03     9.640965e-01          2.2887e+01     4.8192e+01     1.2998e+02     

     39         0       936      1.818e+00      1.413e+03     2.8688e+01     4.8114e+01     2.2258e+02      3.016e+01     1.8597e+00     4.0241e+00     9.635965e-01          1.7651e+01     4.1385e+01     1.2982e+02     
     39         1       949      1.819e+00      1.874e+03     4.1191e+01     6.8945e+01     2.2258e+02      3.857e+01     5.9932e-03     5.5184e-03     9.635965e-01          2.3134e+01     4.9049e+01     1.2982e+02     

     40         0       964      1.915e+00      1.430e+03     2.9022e+01     4.8582e+01     2.2232e+02      3.108e+01     1.9178e+00     4.0726e+00     9.630965e-01          1.7843e+01     4.1745e+01     1.2966e+02     
     40         1       977      1.915e+00      1.896e+03     4.1678e+01     6.9895e+01     2.2232e+02      3.969e+01     6.3959e-03     5.8775e-03     9.630965e-01          2.3380e+01     4.9915e+01     1.2966e+02     

     41         0       992      2.014e+00      1.447e+03     2.9354e+01     4.9044e+01     2.2205e+02      3.202e+01     1.9771e+00     4.1208e+00     9.625965e-01          1.8034e+01     4.2097e+01     1.2950e+02     
     41         1      1005      2.014e+00      1.919e+03     4.2161e+01     7.0848e+01     2.2204e+02      4.084e+01     6.8205e-03     6.2542e-03     9.625965e-01          2.3623e+01     5.0790e+01     1.2950e+02     

     42         0      1020      2.117e+00      1.464e+03     2.9685e+01     4.9500e+01     2.2177e+02      3.297e+01     2.0376e+00     4.1687e+00     9.620965e-01          1.8223e+01     4.2443e+01     1.2934e+02     
     42         1      1033      2.118e+00      1.941e+03     4.2642e+01     7.1804e+01     2.2177e+02      4.201e+01     7.2680e-03     6.6492e-03     9.620965e-01          2.3864e+01     5.1674e+01     1.2934e+02     

     43         0      1048      2.224e+00      1.481e+03     3.0014e+01     4.9950e+01     2.2149e+02      3.394e+01     2.0994e+00     4.2163e+00     9.615965e-01          1.8411e+01     4.2783e+01     1.2918e+02     
     43         1      1061      2.224e+00      1.962e+03     4.3120e+01     7.2765e+01     2.2149e+02      4.319e+01     7.7392e-03     7.0629e-03     9.615965e-01          2.4102e+01     5.2568e+01     1.2918e+02     

     44         0      1076      2.335e+00      1.498e+03     3.0341e+01     5.0393e+01     2.2121e+02      3.493e+01     2.1624e+00     4.2637e+00     9.610965e-01          1.8597e+01     4.3116e+01     1.2901e+02     
     44         1      1089      2.335e+00      1.984e+03     4.3596e+01     7.3729e+01     2.2121e+02      4.439e+01     8.2352e-03     7.4962e-03     9.610965e-01          2.4339e+01     5.3471e+01     1.2901e+02     

     45         0      1104      2.449e+00      1.515e+03     3.0666e+01     5.0831e+01     2.2093e+02      3.594e+01     2.2266e+00     4.3107e+00     9.605965e-01          1.8782e+01     4.3442e+01     1.2884e+02     
     45         1      1117      2.449e+00      2.006e+03     4.4068e+01     7.4697e+01     2.2093e+02      4.562e+01     8.7569e-03     7.9494e-03     9.605965e-01          2.4573e+01     5.4384e+01     1.2884e+02     

     46         0      1132      2.567e+00      1.531e+03     3.0989e+01     5.1262e+01     2.2065e+02      3.697e+01     2.2922e+00     4.3575e+00     9.600965e-01          1.8966e+01     4.3761e+01     1.2868e+02     
     46         1      1145      2.568e+00      2.027e+03     4.4538e+01     7.5670e+01     2.2065e+02      4.686e+01     9.3053e-03     8.4234e-03     9.600965e-01          2.4805e+01     5.5306e+01     1.2868e+02     

     47         0      1160      2.690e+00      1.548e+03     3.1310e+01     5.1688e+01     2.2036e+02      3.802e+01     2.3592e+00     4.4039e+00     9.595965e-01          1.9147e+01     4.4074e+01     1.2851e+02     
     47         1      1173      2.690e+00      2.048e+03     4.5005e+01     7.6647e+01     2.2036e+02      4.813e+01     9.8815e-03     8.9187e-03     9.595965e-01          2.5035e+01     5.6239e+01     1.2851e+02     

     48         0      1188      2.816e+00      1.565e+03     3.1630e+01     5.2108e+01     2.2007e+02      3.908e+01     2.4274e+00     4.4501e+00     9.590965e-01          1.9328e+01     4.4381e+01     1.2834e+02     
     48         1      1201      2.816e+00      2.069e+03     4.5470e+01     7.7630e+01     2.2007e+02      4.941e+01     1.0486e-02     9.4360e-03     9.590965e-01          2.5262e+01     5.7183e+01     1.2834e+02     

     49         0      1216      2.946e+00      1.581e+03     3.1948e+01     5.2521e+01     2.1977e+02      4.017e+01     2.4971e+00     4.4959e+00     9.585965e-01          1.9507e+01     4.4681e+01     1.2816e+02     
     49         1      1229      2.946e+00      2.090e+03     4.5931e+01     7.8618e+01     2.1977e+02      5.072e+01     1.1121e-02     9.9760e-03     9.585965e-01          2.5487e+01     5.8137e+01     1.2816e+02     

     50         0      1244      3.080e+00      1.597e+03     3.2263e+01     5.2929e+01     2.1948e+02      4.128e+01     2.5681e+00     4.5414e+00     9.580965e-01          1.9685e+01     4.4975e+01     1.2799e+02     
     50         1      1257      3.080e+00      2.111e+03     4.6390e+01     7.9611e+01     2.1948e+02      5.204e+01     1.1787e-02     1.0539e-02     9.580965e-01          2.5711e+01     5.9102e+01     1.2799e+02     

     51         0      1272      3.219e+00      1.614e+03     3.2578e+01     5.3331e+01     2.1918e+02      4.240e+01     2.6406e+00     4.5866e+00     9.575965e-01          1.9861e+01     4.5262e+01     1.2782e+02     
     51         1      1285      3.219e+00      2.132e+03     4.6846e+01     8.0610e+01     2.1918e+02      5.339e+01     1.2485e-02     1.1127e-02     9.575965e-01          2.5932e+01     6.0078e+01     1.2782e+02     

     52         0      1300      3.361e+00      1.630e+03     3.2890e+01     5.3727e+01     2.1888e+02      4.355e+01     2.7145e+00     4.6314e+00     9.570965e-01          2.0036e+01     4.5543e+01     1.2764e+02     
     52         1      1313      3.361e+00      2.152e+03     4.7299e+01     8.1616e+01     2.1888e+02      5.476e+01     1.3216e-02     1.1739e-02     9.570965e-01          2.6150e+01     6.1065e+01     1.2764e+02     

     53         0      1328      3.508e+00      1.646e+03     3.3200e+01     5.4118e+01     2.1857e+02      4.472e+01     2.7899e+00     4.6759e+00     9.565965e-01          2.0209e+01     4.5818e+01     1.2746e+02     
     53         1      1341      3.508e+00      2.173e+03     4.7749e+01     8.2628e+01     2.1857e+02      5.615e+01     1.3981e-02     1.2377e-02     9.565965e-01          2.6367e+01     6.2064e+01     1.2746e+02     

     54         0      1356      3.660e+00      1.662e+03     3.3509e+01     5.4502e+01     2.1826e+02      4.591e+01     2.8669e+00     4.7201e+00     9.560965e-01          2.0381e+01     4.6086e+01     1.2729e+02     
     54         1      1369      3.660e+00      2.193e+03     4.8196e+01     8.3647e+01     2.1826e+02      5.757e+01     1.4782e-02     1.3040e-02     9.560965e-01          2.6582e+01     6.3075e+01     1.2729e+02     

     55         0      1384      3.816e+00      1.678e+03     3.3816e+01     5.4881e+01     2.1795e+02      4.713e+01     2.9453e+00     4.7640e+00     9.555965e-01          2.0552e+01     4.6348e+01     1.2711e+02     
     55         1      1397      3.816e+00      2.213e+03     4.8641e+01     8.4673e+01     2.1795e+02      5.900e+01     1.5619e-02     1.3731e-02     9.555965e-01          2.6794e+01     6.4099e+01     1.2711e+02     

     56         0      1412      3.976e+00      1.694e+03     3.4121e+01     5.5254e+01     2.1764e+02      4.836e+01     3.0254e+00     4.8074e+00     9.550965e-01          2.0721e+01     4.6604e+01     1.2693e+02     
     56         1      1425      3.976e+00      2.233e+03     4.9082e+01     8.5706e+01     2.1764e+02      6.046e+01     1.6495e-02     1.4450e-02     9.550965e-01          2.7005e+01     6.5134e+01     1.2693e+02     

     57         0      1440      4.141e+00      1.710e+03     3.4424e+01     5.5622e+01     2.1733e+02      4.962e+01     3.1070e+00     4.8506e+00     9.545965e-01          2.0889e+01     4.6854e+01     1.2675e+02     
     57         1      1453      4.141e+00      2.253e+03     4.9521e+01     8.6748e+01     2.1733e+02      6.195e+01     1.7409e-02     1.5197e-02     9.545965e-01          2.7213e+01     6.6183e+01     1.2675e+02     

     58         0      1470      4.309e+00      1.725e+03     3.4728e+01     5.5985e+01     2.1701e+02      5.090e+01     3.1900e+00     4.8934e+00     9.540965e-01          2.1061e+01     4.7098e+01     1.2656e+02     
