# Kona Param. Contn. convergence history (opt tol = 0.000000e+00 | feas tol = 2.328167e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     0.0000e+00     0.0000e+00     2.3282e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          0.0000e+00     0.0000e+00     1.3610e+02     

      1         0         8      0.000e+00      2.024e+01     4.3606e-01     7.6278e-01     2.3282e+02      5.062e-03     4.3931e-04     5.8586e-02     9.995000e-01          2.7410e-01     6.8050e-01     1.3610e+02     
      1         1        25      3.278e-08      2.706e+01     6.1369e-01     9.6224e-01     2.3282e+02      6.779e-03     2.3577e-04     5.1256e-04     9.995000e-01          3.6024e-01     6.8081e-01     1.3610e+02     

      2         0       147      1.245e-05      1.038e+02     2.2329e+00     3.9126e+00     2.3280e+02      1.333e-01     8.7289e-03     3.0031e-01     9.974369e-01          1.4047e+00     3.4904e+00     1.3609e+02     
      2         1       196      5.195e-05      1.392e+02     3.1444e+00     4.9410e+00     2.3277e+02      1.785e-01     2.5841e-03     4.8976e-04     9.974369e-01          1.8480e+00     3.4934e+00     1.3607e+02     

      3         0       326      7.498e-04      2.559e+02     5.4682e+00     9.6247e+00     2.3262e+02      8.100e-01     3.8488e-02     7.3796e-01     9.936952e-01          3.4471e+00     8.5809e+00     1.3597e+02     
      3         1       383      1.900e-03      3.430e+02     7.7061e+00     1.2173e+01     2.3250e+02      1.085e+00     6.0942e-03     1.5366e-03     9.936952e-01          4.5307e+00     8.5752e+00     1.3589e+02     

      4         0       525      1.042e-02      4.306e+02     9.1149e+00     1.6102e+01     2.3206e+02      2.308e+00     1.1694e-01     1.2371e+00     9.893994e-01          5.7535e+00     1.4330e+01     1.3562e+02     
      4         1       570      1.405e-02      5.763e+02     1.2883e+01     2.0462e+01     2.3193e+02      3.088e+00     1.1138e-02     3.5529e-03     9.893994e-01          7.5633e+00     1.4299e+01     1.3554e+02     

      5         0       635      4.157e-02      5.834e+02     1.2252e+01     2.1636e+01     2.3128e+02      4.295e+00     2.3922e-01     1.6719e+00     9.856139e-01          7.7324e+00     1.9203e+01     1.3513e+02     
      5         1       680      4.957e-02      7.801e+02     1.7362e+01     2.7717e+01     2.3117e+02      5.723e+00     1.5581e-02     4.5484e-03     9.856139e-01          1.0170e+01     1.9162e+01     1.3506e+02     

      6         0       749      9.618e-02      6.977e+02     1.4556e+01     2.5661e+01     2.3051e+02      6.235e+00     3.6534e-01     1.9963e+00     9.827506e-01          9.1766e+00     2.2715e+01     1.3464e+02     
      6         1       786      1.020e-01      9.319e+02     2.0687e+01     3.3159e+01     2.3044e+02      8.271e+00     1.4469e-02     5.8531e-03     9.827506e-01          1.2080e+01     2.2685e+01     1.3460e+02     

      7         0       855      1.530e-01      7.755e+02     1.6120e+01     2.8358e+01     2.2989e+02      7.809e+00     4.6821e-01     2.2184e+00     9.807664e-01          1.0146e+01     2.5049e+01     1.3426e+02     
      7         1       880      1.527e-01      1.037e+03     2.2974e+01     3.6908e+01     2.2989e+02      1.032e+01     1.6657e-02     6.7818e-03     9.807664e-01          1.3380e+01     2.5036e+01     1.3426e+02     

      8         0       949      1.965e-01      8.270e+02     1.7153e+01     3.0096e+01     2.2949e+02      8.950e+00     5.4017e-01     2.3639e+00     9.794594e-01          1.0780e+01     2.6545e+01     1.3401e+02     
      8         1       974      1.966e-01      1.105e+03     2.4461e+01     3.9366e+01     2.2949e+02      1.180e+01     1.9110e-02     8.9518e-03     9.794594e-01          1.4220e+01     2.6539e+01     1.3401e+02     

      9         0      1043      2.294e-01      8.596e+02     1.7807e+01     3.1190e+01     2.2922e+02      9.724e+00     5.8869e-01     2.4564e+00     9.786234e-01          1.1182e+01     2.7482e+01     1.3384e+02     
      9         1      1068      2.285e-01      1.148e+03     2.5398e+01     4.0934e+01     2.2922e+02      1.281e+01     2.0358e-02     1.4239e-02     9.786234e-01          1.4747e+01     2.7480e+01     1.3384e+02     

     10         0      1137      2.512e-01      8.799e+02     1.8210e+01     3.1871e+01     2.2905e+02      1.023e+01     6.2018e-01     2.5143e+00     9.780979e-01          1.1428e+01     2.8064e+01     1.3373e+02     
     10         1      1166      2.530e-01      1.175e+03     2.5992e+01     4.1918e+01     2.2905e+02      1.346e+01     2.3188e-02     1.0644e-02     9.780979e-01          1.5081e+01     2.8064e+01     1.3373e+02     

     11         0      1235      2.763e-01      8.995e+02     1.8601e+01     3.2515e+01     2.2888e+02      1.072e+01     6.5007e-01     2.5693e+00     9.775979e-01          1.1669e+01     2.8614e+01     1.3362e+02     
     11         1      1268      2.732e-01      1.201e+03     2.6552e+01     4.2853e+01     2.2887e+02      1.410e+01     2.0432e-02     7.2749e-03     9.775979e-01          1.5390e+01     2.8611e+01     1.3362e+02     

     12         0      1337      2.979e-01      9.185e+02     1.8987e+01     3.3152e+01     2.2869e+02      1.123e+01     6.8131e-01     2.6239e+00     9.770979e-01          1.1903e+01     2.9155e+01     1.3351e+02     
     12         1      1358      2.982e-01      1.226e+03     2.7108e+01     4.3787e+01     2.2870e+02      1.475e+01     2.1847e-02     1.0565e-02     9.770979e-01          1.5702e+01     2.9155e+01     1.3351e+02     

     13         0      1427      3.246e-01      9.378e+02     1.9370e+01     3.3785e+01     2.2852e+02      1.174e+01     7.1275e-01     2.6786e+00     9.765979e-01          1.2139e+01     2.9693e+01     1.3340e+02     
     13         1      1452      3.238e-01      1.252e+03     2.7667e+01     4.4720e+01     2.2853e+02      1.542e+01     2.3328e-02     1.4909e-02     9.765979e-01          1.6012e+01     2.9693e+01     1.3340e+02     

     14         0      1521      3.516e-01      9.572e+02     1.9758e+01     3.4412e+01     2.2834e+02      1.227e+01     7.4493e-01     2.7331e+00     9.760979e-01          1.2375e+01     3.0224e+01     1.3329e+02     
     14         1      1550      3.481e-01      1.277e+03     2.8222e+01     4.5652e+01     2.2834e+02      1.610e+01     2.4091e-02     9.1813e-03     9.760979e-01          1.6316e+01     3.0223e+01     1.3329e+02     

     15         0      1623      3.776e-01      9.762e+02     2.0139e+01     3.5034e+01     2.2816e+02      1.282e+01     7.7833e-01     2.7873e+00     9.755979e-01          1.2604e+01     3.0749e+01     1.3317e+02     
     15         1      1648      3.758e-01      1.303e+03     2.8777e+01     4.6583e+01     2.2816e+02      1.680e+01     2.5609e-02     1.1209e-02     9.755979e-01          1.6622e+01     3.0749e+01     1.3318e+02     

     16         0      1717      4.071e-01      9.954e+02     2.0523e+01     3.5650e+01     2.2798e+02      1.337e+01     8.1218e-01     2.8414e+00     9.750979e-01          1.2837e+01     3.1268e+01     1.3306e+02     
     16         1      1750      4.179e-01      1.327e+03     2.9301e+01     4.7511e+01     2.2795e+02      1.752e+01     2.3422e-02     8.9485e-03     9.750979e-01          1.6917e+01     3.1265e+01     1.3305e+02     

     17         0      1823      4.514e-01      1.014e+03     2.0877e+01     3.6256e+01     2.2776e+02      1.395e+01     8.4832e-01     2.8949e+00     9.745979e-01          1.3059e+01     3.1778e+01     1.3293e+02     
     17         1      1848      4.494e-01      1.353e+03     2.9854e+01     4.8441e+01     2.2776e+02      1.825e+01     2.4663e-02     1.1258e-02     9.745979e-01          1.7219e+01     3.1872e+01     1.3293e+02     

     18         0      1917      4.846e-01      1.033e+03     2.1260e+01     3.6860e+01     2.2757e+02      1.453e+01     8.8383e-01     2.9487e+00     9.740979e-01          1.3289e+01     3.2284e+01     1.3281e+02     
     18         1      1942      4.835e-01      1.378e+03     3.0394e+01     4.9370e+01     2.2757e+02      1.899e+01     2.5865e-02     1.4932e-02     9.740979e-01          1.7515e+01     3.2586e+01     1.3281e+02     

     19         0      2011      5.208e-01      1.052e+03     2.1629e+01     3.7458e+01     2.2737e+02      1.513e+01     9.2053e-01     3.0022e+00     9.735979e-01          1.3512e+01     3.2784e+01     1.3269e+02     
     19         1      2040      5.231e-01      1.403e+03     3.0937e+01     5.0298e+01     2.2737e+02      1.976e+01     2.8077e-02     1.2000e-02     9.735979e-01          1.7813e+01     3.3306e+01     1.3269e+02     

     20         0      2113      5.626e-01      1.071e+03     2.2004e+01     3.8050e+01     2.2717e+02      1.574e+01     9.5794e-01     3.0556e+00     9.730979e-01          1.3739e+01     3.3278e+01     1.3256e+02     
     20         1      2146      5.607e-01      1.427e+03     3.1470e+01     5.1225e+01     2.2715e+02      2.054e+01     2.5853e-02     1.0442e-02     9.730979e-01          1.8101e+01     3.4031e+01     1.3255e+02     

     21         0      2215      6.024e-01      1.089e+03     2.2367e+01     3.8635e+01     2.2695e+02      1.636e+01     9.9716e-01     3.1084e+00     9.725979e-01          1.3958e+01     3.3762e+01     1.3243e+02     
     21         1      2240      6.004e-01      1.452e+03     3.2012e+01     5.2153e+01     2.2695e+02      2.133e+01     2.7204e-02     1.1880e-02     9.725979e-01          1.8395e+01     3.4762e+01     1.3243e+02     

     22         0      2309      6.442e-01      1.108e+03     2.2742e+01     3.9215e+01     2.2674e+02      1.700e+01     1.0362e+00     3.1614e+00     9.720979e-01          1.4182e+01     3.4243e+01     1.3230e+02     
     22         1      2334      6.430e-01      1.476e+03     3.2542e+01     5.3080e+01     2.2675e+02      2.214e+01     2.8349e-02     1.4732e-02     9.720979e-01          1.8683e+01     3.5498e+01     1.3230e+02     

     23         0      2403      6.889e-01      1.126e+03     2.3103e+01     3.9789e+01     2.2653e+02      1.766e+01     1.0765e+00     3.2141e+00     9.715979e-01          1.4400e+01     3.4717e+01     1.3217e+02     
     23         1      2432      6.842e-01      1.501e+03     3.3083e+01     5.4008e+01     2.2654e+02      2.297e+01     3.0204e-02     1.2528e-02     9.715979e-01          1.8972e+01     3.6241e+01     1.3217e+02     

     24         0      2501      7.325e-01      1.145e+03     2.3477e+01     4.0358e+01     2.2632e+02      1.832e+01     1.1175e+00     3.2666e+00     9.710979e-01          1.4620e+01     3.5184e+01     1.3204e+02     
     24         1      2534      7.461e-01      1.525e+03     3.3592e+01     5.4932e+01     2.2630e+02      2.382e+01     2.8302e-02     1.2031e-02     9.710979e-01          1.9251e+01     3.6989e+01     1.3203e+02     

     25         0      2603      7.969e-01      1.163e+03     2.3821e+01     4.0915e+01     2.2608e+02      1.901e+01     1.1606e+00     3.3185e+00     9.705979e-01          1.4832e+01     3.5642e+01     1.3189e+02     
     25         1      2628      7.947e-01      1.549e+03     3.4124e+01     5.5860e+01     2.2609e+02      2.468e+01     2.9581e-02     1.3430e-02     9.705979e-01          1.9535e+01     3.7743e+01     1.3190e+02     

     26         0      2701      8.481e-01      1.182e+03     2.4188e+01     4.1472e+01     2.2586e+02      1.970e+01     1.2034e+00     3.3706e+00     9.700979e-01          1.5049e+01     3.6096e+01     1.3176e+02     
     26         1      2726      8.448e-01      1.573e+03     3.4645e+01     5.6788e+01     2.2586e+02      2.556e+01     3.0663e-02     1.6943e-02     9.700979e-01          1.9813e+01     3.8504e+01     1.3176e+02     

     27         0      2799      9.006e-01      1.200e+03     2.4544e+01     4.2021e+01     2.2564e+02      2.041e+01     1.2475e+00     3.4224e+00     9.695979e-01          1.5260e+01     3.6543e+01     1.3162e+02     
     27         1      2828      9.028e-01      1.597e+03     3.5171e+01     5.7716e+01     2.2564e+02      2.645e+01     3.2701e-02     1.4619e-02     9.695979e-01          2.0094e+01     3.9271e+01     1.3163e+02     

     28         0      2901      9.613e-01      1.218e+03     2.4906e+01     4.2565e+01     2.2541e+02      2.114e+01     1.2923e+00     3.4741e+00     9.690979e-01          1.5475e+01     3.6984e+01     1.3149e+02     
     28         1      2934      9.591e-01      1.621e+03     3.5689e+01     5.8644e+01     2.2540e+02      2.737e+01     3.1721e-02     1.5077e-02     9.690979e-01          2.0365e+01     4.0044e+01     1.3148e+02     

     29         0      3007      1.020e+00      1.236e+03     2.5260e+01     4.3100e+01     2.2517e+02      2.188e+01     1.3388e+00     3.5252e+00     9.685979e-01          1.5683e+01     3.7416e+01     1.3134e+02     
     29         1      3032      1.019e+00      1.645e+03     3.6210e+01     5.9573e+01     2.2518e+02      2.830e+01     3.2884e-02     1.5056e-02     9.685979e-01          2.0641e+01     4.0824e+01     1.3134e+02     

     30         0      3105      1.083e+00      1.255e+03     2.5618e+01     4.3632e+01     2.2494e+02      2.264e+01     1.3856e+00     3.5764e+00     9.680979e-01          1.5894e+01     3.7843e+01     1.3120e+02     
     30         1      3130      1.081e+00      1.668e+03     3.6720e+01     6.0504e+01     2.2494e+02      2.924e+01     3.4271e-02     1.6028e-02     9.680979e-01          2.0911e+01     4.1612e+01     1.3120e+02     

     31         0      3199      1.148e+00      1.272e+03     2.5966e+01     4.4156e+01     2.2470e+02      2.341e+01     1.4336e+00     3.6273e+00     9.675979e-01          1.6100e+01     3.8264e+01     1.3105e+02     
     31         1      3228      1.147e+00      1.692e+03     3.7227e+01     6.1434e+01     2.2470e+02      3.021e+01     3.4727e-02     1.4575e-02     9.675979e-01          2.1177e+01     4.2406e+01     1.3105e+02     

     32         0      3301      1.216e+00      1.290e+03     2.6311e+01     4.4674e+01     2.2445e+02      2.420e+01     1.4831e+00     3.6778e+00     9.670979e-01          1.6303e+01     3.8676e+01     1.3090e+02     
     32         1      3322      1.218e+00      1.714e+03     3.7724e+01     6.2367e+01     2.2445e+02      3.119e+01     3.5949e-02     1.5711e-02     9.670979e-01          2.1440e+01     4.3207e+01     1.3090e+02     

     33         0      3395      1.290e+00      1.307e+03     2.6647e+01     4.5185e+01     2.2421e+02      2.500e+01     1.5334e+00     3.7281e+00     9.665979e-01          1.6503e+01     3.9082e+01     1.3075e+02     
     33         1      3432      1.309e+00      1.737e+03     3.8216e+01     6.3296e+01     2.2417e+02      3.219e+01     3.3521e-02     1.7136e-02     9.665979e-01          2.1697e+01     4.4015e+01     1.3074e+02     

     34         0      3505      1.385e+00      1.325e+03     2.6981e+01     4.5685e+01     2.2393e+02      2.582e+01     1.5858e+00     3.7777e+00     9.660979e-01          1.6702e+01     3.9478e+01     1.3059e+02     
     34         1      3530      1.381e+00      1.761e+03     3.8730e+01     6.4232e+01     2.2393e+02      3.321e+01     3.4573e-02     1.7764e-02     9.660979e-01          2.1962e+01     4.4831e+01     1.3059e+02     

     35         0      3603      1.460e+00      1.343e+03     2.7336e+01     4.6186e+01     2.2368e+02      2.665e+01     1.6377e+00     3.8277e+00     9.655979e-01          1.6906e+01     3.9872e+01     1.3044e+02     
     35         1      3632      1.463e+00      1.784e+03     3.9226e+01     6.5169e+01     2.2368e+02      3.424e+01     3.6029e-02     1.6630e-02     9.655979e-01          2.2220e+01     4.5656e+01     1.3044e+02     

     36         0      3705      1.545e+00      1.360e+03     2.7674e+01     4.6678e+01     2.2343e+02      2.750e+01     1.6911e+00     3.8773e+00     9.650979e-01          1.7104e+01     4.0258e+01     1.3029e+02     
     36         1      3730      1.544e+00      1.807e+03     3.9727e+01     6.6109e+01     2.2343e+02      3.529e+01     3.7576e-02     1.9241e-02     9.650979e-01          2.2479e+01     4.6487e+01     1.3029e+02     

     37         0      3799      1.630e+00      1.378e+03     2.8018e+01     4.7166e+01     2.2317e+02      2.837e+01     1.7455e+00     3.9267e+00     9.645979e-01          1.7303e+01     4.0638e+01     1.3013e+02     
     37         1      3832      1.625e+00      1.829e+03     4.0214e+01     6.7049e+01     2.2316e+02      3.636e+01     3.5868e-02     1.6613e-02     9.645979e-01          2.2726e+01     4.7327e+01     1.3012e+02     

     38         0      3905      1.714e+00      1.395e+03     2.8347e+01     4.7645e+01     2.2290e+02      2.926e+01     1.8018e+00     3.9754e+00     9.640979e-01          1.7494e+01     4.1009e+01     1.2997e+02     
     38         1      3930      1.712e+00      1.852e+03     4.0712e+01     6.7993e+01     2.2290e+02      3.745e+01     3.7298e-02     1.8813e-02     9.640979e-01          2.2981e+01     4.8175e+01     1.2997e+02     

     39         0      4003      1.804e+00      1.412e+03     2.8688e+01     4.8120e+01     2.2264e+02      3.016e+01     1.8584e+00     4.0243e+00     9.635979e-01          1.7691e+01     4.1375e+01     1.2981e+02     
     39         1      4032      1.797e+00      1.874e+03     4.1204e+01     6.8940e+01     2.2264e+02      3.856e+01     3.8837e-02     1.8381e-02     9.635979e-01          2.3230e+01     4.9032e+01     1.2981e+02     

     40         0      4105      1.893e+00      1.430e+03     2.9025e+01     4.8589e+01     2.2237e+02      3.108e+01     1.9163e+00     4.0728e+00     9.630979e-01          1.7883e+01     4.1735e+01     1.2965e+02     
     40         1      4134      1.889e+00      1.896e+03     4.1692e+01     6.9890e+01     2.2238e+02      3.969e+01     4.0480e-02     1.9519e-02     9.630979e-01          2.3477e+01     4.9897e+01     1.2965e+02     

     41         0      4207      1.988e+00      1.447e+03     2.9358e+01     4.9052e+01     2.2211e+02      3.201e+01     1.9755e+00     4.1211e+00     9.625979e-01          1.8074e+01     4.2087e+01     1.2949e+02     
     41         1      4240      2.011e+00      1.918e+03     4.2154e+01     7.0840e+01     2.2209e+02      4.083e+01     3.8633e-02     1.8905e-02     9.625979e-01          2.3715e+01     5.0771e+01     1.2948e+02     

     42         0      4313      2.114e+00      1.463e+03     2.9668e+01     4.9503e+01     2.2181e+02      3.297e+01     2.0366e+00     4.1687e+00     9.620979e-01          1.8258e+01     4.2431e+01     1.2932e+02     
     42         1      4338      2.109e+00      1.940e+03     4.2643e+01     7.1796e+01     2.2182e+02      4.200e+01     4.0081e-02     2.0480e-02     9.620979e-01          2.3960e+01     5.1654e+01     1.2932e+02     

     43         0      4411      2.216e+00      1.481e+03     3.0006e+01     4.9954e+01     2.2154e+02      3.394e+01     2.0980e+00     4.2165e+00     9.615979e-01          1.8449e+01     4.2771e+01     1.2916e+02     
     43         1      4440      2.214e+00      1.962e+03     4.3124e+01     7.2757e+01     2.2155e+02      4.318e+01     4.1443e-02     2.0428e-02     9.615979e-01          2.4202e+01     5.2547e+01     1.2916e+02     

     44         0      4513      2.325e+00      1.498e+03     3.0335e+01     5.0399e+01     2.2127e+02      3.493e+01     2.1607e+00     4.2640e+00     9.610979e-01          1.8636e+01     4.3105e+01     1.2900e+02     
     44         1      4546      2.322e+00      1.984e+03     4.3597e+01     7.3719e+01     2.2126e+02      4.439e+01     4.0678e-02     2.1427e-02     9.610979e-01          2.4434e+01     5.3449e+01     1.2899e+02     

     45         0      4619      2.436e+00      1.514e+03     3.0657e+01     5.0835e+01     2.2098e+02      3.593e+01     2.2252e+00     4.3108e+00     9.605979e-01          1.8818e+01     4.3430e+01     1.2883e+02     
     45         1      4644      2.435e+00      2.006e+03     4.4075e+01     7.4687e+01     2.2099e+02      4.561e+01     4.1940e-02     2.1670e-02     9.605979e-01          2.4673e+01     5.4361e+01     1.2883e+02     

     46         0      4717      2.553e+00      1.531e+03     3.0986e+01     5.1268e+01     2.2070e+02      3.696e+01     2.2905e+00     4.3577e+00     9.600979e-01          1.9004e+01     4.3750e+01     1.2866e+02     
     46         1      4742      2.552e+00      2.027e+03     4.4538e+01     7.5659e+01     2.2070e+02      4.685e+01     4.3313e-02     2.3089e-02     9.600979e-01          2.4904e+01     5.5282e+01     1.2866e+02     

     47         0      4811      2.674e+00      1.548e+03     3.1299e+01     5.1693e+01     2.2041e+02      3.801e+01     2.3574e+00     4.4041e+00     9.595979e-01          1.9183e+01     4.4063e+01     1.2849e+02     
     47         1      4840      2.672e+00      2.048e+03     4.5001e+01     7.6635e+01     2.2041e+02      4.812e+01     4.4048e-02     2.1954e-02     9.595979e-01          2.5133e+01     5.6214e+01     1.2849e+02     

     48         0      4913      2.798e+00      1.564e+03     3.1614e+01     5.2113e+01     2.2012e+02      3.907e+01     2.4258e+00     4.4501e+00     9.590979e-01          1.9362e+01     4.4368e+01     1.2831e+02     
     48         1      4946      2.805e+00      2.068e+03     4.5452e+01     7.7614e+01     2.2011e+02      4.940e+01     4.4471e-02     2.3160e-02     9.590979e-01          2.5355e+01     5.7155e+01     1.2831e+02     

     49         0      5019      2.935e+00      1.580e+03     3.1918e+01     5.2524e+01     2.1981e+02      4.016e+01     2.4958e+00     4.4957e+00     9.585979e-01          1.9535e+01     4.4667e+01     1.2814e+02     
     49         1      5052      2.960e+00      2.089e+03     4.5895e+01     7.8595e+01     2.1978e+02      5.070e+01     4.0737e-02     2.4207e-02     9.585979e-01          2.5568e+01     5.8107e+01     1.2812e+02     

     50         0      5125      3.095e+00      1.596e+03     3.2217e+01     5.2924e+01     2.1949e+02      4.127e+01     2.5676e+00     4.5405e+00     9.580979e-01          1.9705e+01     4.4957e+01     1.2795e+02     
     50         1      5150      3.088e+00      2.110e+03     4.6371e+01     7.9588e+01     2.1950e+02      5.203e+01     4.1543e-02     2.4075e-02     9.580979e-01          2.5799e+01     5.9071e+01     1.2796e+02     

     51         0      5223      3.227e+00      1.613e+03     3.2549e+01     5.3329e+01     2.1920e+02      4.239e+01     2.6393e+00     4.5860e+00     9.575979e-01          1.9887e+01     4.5246e+01     1.2778e+02     
     51         1      5248      3.237e+00      2.130e+03     4.6802e+01     8.0584e+01     2.1919e+02      5.337e+01     4.2972e-02     2.6623e-02     9.575979e-01          2.6012e+01     6.0045e+01     1.2778e+02     

     52         0      5321      3.381e+00      1.628e+03     3.2836e+01     5.3722e+01     2.1889e+02      4.354e+01     2.7138e+00     4.6306e+00     9.570979e-01          2.0053e+01     4.5526e+01     1.2760e+02     
     52         1      5350      3.387e+00      2.151e+03     4.7260e+01     8.1589e+01     2.1889e+02      5.474e+01     4.5353e-02     2.5465e-02     9.570979e-01          2.6235e+01     6.1031e+01     1.2760e+02     

     53         0      5423      3.535e+00      1.645e+03     3.3151e+01     5.4113e+01     2.1859e+02      4.471e+01     2.7888e+00     4.6752e+00     9.565979e-01          2.0229e+01     4.5801e+01     1.2743e+02     
     53         1      5456      3.514e+00      2.171e+03     4.7712e+01     8.2599e+01     2.1858e+02      5.613e+01     4.2915e-02     2.3131e-02     9.565979e-01          2.6447e+01     6.2028e+01     1.2742e+02     

     54         0      5529      3.666e+00      1.660e+03     3.3460e+01     5.4498e+01     2.1828e+02      4.590e+01     2.8656e+00     4.7192e+00     9.560979e-01          2.0398e+01     4.6069e+01     1.2724e+02     
     54         1      5550      3.681e+00      2.190e+03     4.8146e+01     8.3615e+01     2.1827e+02      5.755e+01     4.5094e-02     2.8951e-02     9.560979e-01          2.6661e+01     6.3036e+01     1.2724e+02     

     55         0      5623      3.838e+00      1.676e+03     3.3754e+01     5.4875e+01     2.1796e+02      4.711e+01     2.9441e+00     4.7630e+00     9.555979e-01          2.0566e+01     4.6331e+01     1.2706e+02     
     55         1      5652      3.808e+00      2.211e+03     4.8611e+01     8.4642e+01     2.1798e+02      5.898e+01     4.5888e-02     2.5652e-02     9.555979e-01          2.6876e+01     6.4058e+01     1.2707e+02     

     56         0      5725      3.969e+00      1.692e+03     3.4079e+01     5.5252e+01     2.1766e+02      4.834e+01     3.0235e+00     4.8067e+00     9.550979e-01          2.0738e+01     4.6588e+01     1.2689e+02     
     56         1      5750      3.970e+00      2.231e+03     4.9050e+01     8.5674e+01     2.1766e+02      6.044e+01     4.7518e-02     2.8683e-02     9.550979e-01          2.7087e+01     6.5091e+01     1.2689e+02     

     57         0      5823      4.136e+00      1.708e+03     3.4379e+01     5.5620e+01     2.1735e+02      4.960e+01     3.1050e+00     4.8498e+00     9.545979e-01          2.0904e+01     4.6838e+01     1.2670e+02     
     57         1      5852      4.127e+00      2.250e+03     4.9485e+01     8.6713e+01     2.1735e+02      6.192e+01     4.9747e-02     2.8394e-02     9.545979e-01          2.7292e+01     6.6136e+01     1.2670e+02     

     58         0      5925      4.297e+00      1.723e+03     3.4676e+01     5.5983e+01     2.1703e+02      5.088e+01     3.1881e+00     4.8925e+00     9.540979e-01          2.1067e+01     4.7082e+01     1.2652e+02     
