# Kona Param. Contn. convergence history (opt tol = 2.528270e-06 | feas tol = 6.443213e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.687e+01      1.687e+01     2.5283e+01     0.0000e+00     6.4432e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1084e+01     0.0000e+00     9.5000e+00     

      1         0        10      1.641e+01      1.941e+01     2.5169e+01     4.6540e-01     6.4439e+01      1.311e-02     3.4658e-04     4.1709e-05     9.992777e-01          1.1018e+01     6.8620e-02     9.5080e+00     
      1         1        19      1.641e+01      1.942e+01     2.5169e+01     4.6578e-01     6.4439e+01      1.311e-02     6.4561e-07     2.8500e-09     9.992777e-01          1.1018e+01     6.8726e-02     9.5079e+00     

      2         0        28      1.358e+01      3.546e+01     2.4463e+01     3.3934e+00     6.4479e+01      1.379e-01     1.3747e-02     1.6240e-03     9.947411e-01          1.0606e+01     5.0100e-01     9.5572e+00     
      2         1        39      1.365e+01      3.561e+01     2.4477e+01     3.4070e+00     6.4462e+01      1.380e-01     1.1387e-06     5.1894e-07     9.947411e-01          1.0618e+01     5.0492e-01     9.5535e+00     

      3         0        48      1.093e+01      5.246e+01     2.3783e+01     6.4360e+00     6.4471e+01      3.446e-01     1.6115e-02     1.6061e-03     9.900859e-01          1.0211e+01     9.5606e-01     9.5979e+00     
      3         1        59      1.100e+01      5.259e+01     2.3801e+01     6.4476e+00     6.4452e+01      3.454e-01     4.5927e-06     1.8129e-06     9.900859e-01          1.0231e+01     9.5964e-01     9.5928e+00     

      4         0        70      8.699e+00      6.820e+01     2.3205e+01     9.2199e+00     6.4425e+01      6.071e-01     1.2322e-02     1.2006e-03     9.858499e-01          9.8879e+00     1.3758e+00     9.6253e+00     
      4         1        81      8.748e+00      6.830e+01     2.3215e+01     9.2269e+00     6.4410e+01      6.085e-01     6.6314e-06     3.0510e-06     9.858499e-01          9.8959e+00     1.3784e+00     9.6223e+00     

      5         0        92      6.455e+00      8.508e+01     2.2611e+01     1.2179e+01     6.4351e+01      9.690e-01     1.4055e-02     1.2773e-03     9.813501e-01          9.5500e+00     1.8245e+00     9.6502e+00     
