# Kona Param. Contn. convergence history (opt tol = 2.528270e-06 | feas tol = 6.443213e-06)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      1.687e+01      1.687e+01     2.5283e+01     0.0000e+00     6.4432e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1084e+01     0.0000e+00     9.5000e+00     

      1         0        10      1.641e+01      1.941e+01     2.5169e+01     4.6540e-01     6.4439e+01      1.311e-02     3.4658e-04     4.1709e-05     9.992777e-01          1.1018e+01     6.8620e-02     9.5080e+00     
      1         1        17      1.641e+01      1.942e+01     2.5169e+01     4.6578e-01     6.4439e+01      1.311e-02     1.1179e-07     1.5820e-09     9.992777e-01          1.1018e+01     6.8726e-02     9.5079e+00     

      2         0        24      1.360e+01      3.536e+01     2.4468e+01     3.3740e+00     6.4479e+01      1.368e-01     1.3526e-02     1.5893e-03     9.947714e-01          1.0610e+01     4.9814e-01     9.5567e+00     
      2         1        31      1.366e+01      3.551e+01     2.4481e+01     3.3873e+00     6.4462e+01      1.369e-01     1.7622e-05     1.0313e-07     9.947714e-01          1.0621e+01     5.0199e-01     9.5532e+00     

      3         0        38      1.107e+01      5.161e+01     2.3823e+01     6.2836e+00     6.4470e+01      3.323e-01     1.3390e-02     1.4218e-03     9.903205e-01          1.0241e+01     9.3331e-01     9.5942e+00     
      3         1        45      1.113e+01      5.173e+01     2.3834e+01     6.2940e+00     6.4453e+01      3.330e-01     2.8865e-05     1.2297e-07     9.903205e-01          1.0250e+01     9.3657e-01     9.5910e+00     

      4         0        52      8.717e+00      6.804e+01     2.3211e+01     9.1912e+00     6.4427e+01      6.040e-01     1.3388e-02     1.2862e-03     9.858927e-01          9.8920e+00     1.3714e+00     9.6250e+00     
      4         1        59      8.770e+00      6.814e+01     2.3221e+01     9.1988e+00     6.4411e+01      6.054e-01     3.4084e-05     7.3353e-08     9.858927e-01          9.8993e+00     1.3741e+00     9.6220e+00     

      5         0        66      6.486e+00      8.486e+01     2.2620e+01     1.2140e+01     6.4352e+01      9.637e-01     1.3822e-02     1.1988e-03     9.814100e-01          9.5557e+00     1.8186e+00     9.6497e+00     
