# Kona Param. Contn. convergence history (opt tol = 1.500000e-04 | feas tol = 1.504332e-04)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      0.000e+00      0.000e+00     1.5000e+03     0.0000e+00     1.5043e+03     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.0000e+03     0.0000e+00     9.9000e+02     

      1         0        10     -1.125e+03     -1.098e+03     1.5000e+03     9.7526e-01     1.5043e+03     -2.747e-01     1.0249e-03     7.4319e-01     9.995000e-01          1.0000e+03     3.5621e-01     9.9000e+02     
      1         1        17     -1.124e+03      7.571e+00     1.5000e+03     7.4991e+00     1.5043e+03      1.614e-03     4.3049e-03     2.4088e-05     9.995000e-01          1.0000e+03     4.9523e+00     9.9000e+02     

      2         0        33     -5.251e+03     -5.127e+03     1.5002e+03     4.5446e+00     1.5041e+03     -5.986e+00     3.4572e-02     3.4658e+00     9.976682e-01          1.0001e+03     1.6620e+00     9.8998e+02     
      2         1        42     -5.259e+03      2.772e+01     1.5002e+03     3.5209e+01     1.5040e+03      3.646e-02     2.7549e-04     4.0508e-04     9.976682e-01          1.0001e+03     2.3263e+01     9.8995e+02     

      3         0        51     -1.226e+04     -1.197e+04     1.5004e+03     1.0544e+01     1.5034e+03     -3.249e+01     3.0444e-01     8.0644e+00     9.945730e-01          1.0002e+03     3.8576e+00     9.8979e+02     
      3         1        60     -1.228e+04      5.196e+01     1.5004e+03     8.4028e+01     1.5032e+03      2.525e-01     4.3539e-03     4.9524e-03     9.945730e-01          1.0002e+03     5.5626e+01     9.8970e+02     

      4         0        69     -2.003e+04     -1.958e+04     1.5004e+03     1.7064e+01     1.5021e+03     -8.605e+01     1.0243e+00     1.3122e+01     9.911640e-01          1.0001e+03     6.1851e+00     9.8928e+02     
      4         1        78     -2.006e+04      5.185e+01     1.5005e+03     1.4384e+02     1.5018e+03      1.054e+00     1.8322e-02     1.9868e-02     9.911640e-01          1.0001e+03     9.5580e+01     9.8916e+02     

      5         0        89     -2.675e+04     -2.616e+04     1.5005e+03     2.2627e+01     1.5004e+03     -1.515e+02     2.1502e+00     1.7450e+01     9.882396e-01          1.0001e+03     8.1074e+00     9.8855e+02     
      5         1        98     -2.677e+04      1.440e+01     1.5006e+03     2.0440e+02     1.5001e+03      3.015e+00     3.2384e-02     4.1559e-02     9.882396e-01          1.0000e+03     1.3647e+02     9.8840e+02     

      6         0       111     -3.175e+04     -3.106e+04     1.5004e+03     2.6519e+01     1.4987e+03     -2.103e+02     3.3797e+00     2.0640e+01     9.860773e-01          9.9994e+02     9.1788e+00     9.8772e+02     
      6         1       120     -3.176e+04     -4.315e+01     1.5005e+03     2.5826e+02     1.4985e+03      6.244e+00     4.2633e-02     7.0019e-02     9.860773e-01          9.9985e+02     1.7319e+02     9.8758e+02     

      7         0       133     -3.514e+04     -3.439e+04     1.5003e+03     2.9249e+01     1.4974e+03     -2.542e+02     4.4775e+00     2.2791e+01     9.846140e-01          9.9983e+02     9.9962e+00     9.8696e+02     
      7         1       142     -3.514e+04     -1.025e+02     1.5005e+03     3.0126e+02     1.4972e+03      1.011e+01     4.7468e-02     8.8877e-02     9.846140e-01          9.9971e+02     2.0274e+02     9.8685e+02     

      8         0       157     -3.732e+04     -3.652e+04     1.5002e+03     3.0973e+01     1.4963e+03     -2.834e+02     5.3427e+00     2.4168e+01     9.836740e-01          9.9973e+02     1.0465e+01     9.8634e+02     
      8         1       166     -3.731e+04     -1.507e+02     1.5004e+03     3.3273e+02     1.4962e+03      1.379e+01     5.2193e-02     1.0251e-01     9.836740e-01          9.9962e+02     2.2448e+02     9.8629e+02     

      9         0       181     -3.868e+04     -3.786e+04     1.5002e+03     3.2071e+01     1.4956e+03     -3.020e+02     5.9432e+00     2.5028e+01     9.830859e-01          9.9967e+02     1.0778e+01     9.8592e+02     
      9         1       190     -3.868e+04     -1.871e+02     1.5004e+03     3.5423e+02     1.4955e+03      1.673e+01     5.5469e-02     1.1098e-01     9.830859e-01          9.9955e+02     2.3937e+02     9.8589e+02     

     10         0       205     -3.984e+04     -3.899e+04     1.5001e+03     3.2993e+01     1.4950e+03     -3.181e+02     6.4734e+00     2.5758e+01     9.825859e-01          9.9963e+02     1.1027e+01     9.8554e+02     
     10         1       214     -3.984e+04     -2.214e+02     1.5003e+03     3.7367e+02     1.4949e+03      1.969e+01     6.0693e-02     1.1866e-01     9.825859e-01          9.9949e+02     2.5287e+02     9.8553e+02     

     11         0       229     -4.100e+04     -4.013e+04     1.5001e+03     3.3913e+01     1.4943e+03     -3.342e+02     7.0320e+00     2.6487e+01     9.820859e-01          9.9958e+02     1.1268e+01     9.8515e+02     
     11         1       238     -4.100e+04     -2.592e+02     1.5003e+03     3.9431e+02     1.4943e+03      2.314e+01     6.6569e-02     1.2664e-01     9.820859e-01          9.9943e+02     2.6722e+02     9.8513e+02     

     12         0       253     -4.216e+04     -4.127e+04     1.5001e+03     3.4833e+01     1.4936e+03     -3.502e+02     7.6331e+00     2.7214e+01     9.815859e-01          9.9953e+02     1.1504e+01     9.8472e+02     
     12         1       262     -4.216e+04     -3.011e+02     1.5002e+03     4.1636e+02     1.4936e+03      2.721e+01     7.2858e-02     1.3477e-01     9.815859e-01          9.9936e+02     2.8258e+02     9.8471e+02     

     13         0       277     -4.333e+04     -4.242e+04     1.5000e+03     3.5753e+01     1.4929e+03     -3.660e+02     8.2846e+00     2.7940e+01     9.810859e-01          9.9948e+02     1.1735e+01     9.8426e+02     
     13         1       286     -4.332e+04     -3.477e+02     1.5002e+03     4.3998e+02     1.4929e+03      3.202e+01     7.9510e-02     1.4305e-01     9.810859e-01          9.9930e+02     2.9907e+02     9.8424e+02     

     14         0       301     -4.449e+04     -4.356e+04     1.5000e+03     3.6672e+01     1.4921e+03     -3.815e+02     8.9935e+00     2.8664e+01     9.805859e-01          9.9942e+02     1.1961e+01     9.8376e+02     
     14         1       310     -4.449e+04     -3.994e+02     1.5001e+03     4.6539e+02     1.4921e+03      3.772e+01     8.6531e-02     1.5149e-01     9.805859e-01          9.9923e+02     3.1683e+02     9.8374e+02     

     15         0       325     -4.565e+04     -4.470e+04     1.4999e+03     3.7592e+01     1.4912e+03     -3.963e+02     9.7672e+00     2.9386e+01     9.800859e-01          9.9936e+02     1.2181e+01     9.8321e+02     
     15         1       334     -4.565e+04     -4.571e+02     1.5000e+03     4.9283e+02     1.4912e+03      4.452e+01     9.3930e-02     1.6006e-01     9.800859e-01          9.9915e+02     3.3605e+02     9.8319e+02     

     16         0       349     -4.682e+04     -4.584e+04     1.4999e+03     3.8511e+01     1.4903e+03     -4.104e+02     1.0614e+01     3.0106e+01     9.795859e-01          9.9930e+02     1.2396e+01     9.8261e+02     
     16         1       358     -4.682e+04     -5.214e+02     1.5000e+03     5.2256e+02     1.4903e+03      5.263e+01     1.0173e-01     1.6877e-01     9.795859e-01          9.9908e+02     3.5691e+02     9.8258e+02     

     17         0       373     -4.799e+04     -4.699e+04     1.4998e+03     3.9431e+01     1.4893e+03     -4.232e+02     1.1545e+01     3.0824e+01     9.790859e-01          9.9924e+02     1.2606e+01     9.8194e+02     
     17         1       382     -4.798e+04     -5.933e+02     1.4999e+03     5.5492e+02     1.4893e+03      6.237e+01     1.0996e-01     1.7761e-01     9.790859e-01          9.9900e+02     3.7964e+02     9.8191e+02     

     18         0       397     -4.915e+04     -4.813e+04     1.4997e+03     4.0351e+01     1.4882e+03     -4.346e+02     1.2571e+01     3.1538e+01     9.785859e-01          9.9918e+02     1.2811e+01     9.8120e+02     
     18         1       406     -4.915e+04     -6.741e+02     1.4998e+03     5.9029e+02     1.4882e+03      7.412e+01     1.1867e-01     1.8661e-01     9.785859e-01          9.9892e+02     4.0453e+02     9.8117e+02     

     19         0       421     -5.032e+04     -4.928e+04     1.4997e+03     4.1271e+01     1.4870e+03     -4.439e+02     1.3706e+01     3.2248e+01     9.780859e-01          9.9911e+02     1.3011e+01     9.8039e+02     
     19         1       430     -5.032e+04     -7.649e+02     1.4997e+03     6.2913e+02     1.4870e+03      8.836e+01     1.2793e-01     1.9577e-01     9.780859e-01          9.9884e+02     4.3190e+02     9.8035e+02     

     20         0       447     -5.149e+04     -5.043e+04     1.4996e+03     4.2193e+01     1.4857e+03     -4.506e+02     1.4969e+01     3.2955e+01     9.775859e-01          9.9904e+02     1.3215e+01     9.7948e+02     
     20         1       456     -5.149e+04     -8.676e+02     1.4996e+03     6.7203e+02     1.4856e+03      1.057e+02     1.3518e-01     2.0639e-01     9.775859e-01          9.9875e+02     4.6218e+02     9.7943e+02     

     21         0       473     -5.266e+04     -5.158e+04     1.4995e+03     4.3113e+01     1.4842e+03     -4.537e+02     1.6381e+01     3.3657e+01     9.770859e-01          9.9897e+02     1.3404e+01     9.7846e+02     
     21         1       482     -5.266e+04     -9.839e+02     1.4995e+03     7.1964e+02     1.4842e+03      1.271e+02     1.4601e-01     2.1582e-01     9.770859e-01          9.9866e+02     4.9581e+02     9.7841e+02     

     22         0       499     -5.383e+04     -5.272e+04     1.4995e+03     4.4035e+01     1.4826e+03     -4.521e+02     1.7967e+01     3.4354e+01     9.765859e-01          9.9890e+02     1.3590e+01     9.7731e+02     
     22         1       508     -5.383e+04     -1.117e+03     1.4994e+03     7.7280e+02     1.4825e+03      1.535e+02     1.5661e-01     2.2635e-01     9.765859e-01          9.9857e+02     5.3341e+02     9.7725e+02     

     23         0       525     -5.500e+04     -5.387e+04     1.4994e+03     4.4957e+01     1.4807e+03     -4.444e+02     1.9759e+01     3.5044e+01     9.760859e-01          9.9883e+02     1.3771e+01     9.7601e+02     
     23         1       534     -5.500e+04     -1.269e+03     1.4993e+03     8.3254e+02     1.4807e+03      1.865e+02     1.6879e-01     2.3707e-01     9.760859e-01          9.9848e+02     5.7570e+02     9.7595e+02     

     24         0       551     -5.617e+04     -5.502e+04     1.4993e+03     4.5879e+01     1.4787e+03     -4.284e+02     2.1798e+01     3.5726e+01     9.755859e-01          9.9875e+02     1.3946e+01     9.7454e+02     
     24         1       560     -5.617e+04     -1.444e+03     1.4992e+03     9.0014e+02     1.4786e+03      2.280e+02     1.8237e-01     2.4878e-01     9.755859e-01          9.9838e+02     6.2360e+02     9.7446e+02     

     25         0       579     -5.734e+04     -5.617e+04     1.4992e+03     4.6816e+01     1.4763e+03     -4.015e+02     2.4131e+01     3.6399e+01     9.750859e-01          9.9867e+02     1.4104e+01     9.7284e+02     
     25         1       588     -5.734e+04     -1.646e+03     1.4991e+03     9.7719e+02     1.4762e+03      2.809e+02     1.9782e-01     2.6138e-01     9.750859e-01          9.9828e+02     6.7822e+02     9.7275e+02     

     26         0       609     -5.852e+04     -5.732e+04     1.4992e+03     4.7747e+01     1.4736e+03     -3.597e+02     2.6823e+01     3.7060e+01     9.745859e-01          9.9859e+02     1.4259e+01     9.7088e+02     
     26         1       618     -5.852e+04     -1.884e+03     1.4990e+03     1.0657e+03     1.4734e+03      3.490e+02     2.1830e-01     2.7499e-01     9.745859e-01          9.9818e+02     7.4105e+02     9.7077e+02     

     27         0       639     -5.969e+04     -5.848e+04     1.4991e+03     4.8677e+01     1.4704e+03     -2.975e+02     2.9959e+01     3.7708e+01     9.740859e-01          9.9851e+02     1.4420e+01     9.6860e+02     
     27         1       648     -5.969e+04     -2.162e+03     1.4988e+03     1.1684e+03     1.4703e+03      4.380e+02     2.4173e-01     2.9225e-01     9.740859e-01          9.9808e+02     8.1393e+02     9.6846e+02     

     28         0       669     -6.087e+04     -5.963e+04     1.4990e+03     4.9608e+01     1.4668e+03     -2.068e+02     3.3644e+01     3.8338e+01     9.735859e-01          9.9843e+02     1.4573e+01     9.6591e+02     
     28         1       678     -6.086e+04     -2.493e+03     1.4987e+03     1.2886e+03     1.4666e+03      5.557e+02     2.7319e-01     3.1231e-01     9.735859e-01          9.9797e+02     8.9925e+02     9.6575e+02     

     29         0       699     -6.204e+04     -6.078e+04     1.4989e+03     5.0540e+01     1.4624e+03     -7.604e+01     3.8016e+01     3.8946e+01     9.730859e-01          9.9834e+02     1.4722e+01     9.6272e+02     
     29         1       708     -6.204e+04     -2.889e+03     1.4986e+03     1.4306e+03     1.4622e+03      7.139e+02     3.1414e-01     3.3780e-01     9.730859e-01          9.9786e+02     1.0001e+03     9.6252e+02     

     30         0       729     -6.322e+04     -6.194e+04     1.4988e+03     5.1474e+01     1.4573e+03      1.122e+02     4.3256e+01     3.9527e+01     9.725859e-01          9.9825e+02     1.4866e+01     9.5890e+02     
     30         1       738     -6.322e+04     -3.367e+03     1.4984e+03     1.6002e+03     1.4569e+03      9.303e+02     3.6939e-01     3.7038e-01     9.725859e-01          9.9776e+02     1.1205e+03     9.5865e+02     

     31         0       759     -6.439e+04     -6.309e+04     1.4987e+03     5.2410e+01     1.4510e+03      3.841e+02     4.9604e+01     4.0072e+01     9.720859e-01          9.9816e+02     1.5006e+01     9.5426e+02     
     31         1       768     -6.439e+04     -3.951e+03     1.4983e+03     1.8045e+03     1.4506e+03      1.231e+03     4.4366e-01     4.1327e-01     9.720859e-01          9.9765e+02     1.2656e+03     9.5395e+02     

     32         0       789     -6.557e+04     -6.424e+04     1.4986e+03     5.3348e+01     1.4434e+03      7.797e+02     5.7365e+01     4.0571e+01     9.715859e-01          9.9807e+02     1.5141e+01     9.4859e+02     
     32         1       798     -6.557e+04     -4.669e+03     1.4981e+03     2.0531e+03     1.4429e+03      1.658e+03     5.4346e-01     4.7032e-01     9.715859e-01          9.9753e+02     1.4420e+03     9.4820e+02     

     33         0       819     -6.675e+04     -6.540e+04     1.4985e+03     5.4289e+01     1.4340e+03      1.360e+03     6.6931e+01     4.1012e+01     9.710859e-01          9.9798e+02     1.5272e+01     9.4159e+02     
     33         1       828     -6.675e+04     -5.558e+03     1.4980e+03     2.3575e+03     1.4334e+03      2.271e+03     6.7578e-01     5.4678e-01     9.710859e-01          9.9742e+02     1.6579e+03     9.4111e+02     

     34         0       849     -6.793e+04     -6.656e+04     1.4985e+03     5.5231e+01     1.4225e+03      2.216e+03     7.8770e+01     4.1379e+01     9.705859e-01          9.9791e+02     1.5399e+01     9.3293e+02     
     34         1       858     -6.793e+04     -6.663e+03     1.4978e+03     2.7310e+03     1.4217e+03      3.165e+03     8.4745e-01     6.4869e-01     9.705859e-01          9.9731e+02     1.9229e+03     9.3232e+02     

     35         0       879     -6.911e+04     -6.771e+04     1.4984e+03     5.6174e+01     1.4083e+03      3.481e+03     9.3393e+01     4.1653e+01     9.700859e-01          9.9783e+02     1.5523e+01     9.2224e+02     
     35         1       888     -6.911e+04     -8.032e+03     1.4977e+03     3.1874e+03     1.4073e+03      4.474e+03     1.0631e+00     7.8291e-01     9.700859e-01          9.9720e+02     2.2465e+03     9.2148e+02     

     36         0       909     -7.029e+04     -6.887e+04     1.4983e+03     5.7120e+01     1.3910e+03      5.335e+03     1.1126e+02     4.1817e+01     9.695859e-01          9.9776e+02     1.5643e+01     9.0917e+02     
     36         1       918     -7.029e+04     -9.706e+03     1.4975e+03     3.7375e+03     1.3898e+03      6.381e+03     1.3226e+00     9.5570e-01     9.695859e-01          9.9709e+02     2.6364e+03     9.0824e+02     

     37         0       939     -7.148e+04     -7.003e+04     1.4982e+03     5.8066e+01     1.3704e+03      7.991e+03     1.3262e+02     4.1860e+01     9.690859e-01          9.9768e+02     1.5760e+01     8.9353e+02     
     37         1       950     -7.141e+04     -1.154e+04     1.4969e+03     4.3205e+03     1.3701e+03      8.963e+03     6.7683e-01     1.8681e-01     9.690859e-01          9.9695e+02     3.0479e+03     8.9321e+02     

     38         0       971     -7.259e+04     -7.121e+04     1.4979e+03     5.8877e+01     1.3487e+03      1.134e+04     1.5560e+02     4.1892e+01     9.685859e-01          9.9763e+02     1.4655e+01     8.7693e+02     
     38         1       982     -7.258e+04     -1.370e+04     1.4966e+03     4.9833e+03     1.3476e+03      1.234e+04     9.7276e-01     1.6345e-01     9.685859e-01          9.9682e+02     3.5167e+03     8.7650e+02     

     39         0      1003     -7.376e+04     -7.250e+04     1.4978e+03     6.3746e+01     1.3239e+03      1.569e+04     1.8141e+02     4.1859e+01     9.680859e-01          9.9755e+02     1.6809e+01     8.5843e+02     
